Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,6/4/2012,Pune Warriors,Wankhede Stadium,Yes,b M N Samuels,1,0,4,0,,0,0,0
2,16/04/2014,Mumbai Indians,Sheikh Zayed Stadium,No,not out,0,13,5,260,,13,13,144.44
3,19/04/2014,Delhi Capitals,Dubai International Cricket Stadium,Yes,not out,0,8,3,266.67,,21,21,175
4,24/04/2014,Royal Challengers Bangalore,Sharjah Cricket Stadium,Yes,not out,0,24,18,133.33,,45,45,150
5,26/04/2014,Kings XI Punjab,Sheikh Zayed Stadium,Yes,c M G Johnson b Sandeep Sharma,1,34,17,200,,79,39.5,168.09
6,29/04/2014,Rajasthan Royals,Sheikh Zayed Stadium,Yes,c S P D Smith b J P Faulkner,1,31,19,163.16,,110,36.67,166.67
7,2/5/2014,Chennai Super Kings,JSCA International Stadium Complex,Yes,lbw b R A Jadeja,1,8,13,61.54,,118,29.5,149.37
8,5/5/2014,Rajasthan Royals,Sardar Patel Stadium,Yes,not out,0,9,17,52.94,,127,31.75,132.29
9,24/05/2014,Sunrisers Hyderabad,Eden Gardens,Yes,not out,0,12,5,240,,139,34.75,137.62
10,28/05/2014,Kings XI Punjab,Eden Gardens,Yes,b Karanveer Singh,1,20,14,142.86,,159,31.8,138.26
11,1/6/2014,Kings XI Punjab,M Chinnaswamy Stadium,Yes,c M Vohra b M G Johnson,1,5,6,83.33,,164,27.33,135.54
12,8/4/2015,Mumbai Indians,Eden Gardens,Yes,not out,0,46,20,230,,210,35,148.94
13,11/4/2015,Royal Challengers Bangalore,Eden Gardens,Yes,c Mandeep Singh b H V Patel,1,11,9,122.22,,221,31.57,147.33
14,18/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,c †W P Saha b N L T C Perera,1,23,10,230,,244,30.5,152.5
15,20/04/2015,Delhi Capitals,Arun Jaitley Stadium,Yes,c †K M Jadhav b N M Coulter-Nile,1,24,16,150,,268,29.78,152.27
16,22/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,not out,0,2,2,100,,270,30,151.69
17,28/04/2015,Chennai Super Kings,MA Chidambaram Stadium,Yes,c D J J Bravo b M M Sharma,1,16,26,61.54,,286,28.6,140.2
18,30/04/2015,Chennai Super Kings,Eden Gardens,Yes,c D J J Bravo b R G More,1,2,3,66.67,,288,26.18,139.13
19,2/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,0,2,0,,288,26.18,137.8
20,4/5/2015,Sunrisers Hyderabad,Eden Gardens,Yes,c M C Henriques b B Kumar,1,6,3,200,,294,24.5,138.68
21,7/5/2015,Delhi Capitals,Eden Gardens,Yes,not out,0,7,7,100,,301,25.08,137.44
22,9/5/2015,Kings XI Punjab,Eden Gardens,Yes,b Gurkeerat Singh,1,9,9,100,,310,23.85,135.96
