Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,7/4/2018,Chennai Super Kings,Wankhede Stadium,Yes,lbw b D L Chahar,1,0,2,0,,0,0,0
2,12/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,b S Kaul,1,29,17,170.59,,29,14.5,152.63
3,14/04/2018,Delhi Capitals,Wankhede Stadium,Yes,c J J Roy b R Tewatia,1,48,28,171.43,,77,25.67,163.83
4,17/04/2018,Royal Challengers Bangalore,Wankhede Stadium,Yes,c †Q de Kock b C J Anderson,1,65,42,154.76,,142,35.5,159.55
5,22/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,Yes,b D S Kulkarni,1,0,1,0,,142,28.4,157.78
6,24/04/2018,Sunrisers Hyderabad,Wankhede Stadium,Yes,c M K Pandey b Sandeep Sharma,1,5,9,55.56,,147,24.5,148.48
7,28/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c S N Thakur b D J J Bravo,1,47,43,109.3,,194,27.71,136.62
8,4/5/2018,Kings XI Punjab,Holkar Cricket Stadium,Yes,c †K L Rahul b Mujeeb Ur Rahman,1,10,13,76.92,,204,25.5,131.61
9,6/5/2018,Kolkata Knight Riders,Wankhede Stadium,Yes,c C A Lynn b A D Russell,1,43,28,153.57,,247,27.44,134.97
10,9/5/2018,Kolkata Knight Riders,Eden Gardens,Yes,c C A Lynn b P P Chawla,1,18,13,138.46,,265,26.5,135.2
11,13/05/2018,Rajasthan Royals,Wankhede Stadium,Yes,c S V Samson b D S Kulkarni,1,60,42,142.86,,325,29.55,136.55
12,16/05/2018,Kings XI Punjab,Wankhede Stadium,Yes,b A J Tye,1,9,7,128.57,,334,27.83,136.33
13,20/05/2018,Delhi Capitals,Arun Jaitley Stadium,Yes,st R R Pant b A Mishra,1,48,31,154.84,,382,29.38,138.41
14,26/04/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c D J J Bravo b M J Santner,1,32,30,106.67,,414,29.57,135.29
15,28/04/2019,Kolkata Knight Riders,Eden Gardens,Yes,c †K D Karthik b A D Russell,1,15,16,93.75,,429,28.6,133.23
16,2/5/2019,Sunrisers Hyderabad,Wankhede Stadium,Yes,c V Shankar b Mohammad Nabi,1,1,6,16.67,,430,26.88,131.1
