Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,17/04/2013,Pune Warriors,Maharashtra Cricket Association Stadium,Yes,c M R Marsh b A B Dinda,1,2,8,25,,2,2,25
2,19/04/2013,Kings XI Punjab,Rajiv Gandhi International Stadium,Yes,b P Kumar,1,0,4,0,,2,1,16.67
3,25/04/2013,Chennai Super Kings,MA Chidambaram Stadium,Yes,c M Vijay b M M Sharma,1,4,3,133.33,,6,2,40
4,25/04/2014,Sunrisers Hyderabad,Dubai International Cricket Stadium,No,c A J Finch b K V Sharma,1,48,30,160,,54,13.5,120
5,27/04/2014,Mumbai Indians,Sharjah Cricket Stadium,No,c M E K Hussey b C J Anderson,1,16,24,66.67,,70,14,101.45
6,3/5/2014,Rajasthan Royals,Arun Jaitley Stadium,Yes,c & b P V Tambe,1,42,33,127.27,,112,18.67,109.8
7,5/5/2014,Chennai Super Kings,Arun Jaitley Stadium,Yes,run out,1,24,16,150,,136,19.43,115.25
8,7/5/2014,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,c G Gambhir b U T Yadav,1,10,9,111.11,,146,18.25,114.96
9,10/5/2014,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,c K L Rahul b D W Steyn,1,7,12,58.33,,153,17,110.07
10,13/05/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b M A Starc,1,6,6,100,,159,15.9,109.66
11,9/5/2015,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,Yes,st N V Ojha b K V Sharma,1,50,31,161.29,,209,19,118.75
12,12/5/2015,Chennai Super Kings,Shaheed Veer Narayan Sing International Stadium,No,c R Ashwin b I C Pandey,1,3,7,42.86,,212,17.67,115.85
13,17/05/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c V Kohli b Y S Chahal,1,69,39,176.92,,281,21.62,126.58
14,10/4/2016,Kolkata Knight Riders,Eden Gardens,Yes,c Y K Pathan b A D Russell,1,17,10,170,,298,21.29,128.45
15,15/04/2016,Kings XI Punjab,Arun Jaitley Stadium,No,not out,0,59,42,140.48,,357,25.5,130.29
16,17/04/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c †K M Jadhav b S R Watson,1,108,51,211.76,,465,31,143.08
17,23/04/2016,Mumbai Indians,Arun Jaitley Stadium,Yes,c H H Pandya b M J McClenaghan,1,9,7,128.57,,474,29.63,142.77
18,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,Yes,c S K Raina b D S Kulkarni,1,5,11,45.45,,479,28.18,139.65
19,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,c G B Hogg b A D Russell,1,1,3,33.33,,480,26.67,138.73
20,3/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,c D R Smith b S Kaushik,1,46,45,102.22,,526,27.68,134.53
21,7/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c A R Patel b M P Stoinis,1,52,30,173.33,,578,28.9,137.29
22,12/5/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c †N V Ojha b M C Henriques,1,44,31,141.94,,622,29.62,137.61
23,15/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c †J C Buttler b K H Pandya,1,40,28,142.86,,662,30.09,137.92
24,17/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,lbw b A B Dinda,1,2,8,25,,664,28.87,136.07
25,20/05/2016,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,Yes,c †N V Ojha b B B Sran,1,2,9,22.22,,666,27.75,134
26,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,Yes,c C J Jordan b Y S Chahal,1,60,52,115.38,,726,29.04,132.24
27,8/4/2018,Kolkata Knight Riders,Eden Gardens,Yes,c R Vinay Kumar b P P Chawla,1,4,4,100,,730,28.08,132.01
28,13/04/2018,Kings XI Punjab,M Chinnaswamy Stadium,Yes,b R Ashwin,1,45,34,132.35,,775,28.7,132.03
29,15/04/2018,Rajasthan Royals,M Chinnaswamy Stadium,Yes,c J D Unadkat b D J M Short,1,26,19,136.84,,801,28.61,132.18
30,17/04/2018,Mumbai Indians,Wankhede Stadium,Yes,b M J McClenaghan,1,19,12,158.33,,820,28.28,132.69
31,21/04/2018,Delhi Capitals,M Chinnaswamy Stadium,Yes,run out,1,18,16,112.5,,838,27.93,132.18
32,25/04/2018,Chennai Super Kings,M Chinnaswamy Stadium,Yes,c & b D J J Bravo,1,53,37,143.24,,891,28.74,132.79
33,29/04/2018,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,c Shubman Gill b Kuldeep Yadav,1,29,27,107.41,,920,28.75,131.81
34,1/5/2018,Mumbai Indians,M Chinnaswamy Stadium,Yes,c R G Sharma b M J McClenaghan,1,7,13,53.85,,927,28.09,130.38
35,24/03/2019,Delhi Capitals,Wankhede Stadium,Yes,c T A Boult b I Sharma,1,27,16,168.75,,954,28.06,131.22
36,28/03/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b Y S Chahal,1,23,20,115,,977,27.91,130.79
37,30/03/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,lbw b Mohammed Shami,1,60,39,153.85,,1037,28.81,131.93
38,3/4/2019,Chennai Super Kings,Wankhede Stadium,Yes,c K M Jadhav b D L Chahar,1,4,7,57.14,,1041,28.14,131.27
39,6/4/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c D J Hooda b S Kaul,1,19,18,105.56,,1060,27.89,130.7
40,10/4/2019,Kings XI Punjab,Wankhede Stadium,Yes,c D A Miller b R Ashwin,1,24,23,104.35,,1084,27.79,129.98
41,13/04/2019,Rajasthan Royals,Wankhede Stadium,Yes,c J C Buttler b J C Archer,1,81,52,155.77,,1165,29.13,131.49
42,15/04/2019,Royal Challengers Bangalore,Wankhede Stadium,Yes,lbw b M M Ali,1,40,26,153.85,,1205,29.39,132.13
43,18/04/2019,Delhi Capitals,Arun Jaitley Stadium,Yes,run out,1,35,27,129.63,,1240,29.52,132.06
44,20/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,No,c B A Stokes b S Gopal,1,65,47,138.3,,1305,30.35,132.35
45,26/04/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c †A T Rayudu b D L Chahar,1,15,9,166.67,,1320,30,132.66
46,28/04/2019,Kolkata Knight Riders,Eden Gardens,Yes,c A D Russell b S P Narine,1,0,4,0,,1320,29.33,132.13
47,2/5/2019,Sunrisers Hyderabad,Wankhede Stadium,Yes,not out,0,69,58,118.97,,1389,30.87,131.41
48,5/5/2019,Kolkata Knight Riders,Wankhede Stadium,Yes,c †K D Karthik b M Prasidh Krishna,1,30,23,130.43,,1419,30.85,131.39
49,7/5/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c F du Plessis b Harbhajan Singh,1,8,12,66.67,,1427,30.36,130.68
50,12/5/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,Yes,c †M S Dhoni b S N Thakur,1,29,17,170.59,,1456,30.33,131.29
