Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,15/04/2017,Sunrisers Hyderabad,Eden Gardens,b B Kumar,1,0,2,0
2,17/04/2017,Delhi Capitals,Arun Jaitley Stadium,c S W Billings b Z Khan,1,1,2,1
3,23/04/2017,Royal Challengers Bangalore,Eden Gardens,c V Kohli b Y S Chahal,1,0,2,1
4,30/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Rashid Khan b S Kaul,1,18,15,19
5,3/5/2017,Rising Pune Supergiant,Eden Gardens,c W Washington Sundar b J D Unadkat,1,36,19,55
6,7/5/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,st K M Jadhav b P Negi,1,31,28,86
7,9/5/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,11,7,97
8,13/05/2017,Mumbai Indians,Eden Gardens,b H H Pandya,1,29,16,126
9,19/05/2017,Mumbai Indians,M Chinnaswamy Stadium,lbw b K V Sharma,1,0,1,126
10,25/04/2018,Chennai Super Kings,M Chinnaswamy Stadium,run out,1,11,7,137
11,29/04/2018,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,0,11,6,148
12,1/5/2018,Mumbai Indians,M Chinnaswamy Stadium,not out,0,23,10,171
13,5/5/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c S K Raina b D J Willey,1,8,8,179
14,7/5/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b B Kumar,1,33,29,212
15,12/5/2018,Delhi Capitals,Arun Jaitley Stadium,not out,0,3,4,215
16,17/05/2018,Sunrisers Hyderabad,M Chinnaswamy Stadium,c Rashid Khan b S Kaul,1,40,17,255
17,18/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,c A M Rahane b I S Sodhi,1,2,3,257
18,23/03/2019,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b R A Jadeja,1,4,6,261
19,28/03/2019,Mumbai Indians,M Chinnaswamy Stadium,c K H Pandya b J J Bumrah,1,2,7,263
20,31/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,1,37,32,300
21,4/5/2019,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,0,3,4,303
