Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,11/4/2016,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,c A J Finch b D J J Bravo,1,33,22,33
2,1/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,st K D Karthik b R A Jadeja,1,27,17,60
3,4/5/2016,Kolkata Knight Riders,Eden Gardens,c P P Chawla b A D Russell,1,0,3,60
4,7/5/2016,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c S V Samson b Z Khan,1,52,44,112
5,9/5/2016,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,not out,0,34,22,146
6,13/04/2017,Kolkata Knight Riders,Barabati Stadium,b S P Narine,1,9,12,155
7,20/04/2017,Mumbai Indians,Holkar Cricket Stadium,c K A Pollard b M J McClenaghan,1,1,3,156
8,23/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,c B B McCullum b A J Tye,1,7,9,163
9,8/4/2018,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,0,22,15,185
10,13/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,st Q de Kock b W Washington Sundar,1,11,9,196
11,4/5/2018,Mumbai Indians,Holkar Cricket Stadium,not out,0,29,15,225
12,6/5/2018,Rajasthan Royals,Holkar Cricket Stadium,not out,0,23,16,248
13,8/5/2018,Rajasthan Royals,Sawai Mansingh Stadium,c K Gowtham b J D Unadkat,1,11,16,259
14,14/05/2018,Royal Challengers Bangalore,Holkar Cricket Stadium,b Y S Chahal,1,2,3,261
15,16/05/2018,Mumbai Indians,Wankhede Stadium,c †Ishan Kishan b J J Bumrah,1,1,2,262
16,2/4/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,31,28,293
17,5/4/2019,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,0,28,13,321
18,7/4/2019,Delhi Capitals,M Chinnaswamy Stadium,c R Tewatia b A R Patel,1,15,17,336
19,13/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,28,16,364
20,15/04/2019,Mumbai Indians,Wankhede Stadium,c R G Sharma b S L Malinga,1,0,2,364
21,19/04/2019,Kolkata Knight Riders,Eden Gardens,not out,0,17,8,381
22,21/04/2019,Chennai Super Kings,M Chinnaswamy Stadium,c sub b Imran Tahir,1,14,13,395
23,24/04/2019,Kings XI Punjab,M Chinnaswamy Stadium,not out,0,46,34,441
24,28/04/2019,Delhi Capitals,Arun Jaitley Stadium,not out,0,32,24,473
25,30/04/2019,Rajasthan Royals,M Chinnaswamy Stadium,c S P D Smith b S Gopal,1,0,1,473
