Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,21/04/2012,Pune Warriors,Arun Jaitley Stadium,run out,1,8,8,8
2,17/05/2012,Royal Challengers Bangalore,Arun Jaitley Stadium,not out,0,6,4,14
3,22/05/2012,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,st B B McCullum b S P Narine,1,14,11,28
4,25/05/2012,Chennai Super Kings,MA Chidambaram Stadium,not out,0,8,6,36
5,30/04/2015,Kolkata Knight Riders,Eden Gardens,b G B Hogg,1,27,13,63
6,2/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b B Kumar,1,15,11,78
7,4/5/2015,Royal Challengers Bangalore,MA Chidambaram Stadium,b M A Starc,1,13,7,91
8,8/5/2015,Mumbai Indians,MA Chidambaram Stadium,run out,1,36,17,127
9,10/5/2015,Rajasthan Royals,MA Chidambaram Stadium,c S P D Smith b C H Morris,1,2,3,129
10,12/5/2015,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,not out,0,5,8,134
11,19/05/2015,Mumbai Indians,Wankhede Stadium,c sub b R Vinay Kumar,1,3,3,137
12,22/05/2015,Royal Challengers Bangalore,JSCA International Stadium Complex,run out,1,12,6,149
13,24/05/2015,Mumbai Indians,Eden Gardens,c H H Pandya b S L Malinga,1,3,5,152
14,10/4/2016,Kolkata Knight Riders,Eden Gardens,st R V Uthappa b G B Hogg,1,11,19,163
15,15/04/2016,Kings XI Punjab,Arun Jaitley Stadium,not out,0,8,2,171
16,23/04/2016,Mumbai Indians,Arun Jaitley Stadium,not out,0,10,10,181
17,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,not out,0,3,4,184
18,5/5/2016,Rising Pune Supergiant,Arun Jaitley Stadium,not out,0,19,12,203
19,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,c A B de Villiers b C H Gayle,1,6,12,209
20,8/4/2017,Delhi Capitals,M Chinnaswamy Stadium,b C H Morris,1,10,8,219
21,14/04/2017,Mumbai Indians,M Chinnaswamy Stadium,not out,0,13,13,232
22,16/04/2017,Rising Pune Supergiant,M Chinnaswamy Stadium,c R A Tripathi b S N Thakur,1,10,7,242
23,23/04/2017,Kolkata Knight Riders,Eden Gardens,lbw b C de Grandhomme,1,2,3,244
24,27/04/2017,Gujarat Lions,M Chinnaswamy Stadium,c Basil Thampi b Ankit Soni,1,32,19,276
25,29/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c D T Christian b Imran Tahir,1,3,7,279
26,1/5/2017,Mumbai Indians,Wankhede Stadium,c K A Pollard b M J McClenaghan,1,35,23,314
27,5/5/2017,Kings XI Punjab,M Chinnaswamy Stadium,c †W P Saha b A R Patel,1,21,23,335
28,7/5/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,c C A Lynn b U T Yadav,1,5,3,340
29,14/05/2017,Delhi Capitals,Arun Jaitley Stadium,not out,0,13,5,353
30,15/04/2018,Rajasthan Royals,M Chinnaswamy Stadium,c †J C Buttler b B Laughlin,1,3,4,356
31,25/04/2018,Chennai Super Kings,M Chinnaswamy Stadium,run out,1,0,1,356
32,7/4/2019,Delhi Capitals,M Chinnaswamy Stadium,c †R R Pant b K Rabada,1,0,1,356
33,15/04/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b S L Malinga,1,0,2,356
34,21/04/2019,Chennai Super Kings,M Chinnaswamy Stadium,c A T Rayudu b D L Chahar,1,5,6,361
35,30/04/2019,Rajasthan Royals,M Chinnaswamy Stadium,c †S V Samson b O R Thomas,1,4,3,365
