Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,24/04/2017,Mumbai Indians,Wankhede Stadium,not out,0,2,2,2
2,3/5/2017,Kolkata Knight Riders,Eden Gardens,not out,0,1,3,3
3,6/5/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,1,3,4
4,12/5/2017,Delhi Capitals,Arun Jaitley Stadium,not out,0,5,3,9
5,21/05/2017,Mumbai Indians,Rajiv Gandhi International Stadium,not out,0,0,1,9
6,8/4/2018,Kolkata Knight Riders,Eden Gardens,not out,0,0,0,9
7,13/04/2018,Kings XI Punjab,M Chinnaswamy Stadium,not out,0,9,4,18
8,15/04/2018,Rajasthan Royals,M Chinnaswamy Stadium,b B A Stokes,1,35,19,53
9,17/04/2018,Mumbai Indians,Wankhede Stadium,c S A Yadav b K H Pandya,1,7,8,60
10,25/04/2018,Chennai Super Kings,M Chinnaswamy Stadium,not out,0,13,4,73
11,1/5/2018,Mumbai Indians,M Chinnaswamy Stadium,c R G Sharma b H H Pandya,1,1,3,74
12,28/04/2019,Delhi Capitals,Arun Jaitley Stadium,c S S Iyer b K Rabada,1,1,2,75
13,4/5/2019,Sunrisers Hyderabad,M Chinnaswamy Stadium,c M K Pandey b K K Ahmed,1,0,1,75
