Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,16/04/2016,Mumbai Indians,Wankhede Stadium,c H H Pandya b M J McClenaghan,1,12,11,12
2,21/04/2016,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,c Bipul Sharma b B Kumar,1,5,10,17
3,14/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,b Y S Chahal,1,3,6,20
4,23/04/2017,Kings XI Punjab,Saurashtra Cricket Association Stadium,lbw b K C Cariappa,1,0,1,20
5,8/5/2018,Rajasthan Royals,Sawai Mansingh Stadium,c K Gowtham b I S Sodhi,1,9,13,29
6,7/4/2019,Delhi Capitals,M Chinnaswamy Stadium,c †R R Pant b K Rabada,1,19,12,48
7,15/04/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b S L Malinga,1,2,3,50
8,19/04/2019,Kolkata Knight Riders,Eden Gardens,c R V Uthappa b A D Russell,1,13,15,63
9,21/04/2019,Chennai Super Kings,M Chinnaswamy Stadium,c F du Plessis b R A Jadeja,1,24,20,87
10,24/04/2019,Kings XI Punjab,M Chinnaswamy Stadium,c Mandeep Singh b G C Viljoen,1,3,7,90
