Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,5/5/2012,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c & b J Botha,1,23,24,23
2,13/05/2012,Deccan Chargers,Punjab Cricket Association IS Bindra Stadium,not out,0,29,12,52
3,15/05/2012,Delhi Capitals,Arun Jaitley Stadium,st N V Ojha b P Negi,1,8,5,60
4,19/05/2012,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,b M Morkel,1,26,11,86
5,10/4/2013,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c D P Nannes b D J J Bravo,1,31,26,117
6,14/04/2013,Rajasthan Royals,Sawai Mansingh Stadium,c †S V Samson b S K Trivedi,1,10,15,127
7,16/04/2013,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,b S P Narine,1,0,1,127
8,19/04/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b D W Steyn,1,17,12,144
9,26/04/2013,Kolkata Knight Riders,Eden Gardens,not out,0,28,15,172
10,29/04/2013,Mumbai Indians,Wankhede Stadium,c D R Smith b Harbhajan Singh,1,2,4,174
11,2/5/2013,Chennai Super Kings,MA Chidambaram Stadium,c M E K Hussey b D J J Bravo,1,0,1,174
12,6/5/2013,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,lbw b M Kartik,1,20,20,194
13,18/05/2013,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,lbw b S L Malinga,1,0,1,194
14,18/04/2015,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,c S A Yadav b U T Yadav,1,11,10,205
15,9/5/2015,Kolkata Knight Riders,Eden Gardens,c & b A D Russell,1,4,7,209
16,11/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c E J G Morgan b M C Henriques,1,3,5,212
17,13/05/2015,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,c †K D Karthik b M A Starc,1,2,3,214
18,16/05/2015,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,st M S Dhoni b R Ashwin,1,15,14,229
19,1/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,run out,1,0,3,229
20,4/5/2016,Kolkata Knight Riders,Eden Gardens,run out,1,11,11,240
21,13/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,6,4,246
22,15/05/2016,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,b B Kumar,1,27,20,273
23,18/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c C H Gayle b Y S Chahal,1,18,18,291
24,21/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,c D L Chahar b R Ashwin,1,51,30,342
25,28/04/2019,Delhi Capitals,Arun Jaitley Stadium,c †R R Pant b I Sharma,1,27,19,369
26,30/04/2019,Rajasthan Royals,M Chinnaswamy Stadium,c M K Lomror b R Parag,1,6,3,375
27,4/5/2019,Sunrisers Hyderabad,M Chinnaswamy Stadium,c Y K Pathan b K K Ahmed,1,65,48,440
