Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,7/5/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †W P Saha b S Kaul,1,10,7,10
2,12/5/2018,Delhi Capitals,Arun Jaitley Stadium,c P P Shaw b T A Boult,1,1,3,11
3,17/05/2018,Sunrisers Hyderabad,M Chinnaswamy Stadium,c †S P Goswami b Rashid Khan,1,65,34,76
4,18/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,c & b S Gopal,1,1,2,77
5,23/03/2019,Chennai Super Kings,MA Chidambaram Stadium,c & b Harbhajan Singh,1,9,8,86
6,28/03/2019,Mumbai Indians,M Chinnaswamy Stadium,run out,1,13,7,99
7,31/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,1,2,8,101
8,2/4/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,18,9,119
9,5/4/2019,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,0,0,2,119
10,7/4/2019,Delhi Capitals,M Chinnaswamy Stadium,st R R Pant b S Lamichhane,1,32,18,151
11,15/04/2019,Mumbai Indians,Wankhede Stadium,c H H Pandya b S L Malinga,1,50,32,201
12,19/04/2019,Kolkata Knight Riders,Eden Gardens,c M Prasidh Krishna b Kuldeep Yadav,1,66,28,267
13,21/04/2019,Chennai Super Kings,M Chinnaswamy Stadium,c S N Thakur b D J J Bravo,1,26,16,293
14,24/04/2019,Kings XI Punjab,M Chinnaswamy Stadium,b R Ashwin,1,4,5,297
