Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,18/04/2008,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,b A B Dinda,1,1,5,20,,1,1,20
2,20/04/2008,Mumbai Indians,Wankhede Stadium,Yes,c †L Ronchi b A Nehra,1,23,14,164.29,,24,12,126.32
3,26/04/2008,Rajasthan Royals,M Chinnaswamy Stadium,Yes,c †M Rawat b M M Patel,1,13,14,92.86,,37,12.33,112.12
4,28/04/2008,Chennai Super Kings,M Chinnaswamy Stadium,Yes,b J A Morkel,1,12,7,171.43,,49,12.25,122.5
5,30/04/2008,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,1,1,100,,50,12.5,121.95
6,3/5/2008,Deccan Chargers,M Chinnaswamy Stadium,Yes,c S B Bangar b R P Singh,1,38,29,131.03,,88,17.6,125.71
7,5/5/2008,Kings XI Punjab,M Chinnaswamy Stadium,Yes,c S Sreesanth b I K Pathan,1,34,36,94.44,,122,20.33,115.09
8,12/5/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b P P Chawla,1,21,22,95.45,,143,20.43,111.72
9,17/05/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,b Sohail Tanvir,1,3,7,42.86,,146,18.25,108.15
10,21/05/2008,Chennai Super Kings,MA Chidambaram Stadium,Yes,c J A Morkel b M Muralitharan,1,10,16,62.5,,156,17.33,103.31
11,25/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,c D B Ravi Teja b W P U J C Vaas,1,9,5,180,,165,16.5,105.77
12,28/05/2008,Mumbai Indians,M Chinnaswamy Stadium,Yes,c †Y V Takawale b A Nehra,1,0,1,0,,165,15,105.1
13,18/04/2009,Rajasthan Royals,Newlands,Yes,b S K Warne,1,3,8,37.5,,168,14,101.82
14,20/04/2009,Chennai Super Kings,St George's Park,Yes,c S Badrinath b Joginder Sharma,1,11,13,84.62,,179,13.77,100.56
15,22/04/2009,Deccan Chargers,Newlands,Yes,c H H Gibbs b R P Singh,1,50,32,156.25,,229,16.36,109.05
16,24/04/2009,Kings XI Punjab,Kingsmead,Yes,c R S Bopara b V R Singh,1,2,3,66.67,,231,15.4,108.45
17,26/04/2009,Delhi Capitals,St George's Park,No,c T M Dilshan b A Nehra,1,22,24,91.67,,253,15.81,106.75
18,29/04/2009,Kolkata Knight Riders,Kingsmead,No,c †M N van Wyk b B J Hodge,1,19,12,158.33,,272,16,109.24
19,1/5/2009,Kings XI Punjab,Kingsmead,Yes,c P P Chawla b I K Pathan,1,16,14,114.29,,288,16,109.51
20,7/5/2009,Rajasthan Royals,SuperSport Park,No,c M Morkel b R A Jadeja,1,15,22,68.18,,303,15.95,106.32
