Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,2/5/2008,Chennai Super Kings,MA Chidambaram Stadium,Yes,not out,0,26,21,123.81,,26,,123.81
2,4/5/2008,Mumbai Indians,Dr DY Patil Sports Academy,Yes,run out,1,21,17,123.53,,47,47,123.68
3,8/5/2008,Chennai Super Kings,Arun Jaitley Stadium,Yes,b J A Morkel,1,0,1,0,,47,23.5,120.51
4,11/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c S K Warne b A D Mascarenhas,1,20,22,90.91,,67,22.33,109.84
5,13/05/2008,Kolkata Knight Riders,Eden Gardens,Yes,c T Taibu b Shoaib Akhtar,1,7,12,58.33,,74,18.5,101.37
6,19/05/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c †S P Goswami b D W Steyn,1,21,25,84,,95,19,96.94
7,23/04/2009,Chennai Super Kings,Kingsmead,No,not out,0,105,54,194.44,,200,40,131.58
8,26/04/2009,Royal Challengers Bangalore,St George's Park,No,b K P Appanna,1,21,23,91.3,,221,36.83,126.29
9,28/04/2009,Rajasthan Royals,SuperSport Park,Yes,lbw b S K Warne,1,50,40,125,,271,38.71,126.05
10,30/04/2009,Deccan Chargers,SuperSport Park,No,c P P Ojha b Shoaib Ahmed,1,5,9,55.56,,276,34.5,123.21
11,2/5/2009,Chennai Super Kings,Wanderers Stadium,Yes,b S Tyagi,1,0,1,0,,276,30.67,122.67
12,8/5/2009,Mumbai Indians,Buffalo Park,Yes,not out,0,50,38,131.58,,326,36.22,123.95
13,10/5/2009,Kolkata Knight Riders,Wanderers Stadium,Yes,not out,0,40,32,125,,366,40.67,124.07
14,13/05/2009,Deccan Chargers,Kingsmead,Yes,c D B Ravi Teja b D R Smith,1,44,36,122.22,,410,41,123.87
15,15/05/2009,Kings XI Punjab,Mangaung Oval,Yes,c Yuvraj Singh b S Sreesanth,1,11,11,100,,421,38.27,123.1
16,17/05/2009,Rajasthan Royals,Mangaung Oval,Yes,not out,0,79,55,143.64,,500,45.45,125.94
17,19/05/2009,Royal Challengers Bangalore,Wanderers Stadium,Yes,b R E van der Merwe,1,28,29,96.55,,528,44,123.94
18,21/05/2009,Mumbai Indians,SuperSport Park,No,c A M Nayar b Harbhajan Singh,1,6,6,100,,534,41.08,123.61
19,22/05/2009,Deccan Chargers,SuperSport Park,Yes,c †A C Gilchrist b R P Singh,1,26,21,123.81,,560,40,123.62
20,13/03/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,run out,1,7,13,53.85,,567,37.8,121.67
21,15/03/2010,Rajasthan Royals,Barabati Stadium,Yes,c sub b S K Warne,1,15,24,62.5,,582,36.38,118.78
22,17/03/2010,Mumbai Indians,Arun Jaitley Stadium,Yes,b D J J Bravo,1,11,11,100,,593,34.88,118.36
23,19/03/2010,Chennai Super Kings,Arun Jaitley Stadium,Yes,c S K Raina b R Ashwin,1,2,3,66.67,,595,33.06,118.06
24,21/03/2010,Deccan Chargers,Barabati Stadium,Yes,b R Sharma,1,27,26,103.85,,622,32.74,117.36
25,25/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,run out,1,45,35,128.57,,667,33.35,118.05
26,13/04/2010,Mumbai Indians,Brabourne Stadium,Yes,lbw b A G Murtaza,1,4,7,57.14,,671,31.95,117.31
27,9/4/2011,Kochi Tuskers Kerala,Nehru Stadium (Kochi),Yes,not out,0,54,40,135,,725,34.52,118.46
