Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,19/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c †K C Sangakkara b B Lee,1,15,10,150,,15,15,150
2,23/04/2008,Mumbai Indians,MA Chidambaram Stadium,Yes,c †L Ronchi b A Nehra,1,14,11,127.27,,29,14.5,138.1
3,26/04/2008,Kolkata Knight Riders,MA Chidambaram Stadium,Yes,c I Sharma b A B Agarkar,1,21,27,77.78,,50,16.67,104.17
4,28/04/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c J H Kallis b P Kumar,1,21,17,123.53,,71,17.75,109.23
5,2/5/2008,Delhi Capitals,MA Chidambaram Stadium,Yes,c V Y Mahesh b V Sehwag,1,21,20,105,,92,18.4,108.24
6,4/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,lbw b Sohail Tanvir,1,0,1,0,,92,15.33,106.98
7,6/5/2008,Deccan Chargers,MA Chidambaram Stadium,Yes,c R P Singh b D P Vijaykumar,1,4,6,66.67,,96,13.71,104.35
8,18/05/2008,Kolkata Knight Riders,Eden Gardens,Yes,not out,0,19,28,67.86,,115,16.43,95.83
9,21/05/2008,Royal Challengers Bangalore,MA Chidambaram Stadium,Yes,c & b A Kumble,1,24,29,82.76,,139,17.38,93.29
10,24/05/2008,Rajasthan Royals,MA Chidambaram Stadium,Yes,st Kamran Akmal b S K Warne,1,54,40,135,,193,21.44,102.12
11,27/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,c Shahid Afridi b P M Sarvesh Kumar,1,20,27,74.07,,213,21.3,98.61
12,31/05/2008,Kings XI Punjab,Wankhede Stadium,Yes,not out,0,51,48,106.25,,264,26.4,100
13,1/6/2008,Rajasthan Royals,Dr DY Patil Sports Academy,Yes,c †Kamran Akmal b Y K Pathan,1,38,33,115.15,,302,27.45,101.68
14,18/04/2009,Mumbai Indians,Newlands,No,c S R Tendulkar b S L Malinga,1,0,2,0,,302,25.17,101
15,20/04/2009,Royal Challengers Bangalore,St George's Park,Yes,b K P Pietersen,1,30,26,115.38,,332,25.54,102.15
16,23/04/2009,Delhi Capitals,Kingsmead,No,c A B de Villiers b P J Sangwan,1,16,15,106.67,,348,24.86,102.35
17,27/04/2009,Deccan Chargers,Kingsmead,No,c †A C Gilchrist b F H Edwards,1,0,2,0,,348,23.2,101.75
18,30/04/2009,Rajasthan Royals,Buffalo Park,Yes,c Kamran Khan b Y K Pathan,1,3,11,27.27,,351,21.94,99.43
19,16/05/2009,Mumbai Indians,St George's Park,No,lbw b S L Malinga,1,0,1,0,,351,20.65,99.15
20,18/05/2009,Kolkata Knight Riders,SuperSport Park,Yes,run out,1,25,19,131.58,,376,20.89,100.8
21,20/05/2009,Kings XI Punjab,Kingsmead,Yes,b R R Powar,1,32,23,139.13,,408,21.47,103.03
22,23/05/2009,Royal Challengers Bangalore,Wanderers Stadium,Yes,lbw b J H Kallis,1,36,27,133.33,,444,22.2,104.96
23,19/03/2010,Delhi Capitals,Arun Jaitley Stadium,Yes,run out,1,6,6,100,,450,21.43,104.9
24,21/03/2010,Kings XI Punjab,MA Chidambaram Stadium,Yes,st K C Sangakkara b P P Chawla,1,57,58,98.28,,507,23.05,104.11
25,23/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c †M V Boucher b P Kumar,1,1,3,33.33,,508,22.09,103.67
26,25/03/2010,Mumbai Indians,Brabourne Stadium,Yes,b R McLaren,1,8,12,66.67,,516,21.5,102.79
27,9/4/2011,Royal Challengers Bangalore,Nehru Stadium (Kochi),Yes,not out,0,1,4,25,,517,21.54,102.17
28,13/04/2011,Pune Warriors,Dr DY Patil Sports Academy,Yes,c G C Smith b W D Parnell,1,21,19,110.53,,538,21.52,102.48
29,18/04/2011,Chennai Super Kings,Nehru Stadium (Kochi),Yes,c S Anirudha b D E Bollinger,1,34,26,130.77,,572,22,103.81
30,20/04/2011,Kolkata Knight Riders,Eden Gardens,Yes,lbw b Y K Pathan,1,9,11,81.82,,581,21.52,103.38
31,24/04/2011,Rajasthan Royals,Sawai Mansingh Stadium,Yes,st D H Yagnik b S K Warne,1,32,34,94.12,,613,21.89,102.85
32,27/04/2011,Deccan Chargers,Nehru Stadium (Kochi),Yes,c †K C Sangakkara b I Sharma,1,0,3,0,,613,21.14,102.34
33,30/04/2011,Delhi Capitals,Nehru Stadium (Kochi),Yes,b I K Pathan,1,1,3,33.33,,614,20.47,101.99
34,2/5/2011,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,37,31,119.35,,651,21.7,102.84
35,5/5/2011,Kolkata Knight Riders,Nehru Stadium (Kochi),Yes,c R Bhatia b J D Unadkat,1,21,16,131.25,,672,21.68,103.54
36,8/5/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,run out,1,19,14,135.71,,691,21.59,104.22
37,13/05/2011,Kings XI Punjab,Holkar Cricket Stadium,Yes,c K D Karthik b S J Srivastava,1,0,1,0,,691,20.94,104.07
38,15/05/2011,Rajasthan Royals,Holkar Cricket Stadium,Yes,not out,0,21,14,150,,712,21.58,105.01
39,18/05/2011,Chennai Super Kings,MA Chidambaram Stadium,Yes,c J A Morkel b R Ashwin,1,6,7,85.71,,718,21.12,104.82
40,7/4/2012,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,b R A Jadeja,1,20,17,117.65,,738,21.09,105.13
41,9/4/2012,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c R G Sharma b M M Patel,1,1,5,20,,739,20.53,104.53
42,19/04/2012,Delhi Capitals,Arun Jaitley Stadium,Yes,c D P M D Jayawardene b S Nadeem,1,45,27,166.67,,784,21.19,106.81
43,22/04/2012,Kolkata Knight Riders,Barabati Stadium,Yes,run out,1,23,19,121.05,,807,21.24,107.17
44,26/04/2012,Pune Warriors,Maharashtra Cricket Association Stadium,Yes,c M K Pandey b B Kumar,1,24,18,133.33,,831,21.31,107.78
45,29/04/2012,Mumbai Indians,Wankhede Stadium,Yes,c M M Patel b R P Singh,1,19,18,105.56,,850,21.25,107.73
46,1/5/2012,Pune Warriors,Barabati Stadium,Yes,b M N Samuels,1,0,1,0,,850,20.73,107.59
47,4/5/2012,Chennai Super Kings,MA Chidambaram Stadium,Yes,b J A Morkel,1,1,5,20,,851,20.26,107.04
48,8/5/2012,Kings XI Punjab,Rajiv Gandhi International Stadium,Yes,b P Awana,1,17,13,130.77,,868,20.19,107.43
49,10/5/2012,Delhi Capitals,Rajiv Gandhi International Stadium,Yes,not out,0,0,0,-,,868,20.19,107.43
50,13/05/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c Gurkeerat Singh b Azhar Mahmood,1,18,16,112.5,,886,20.14,107.52
51,18/05/2012,Rajasthan Royals,Rajiv Gandhi International Stadium,Yes,not out,0,10,5,200,,896,20.36,108.08
52,20/05/2012,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Yes,c C H Gayle b R Vinay Kumar,1,16,21,76.19,,912,20.27,107.29
