Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,c & b H H Pandya,1,8,9,8
2,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,not out,0,1,1,9
3,2/5/2018,Delhi Capitals,Arun Jaitley Stadium,not out,0,0,0,9
4,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,b Mujeeb Ur Rahman,1,0,1,9
5,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,c M K Tiwary b A J Tye,1,0,1,9
6,11/5/2018,Chennai Super Kings,Sawai Mansingh Stadium,not out,0,0,0,9
7,15/05/2018,Kolkata Knight Riders,Eden Gardens,c Shubman Gill b A D Russell,1,6,5,15
8,18/05/2018,Royal Challengers Bangalore,Sawai Mansingh Stadium,c †P A Patel b U T Yadav,1,0,4,15
9,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,run out,1,2,2,17
10,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,not out,0,24,11,41
11,11/4/2019,Chennai Super Kings,Sawai Mansingh Stadium,not out,0,13,12,54
12,16/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c K L Rahul b Mohammed Shami,1,1,3,55
13,25/04/2019,Kolkata Knight Riders,Eden Gardens,not out,0,27,12,82
