Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,9/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †W P Saha b S Kaul,1,0,2,0
2,11/4/2018,Delhi Capitals,Sawai Mansingh Stadium,not out,0,2,1,2
3,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,c Shivam Mavi b T K Curran,1,12,7,14
4,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c †M S Dhoni b S R Watson,1,1,2,15
5,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,not out,0,33,11,48
6,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,c S Dhawan b Basil Thampi,1,8,5,56
7,2/5/2018,Delhi Capitals,Arun Jaitley Stadium,not out,0,18,6,74
8,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,c M P Stoinis b A S Rajpoot,1,5,3,79
9,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,c M K Tiwary b M P Stoinis,1,8,6,87
10,11/5/2018,Chennai Super Kings,Sawai Mansingh Stadium,c †M S Dhoni b D J Willey,1,13,4,100
11,15/05/2018,Kolkata Knight Riders,Eden Gardens,c †K D Karthik b Shivam Mavi,1,3,5,103
12,18/05/2018,Royal Challengers Bangalore,Sawai Mansingh Stadium,run out,1,14,5,117
13,23/05/2018,Kolkata Knight Riders,Eden Gardens,not out,0,9,7,126
14,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,c Mohammed Shami b A S Rajpoot,1,3,4,129
15,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b S N Thakur,1,9,8,138
16,13/04/2019,Mumbai Indians,Wankhede Stadium,not out,0,0,1,138
17,4/5/2019,Delhi Capitals,Arun Jaitley Stadium,c I Sharma b A Mishra,1,6,6,144
