Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,23/05/2014,Delhi Capitals,Wankhede Stadium,run out,1,11,10,11
2,14/04/2015,Rajasthan Royals,Sardar Patel Stadium,not out,0,1,1,12
3,9/4/2016,Rising Pune Supergiant,Wankhede Stadium,c A M Rahane b M Ashwin,1,2,16,14
4,9/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Y K Pathan b B Kumar,1,18,18,32
5,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,b T K Curran,1,0,1,32
6,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,0,8,10,40
7,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,run out,1,24,16,64
8,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,not out,0,1,1,65
9,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,c Imran Tahir b D J J Bravo,1,0,3,65
10,11/4/2019,Chennai Super Kings,Sawai Mansingh Stadium,not out,0,19,7,84
11,13/04/2019,Mumbai Indians,Wankhede Stadium,not out,0,13,7,97
12,16/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c M A Agarwal b Mohammed Shami,1,0,1,97
13,25/04/2019,Kolkata Knight Riders,Eden Gardens,c Shubman Gill b M Prasidh Krishna,1,18,9,115
14,4/5/2019,Delhi Capitals,Arun Jaitley Stadium,st R R Pant b A Mishra,1,12,18,127
