Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,6/4/2017,Mumbai Indians,Maharashtra Cricket Association Stadium,c T G Southee b H H Pandya,1,21,14,21
2,8/4/2017,Kings XI Punjab,Holkar Cricket Stadium,c & b A R Patel,1,50,32,71
3,11/4/2017,Delhi Capitals,Maharashtra Cricket Association Stadium,c †R R Pant b P J Cummins,1,2,5,73
4,14/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,b A J Tye,1,25,18,98
5,16/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,b A F Milne,1,2,3,100
6,22/04/2017,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,c sub b B Kumar,1,10,9,110
7,24/04/2017,Mumbai Indians,Wankhede Stadium,b M G Johnson,1,17,12,127
8,1/5/2017,Gujarat Lions,Maharashtra Cricket Association Stadium,not out,0,103,63,230
9,3/5/2017,Kolkata Knight Riders,Eden Gardens,c & b S P Narine,1,14,15,244
10,6/5/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,1,39,25,283
11,12/5/2017,Delhi Capitals,Arun Jaitley Stadium,c C J Anderson b Mohammed Shami,1,33,25,316
12,9/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K S Williamson b B Stanlake,1,5,8,321
13,11/4/2018,Delhi Capitals,Sawai Mansingh Stadium,c †R R Pant b T A Boult,1,16,12,337
14,15/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,b Y S Chahal,1,27,21,364
15,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,c N Rana b P P Chawla,1,14,11,378
16,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c S W Billings b Imran Tahir,1,45,37,423
17,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,b H H Pandya,1,40,27,463
18,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,b Y K Pathan,1,0,3,463
19,2/5/2018,Delhi Capitals,Arun Jaitley Stadium,c V Shankar b T A Boult,1,1,2,464
20,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,c M K Tiwary b Mujeeb Ur Rahman,1,12,9,476
21,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,c R Ashwin b A J Tye,1,14,11,490
22,11/5/2018,Chennai Super Kings,Sawai Mansingh Stadium,b Harbhajan Singh,1,11,7,501
23,13/05/2018,Mumbai Indians,Wankhede Stadium,not out,0,0,0,501
24,15/05/2018,Kolkata Knight Riders,Eden Gardens,c & b Kuldeep Yadav,1,11,13,512
25,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,c sub b Mujeeb Ur Rahman,1,6,2,518
26,29/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,16,9,534
27,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b D J J Bravo,1,46,26,580
28,2/4/2019,Royal Challengers Bangalore,Sawai Mansingh Stadium,not out,0,1,2,581
29,7/4/2019,Kolkata Knight Riders,Sawai Mansingh Stadium,not out,0,7,14,588
30,11/4/2019,Chennai Super Kings,Sawai Mansingh Stadium,b D L Chahar,1,28,26,616
31,20/04/2019,Mumbai Indians,Sawai Mansingh Stadium,b R D Chahar,1,0,2,616
32,22/04/2019,Delhi Capitals,Sawai Mansingh Stadium,c S S Iyer b C H Morris,1,8,8,624
33,25/04/2019,Kolkata Knight Riders,Eden Gardens,c A D Russell b P P Chawla,1,11,10,635
