Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/04/2010,Kolkata Knight Riders,Eden Gardens,c S C Ganguly b A B Dinda,1,8,5,8
2,21/04/2011,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c P P Chawla b R McLaren,1,30,24,38
3,4/5/2011,Chennai Super Kings,MA Chidambaram Stadium,not out,0,7,7,45
4,23/04/2012,Royal Challengers Bangalore,Sawai Mansingh Stadium,not out,0,20,18,65
5,5/5/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c S E Marsh b R J Harris,1,0,1,65
6,10/5/2012,Chennai Super Kings,Sawai Mansingh Stadium,c S K Raina b V Y Mahesh,1,27,18,92
7,13/05/2012,Pune Warriors,Sawai Mansingh Stadium,not out,0,6,5,98
8,18/05/2012,Deccan Chargers,Rajiv Gandhi International Stadium,b A Mishra,1,7,8,105
9,20/05/2012,Mumbai Indians,Sawai Mansingh Stadium,run out,1,30,17,135
10,6/4/2013,Delhi Capitals,Arun Jaitley Stadium,b U T Yadav,1,40,20,175
11,8/4/2013,Kolkata Knight Riders,Sawai Mansingh Stadium,lbw b L R Shukla,1,14,11,189
12,11/4/2013,Pune Warriors,Maharashtra Cricket Association Stadium,c M R Marsh b Yuvraj Singh,1,1,4,190
13,14/04/2013,Kings XI Punjab,Sawai Mansingh Stadium,c †A C Gilchrist b P Kumar,1,0,4,190
14,17/04/2013,Mumbai Indians,Sawai Mansingh Stadium,run out,1,4,4,194
15,20/04/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,c †K B A Arun Karthik b R Vinay Kumar,1,33,20,227
16,22/04/2013,Chennai Super Kings,MA Chidambaram Stadium,not out,0,36,22,263
17,27/04/2013,Sunrisers Hyderabad,Sawai Mansingh Stadium,not out,0,9,10,272
18,29/04/2013,Royal Challengers Bangalore,Sawai Mansingh Stadium,not out,0,6,3,278
19,3/5/2013,Kolkata Knight Riders,Eden Gardens,not out,0,3,5,281
20,5/5/2013,Pune Warriors,Sawai Mansingh Stadium,not out,0,32,13,313
21,12/5/2013,Chennai Super Kings,Sawai Mansingh Stadium,not out,0,41,23,354
22,15/05/2013,Mumbai Indians,Wankhede Stadium,not out,0,37,29,391
23,17/05/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b N L T C Perera,1,8,8,399
24,22/05/2013,Sunrisers Hyderabad,Arun Jaitley Stadium,b D J G Sammy,1,2,6,401
25,24/05/2013,Mumbai Indians,Eden Gardens,c Harbhajan Singh b K A Pollard,1,27,17,428
26,18/04/2014,Sunrisers Hyderabad,Sheikh Zayed Stadium,not out,0,48,32,476
27,20/04/2014,Kings XI Punjab,Sharjah Cricket Stadium,c D A Miller b M G Johnson,1,12,8,488
28,23/04/2014,Chennai Super Kings,Dubai International Cricket Stadium,c F du Plessis b M M Sharma,1,8,11,496
29,26/04/2014,Royal Challengers Bangalore,Sheikh Zayed Stadium,not out,0,0,0,496
30,29/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,c †M S Bisla b M Morkel,1,0,1,496
31,5/5/2014,Kolkata Knight Riders,Sardar Patel Stadium,c R N ten Doeschate b R Vinay Kumar,1,11,9,507
32,8/5/2014,Sunrisers Hyderabad,Sardar Patel Stadium,run out,1,12,19,519
33,11/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,c sub b Yuvraj Singh,1,1,2,520
34,13/05/2014,Chennai Super Kings,JSCA International Stadium Complex,c F du Plessis b R A Jadeja,1,22,17,542
35,15/05/2014,Delhi Capitals,Sardar Patel Stadium,st K D Karthik b Imran Tahir,1,0,2,542
36,19/05/2014,Mumbai Indians,Sardar Patel Stadium,st A P Tare b S Gopal,1,2,10,544
37,23/05/2014,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c S E Marsh b Karanveer Singh,1,7,10,551
38,10/4/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,c †W P Saha b M G Johnson,1,13,16,564
39,12/4/2015,Delhi Capitals,Arun Jaitley Stadium,lbw b Imran Tahir,1,1,2,565
40,16/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,16,14,581
41,21/04/2015,Kings XI Punjab,Sardar Patel Stadium,not out,0,12,4,593
42,24/04/2015,Royal Challengers Bangalore,Sardar Patel Stadium,c D Wiese b M A Starc,1,20,20,613
43,1/5/2015,Mumbai Indians,Wankhede Stadium,not out,0,9,6,622
44,7/5/2015,Sunrisers Hyderabad,Brabourne Stadium,not out,0,3,3,625
45,20/05/2015,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,run out,1,0,1,625
46,20/04/2016,Mumbai Indians,Barabati Stadium,c H H Pandya b J J Bumrah,1,1,2,626
47,2/5/2016,Kolkata Knight Riders,M Chinnaswamy Stadium,c M K Pandey b U T Yadav,1,16,4,642
48,9/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,0,0,642
49,22/05/2016,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,not out,0,16,11,658
50,24/05/2016,Gujarat Lions,M Chinnaswamy Stadium,lbw b R A Jadeja,1,21,15,679
51,29/05/2016,Sunrisers Hyderabad,M Chinnaswamy Stadium,run out,1,9,7,688
52,5/4/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Yuvraj Singh b B Kumar,1,11,10,699
53,8/4/2017,Delhi Capitals,M Chinnaswamy Stadium,c S W Billings b Z Khan,1,16,18,715
54,10/4/2017,Kings XI Punjab,Holkar Cricket Stadium,not out,0,18,20,733
55,14/04/2017,Mumbai Indians,M Chinnaswamy Stadium,not out,0,6,4,739
56,16/04/2017,Rising Pune Supergiant,M Chinnaswamy Stadium,b S N Thakur,1,18,8,757
57,23/04/2017,Kolkata Knight Riders,Eden Gardens,c †R V Uthappa b C R Woakes,1,8,9,765
58,29/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c W Washington Sundar b L H Ferguson,1,1,7,766
59,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c & b S N Thakur,1,10,8,776
60,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,run out,1,11,7,787
61,11/5/2018,Chennai Super Kings,Sawai Mansingh Stadium,c S R Watson b D J J Bravo,1,22,17,809
62,15/05/2018,Kolkata Knight Riders,Eden Gardens,st K D Karthik b Kuldeep Yadav,1,1,4,810
63,23/05/2018,Kolkata Knight Riders,Eden Gardens,c C A Lynn b M Prasidh Krishna,1,0,3,810
64,16/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,33,11,843
65,20/04/2019,Mumbai Indians,Sawai Mansingh Stadium,not out,0,7,4,850
66,22/04/2019,Delhi Capitals,Sawai Mansingh Stadium,b K Rabada,1,19,13,869
67,25/04/2019,Kolkata Knight Riders,Eden Gardens,c R K Singh b P P Chawla,1,11,11,880
68,4/5/2019,Delhi Capitals,Arun Jaitley Stadium,c †R R Pant b A Mishra,1,0,1,880
