Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,27/04/2008,Deccan Chargers,Dr DY Patil Sports Academy,Yes,c P P Ojha b S B Bangar,1,0,7,0,,0,0,0
2,29/04/2008,Kolkata Knight Riders,Eden Gardens,Yes,c D J Hussey b A B Agarkar,1,4,10,40,,4,2,23.53
3,1/5/2009,Kolkata Knight Riders,Buffalo Park,No,c C H Gayle b I Sharma,1,10,8,125,,14,4.67,56
4,3/5/2009,Royal Challengers Bangalore,Wanderers Stadium,Yes,c R V Uthappa b D du Preez,1,0,1,0,,14,3.5,53.85
5,8/5/2009,Delhi Capitals,Buffalo Park,Yes,c P J Sangwan b R Bhatia,1,12,12,100,,26,5.2,68.42
6,10/5/2009,Royal Challengers Bangalore,St George's Park,No,not out,0,62,49,126.53,,88,17.6,101.15
7,12/5/2009,Kings XI Punjab,SuperSport Park,Yes,lbw b P P Chawla,1,1,5,20,,89,14.83,96.74
8,14/05/2009,Rajasthan Royals,Kingsmead,Yes,c A S Raut b S K Warne,1,3,7,42.86,,92,13.14,92.93
9,21/05/2009,Delhi Capitals,SuperSport Park,No,c A B de Villiers b P J Sangwan,1,56,41,136.59,,148,18.5,105.71
10,12/4/2011,Delhi Capitals,Sawai Mansingh Stadium,Yes,b M Morkel,1,18,17,105.88,,166,18.44,105.73
11,17/04/2011,Kolkata Knight Riders,Eden Gardens,Yes,b L Balaji,1,6,9,66.67,,172,17.2,103.61
12,1/5/2011,Pune Warriors,Sawai Mansingh Stadium,Yes,not out,0,15,9,166.67,,187,18.7,106.86
13,4/5/2011,Chennai Super Kings,MA Chidambaram Stadium,Yes,c & b J A Morkel,1,4,8,50,,191,17.36,104.37
14,9/5/2011,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c S K Raina b D J J Bravo,1,52,36,144.44,,243,20.25,110.96
15,11/5/2011,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,run out,1,17,10,170,,260,20,113.54
16,15/05/2011,Kochi Tuskers Kerala,Holkar Cricket Stadium,Yes,lbw b S Sreesanth,1,8,9,88.89,,268,19.14,112.61
17,6/4/2012,Kings XI Punjab,Sawai Mansingh Stadium,Yes,b J P Faulkner,1,98,66,148.48,,366,24.4,120.39
18,8/4/2012,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,run out,1,0,4,0,,366,22.88,118.83
19,11/4/2012,Mumbai Indians,Wankhede Stadium,Yes,c R E Levi b K A Pollard,1,40,31,129.03,,406,23.88,119.76
20,13/04/2012,Kolkata Knight Riders,Eden Gardens,Yes,c †M S Bisla b Shakib Al Hasan,1,19,16,118.75,,425,23.61,119.72
21,15/04/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,103,60,171.67,,528,29.33,127.23
22,17/04/2012,Deccan Chargers,Sawai Mansingh Stadium,Yes,c D T Christian b A Mishra,1,44,31,141.94,,572,30.11,128.25
23,21/04/2012,Chennai Super Kings,MA Chidambaram Stadium,Yes,c K M D N Kulasekara b R Ashwin,1,15,10,150,,587,29.35,128.73
24,23/04/2012,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,c sub b K P Appanna,1,13,18,72.22,,600,28.57,126.58
25,29/04/2012,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,84,63,133.33,,684,32.57,127.37
26,1/5/2012,Delhi Capitals,Sawai Mansingh Stadium,Yes,c V Sehwag b P Negi,1,42,32,131.25,,726,33,127.59
27,5/5/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c †N Saini b R J Harris,1,5,6,83.33,,731,31.78,127.13
28,8/5/2012,Pune Warriors,Maharashtra Cricket Association Stadium,Yes,c S P D Smith b B Kumar,1,0,3,0,,731,30.46,126.47
29,10/5/2012,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c R Ashwin b V Y Mahesh,1,17,22,77.27,,748,29.92,124.67
30,13/05/2012,Pune Warriors,Sawai Mansingh Stadium,Yes,b A D Mathews,1,61,47,129.79,,809,31.12,125.04
31,18/05/2012,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,c S Dhawan b D W Steyn,1,6,7,85.71,,815,30.19,124.62
32,20/05/2012,Mumbai Indians,Sawai Mansingh Stadium,Yes,c R G Sharma b D S Kulkarni,1,13,17,76.47,,828,29.57,123.4
33,6/4/2013,Delhi Capitals,Arun Jaitley Stadium,Yes,c & b S Nadeem,1,28,24,116.67,,856,29.52,123.17
34,8/4/2013,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,c †M S Bisla b S P Narine,1,36,34,105.88,,892,29.73,122.36
35,11/4/2013,Pune Warriors,Maharashtra Cricket Association Stadium,Yes,c A D Mathews b R Sharma,1,30,27,111.11,,922,29.74,121.96
36,14/04/2013,Kings XI Punjab,Sawai Mansingh Stadium,Yes,not out,0,34,42,80.95,,956,30.84,119.8
37,17/04/2013,Mumbai Indians,Sawai Mansingh Stadium,Yes,not out,0,68,54,125.93,,1024,33.03,120.19
38,20/04/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c T M Dilshan b J D Unadkat,1,14,13,107.69,,1038,32.44,120
39,22/04/2013,Chennai Super Kings,MA Chidambaram Stadium,Yes,b R Ashwin,1,16,15,106.67,,1054,31.94,119.77
40,27/04/2013,Sunrisers Hyderabad,Sawai Mansingh Stadium,Yes,c †K C Sangakkara b D W Steyn,1,1,9,11.11,,1055,31.03,118.67
41,29/04/2013,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,c R P Singh b R Rampaul,1,2,7,28.57,,1057,30.2,117.97
42,3/5/2013,Kolkata Knight Riders,Eden Gardens,Yes,st M S Bisla b S M S M Senanayake,1,6,10,60,,1063,29.53,117.33
43,5/5/2013,Pune Warriors,Sawai Mansingh Stadium,Yes,c R Sharma b B Kumar,1,67,48,139.58,,1130,30.54,118.45
44,7/5/2013,Delhi Capitals,Sawai Mansingh Stadium,Yes,not out,0,63,45,140,,1193,32.24,119.42
45,9/5/2013,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,59,49,120.41,,1252,33.84,119.47
46,12/5/2013,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c M Vijay b J O Holder,1,9,10,90,,1261,33.18,119.19
47,15/05/2013,Mumbai Indians,Wankhede Stadium,Yes,c S L Malinga b D S Kulkarni,1,4,8,50,,1265,32.44,118.67
48,17/05/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c S Dhawan b K V Sharma,1,12,25,48,,1277,31.93,117.05
49,22/05/2013,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,c & b A Mishra,1,18,20,90,,1295,31.59,116.56
50,24/05/2013,Mumbai Indians,Eden Gardens,Yes,b Harbhajan Singh,1,21,18,116.67,,1316,31.33,116.56
51,18/04/2014,Sunrisers Hyderabad,Sheikh Zayed Stadium,Yes,c A J Finch b A Mishra,1,59,53,111.32,,1375,31.98,116.33
52,20/04/2014,Kings XI Punjab,Sharjah Cricket Stadium,Yes,run out,1,13,8,162.5,,1388,31.55,116.64
53,23/04/2014,Chennai Super Kings,Dubai International Cricket Stadium,Yes,c M Manhas b R Ashwin,1,15,12,125,,1403,31.18,116.72
54,26/04/2014,Royal Challengers Bangalore,Sheikh Zayed Stadium,No,c †P A Patel b M A Starc,1,23,19,121.05,,1426,31,116.79
55,29/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,Yes,c S A Yadav b R Vinay Kumar,1,72,59,122.03,,1498,31.87,117.03
56,3/5/2014,Delhi Capitals,Arun Jaitley Stadium,Yes,c M Vijay b W D Parnell,1,12,10,120,,1510,31.46,117.05
57,5/5/2014,Kolkata Knight Riders,Sardar Patel Stadium,Yes,run out,1,30,22,136.36,,1540,31.43,117.38
58,8/5/2014,Sunrisers Hyderabad,Sardar Patel Stadium,Yes,c D A Warner b B Kumar,1,0,3,0,,1540,30.8,117.11
59,11/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c †P A Patel b Y S Chahal,1,24,22,109.09,,1564,30.67,116.98
60,13/05/2014,Chennai Super Kings,JSCA International Stadium Complex,No,run out,1,4,7,57.14,,1568,30.15,116.67
61,15/05/2014,Delhi Capitals,Sardar Patel Stadium,Yes,b S Nadeem,1,64,50,128,,1632,30.79,117.07
62,23/05/2014,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b R Dhawan,1,23,26,88.46,,1655,30.65,116.55
63,10/4/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,c A R Patel b Anureet Singh,1,0,8,0,,1655,30.09,115.9
64,12/4/2015,Delhi Capitals,Arun Jaitley Stadium,Yes,b Imran Tahir,1,47,39,120.51,,1702,30.39,116.02
65,14/04/2015,Mumbai Indians,Sardar Patel Stadium,Yes,c C J Anderson b S Gopal,1,46,39,117.95,,1748,30.67,116.07
66,16/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,b T A Boult,1,62,56,110.71,,1810,31.21,115.88
67,19/04/2015,Chennai Super Kings,Sardar Patel Stadium,Yes,not out,0,76,55,138.18,,1886,32.52,116.64
68,21/04/2015,Kings XI Punjab,Sardar Patel Stadium,No,c †W P Saha b M G Johnson,1,74,54,137.04,,1960,33.22,117.3
69,24/04/2015,Royal Challengers Bangalore,Sardar Patel Stadium,Yes,lbw b H V Patel,1,18,12,150,,1978,32.97,117.53
70,1/5/2015,Mumbai Indians,Wankhede Stadium,Yes,c A T Rayudu b R Vinay Kumar,1,16,12,133.33,,1994,32.69,117.64
71,3/5/2015,Delhi Capitals,Brabourne Stadium,Yes,not out,0,91,54,168.52,,2085,34.18,119.21
72,7/5/2015,Sunrisers Hyderabad,Brabourne Stadium,Yes,c †N V Ojha b B Kumar,1,8,6,133.33,,2093,33.76,119.26
73,10/5/2015,Chennai Super Kings,MA Chidambaram Stadium,Yes,c D J J Bravo b M M Sharma,1,23,17,135.29,,2116,33.59,119.41
74,16/05/2015,Kolkata Knight Riders,Brabourne Stadium,Yes,run out,1,37,22,168.18,,2153,33.64,120.01
75,20/05/2015,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,c A B de Villiers b Y S Chahal,1,42,39,107.69,,2195,33.77,119.75
76,9/4/2016,Mumbai Indians,Wankhede Stadium,Yes,not out,0,66,42,157.14,,2261,34.78,120.59
77,14/04/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,lbw b P V Tambe,1,21,17,123.53,,2282,34.58,120.61
78,17/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b Sandeep Sharma,1,9,11,81.82,,2291,34.19,120.39
79,22/04/2016,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,st K L Rahul b T Shamsi,1,60,46,130.43,,2351,34.57,120.63
80,24/04/2016,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,No,c & b S P Narine,1,67,52,128.85,,2418,35.04,120.84
81,26/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c E J G Morgan b B Kumar,1,0,5,0,,2418,34.54,120.54
82,29/04/2016,Gujarat Lions,Maharashtra Cricket Association Stadium,Yes,run out,1,53,45,117.78,,2471,34.8,120.48
83,1/5/2016,Mumbai Indians,Maharashtra Cricket Association Stadium,Yes,c K H Pandya b M J McClenaghan,1,4,5,80,,2475,34.38,120.38
84,5/5/2016,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,63,48,131.25,,2538,35.25,120.63
85,7/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b S R Watson,1,74,48,154.17,,2612,35.78,121.38
86,10/5/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c †N V Ojha b B Kumar,1,0,3,0,,2612,35.3,121.21
87,14/05/2016,Kolkata Knight Riders,Eden Gardens,Yes,b A D Russell,1,2,6,33.33,,2614,34.85,120.96
88,17/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,not out,0,42,36,116.67,,2656,35.41,120.89
89,21/05/2016,Kings XI Punjab,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c †W P Saha b Sandeep Sharma,1,19,15,126.67,,2675,35.2,120.93
90,6/4/2017,Mumbai Indians,Maharashtra Cricket Association Stadium,Yes,c N Rana b T G Southee,1,60,34,176.47,,2735,35.52,121.77
91,8/4/2017,Kings XI Punjab,Holkar Cricket Stadium,Yes,c M P Stoinis b T Natarajan,1,19,15,126.67,,2754,35.31,121.8
92,11/4/2017,Delhi Capitals,Maharashtra Cricket Association Stadium,Yes,c S V Samson b Z Khan,1,10,9,111.11,,2764,34.99,121.76
93,14/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,c S K Raina b P Kumar,1,0,3,0,,2764,34.55,121.6
94,16/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b S Badree,1,30,25,120,,2794,34.49,121.58
95,22/04/2017,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Yes,c S Kaul b Bipul Sharma,1,2,7,28.57,,2796,34.1,121.3
96,24/04/2017,Mumbai Indians,Wankhede Stadium,Yes,c & b K V Sharma,1,38,32,118.75,,2834,34.14,121.27
97,26/04/2017,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Yes,st R V Uthappa b S P Narine,1,46,41,112.2,,2880,34.29,121.11
98,29/04/2017,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,c A F Milne b S Badree,1,6,8,75,,2886,33.95,120.96
99,1/5/2017,Gujarat Lions,Maharashtra Cricket Association Stadium,Yes,lbw b P J Sangwan,1,4,4,100,,2890,33.6,120.92
100,3/5/2017,Kolkata Knight Riders,Eden Gardens,Yes,c †S P Jackson b U T Yadav,1,11,9,122.22,,2901,33.34,120.93
101,6/5/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c Yuvraj Singh b Bipul Sharma,1,22,20,110,,2923,33.22,120.84
102,12/5/2017,Delhi Capitals,Arun Jaitley Stadium,Yes,b Z Khan,1,0,1,0,,2923,32.84,120.79
103,14/05/2017,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,not out,0,34,34,100,,2957,33.22,120.5
104,16/05/2017,Mumbai Indians,Wankhede Stadium,Yes,lbw b K V Sharma,1,56,43,130.23,,3013,33.48,120.66
105,21/05/2017,Mumbai Indians,Rajiv Gandhi International Stadium,Yes,c K A Pollard b M G Johnson,1,44,38,115.79,,3057,33.59,120.59
106,9/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c Rashid Khan b S Kaul,1,13,13,100,,3070,33.37,120.49
107,11/4/2018,Delhi Capitals,Sawai Mansingh Stadium,Yes,c C H Morris b S Nadeem,1,45,40,112.5,,3115,33.49,120.36
108,15/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c U T Yadav b C R Woakes,1,36,20,180,,3151,33.52,120.82
109,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,st K D Karthik b N Rana,1,36,19,189.47,,3187,33.55,121.32
110,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,b D L Chahar,1,16,11,145.45,,3203,33.36,121.42
111,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,Yes,c K H Pandya b M J McClenaghan,1,14,17,82.35,,3217,33.16,121.17
112,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,Yes,not out,0,65,53,122.64,,3282,33.84,121.2
113,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,Yes,c C H Gayle b A R Patel,1,5,7,71.43,,3287,33.54,121.07
114,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,Yes,c A D Nath b A J Tye,1,9,10,90,,3296,33.29,120.95
115,11/5/2018,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c S K Raina b R A Jadeja,1,4,3,133.33,,3300,33,120.97
116,13/05/2018,Mumbai Indians,Wankhede Stadium,Yes,c S A Yadav b H H Pandya,1,37,36,102.78,,3337,33.04,120.73
117,15/05/2018,Kolkata Knight Riders,Eden Gardens,Yes,b Kuldeep Yadav,1,11,12,91.67,,3348,32.82,120.61
118,18/05/2018,Royal Challengers Bangalore,Sawai Mansingh Stadium,No,lbw b U T Yadav,1,33,31,106.45,,3381,32.83,120.45
119,23/05/2018,Kolkata Knight Riders,Eden Gardens,Yes,c & b Kuldeep Yadav,1,46,41,112.2,,3427,32.95,120.33
120,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,Yes,b R Ashwin,1,27,20,135,,3454,32.9,120.43
121,29/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c M K Pandey b S Nadeem,1,70,49,142.86,,3524,33.25,120.81
122,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c R A Jadeja b D L Chahar,1,0,2,0,,3524,32.93,120.73
123,2/4/2019,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,lbw b Y S Chahal,1,22,20,110,,3546,32.83,120.65
124,7/4/2019,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,lbw b M Prasidh Krishna,1,5,7,71.43,,3551,32.58,120.54
125,11/4/2019,Chennai Super Kings,Sawai Mansingh Stadium,Yes,lbw b D L Chahar,1,14,11,127.27,,3565,32.41,120.56
126,13/04/2019,Mumbai Indians,Wankhede Stadium,Yes,c S A Yadav b K H Pandya,1,37,21,176.19,,3602,32.45,120.95
127,16/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c Mohammed Shami b Arshdeep Singh,1,26,21,123.81,,3628,32.39,120.97
128,20/04/2019,Mumbai Indians,Sawai Mansingh Stadium,No,c S A Yadav b R D Chahar,1,12,12,100,,3640,32.21,120.89
129,22/04/2019,Delhi Capitals,Sawai Mansingh Stadium,Yes,not out,0,105,63,166.67,,3745,33.14,121.83
130,25/04/2019,Kolkata Knight Riders,Eden Gardens,Yes,lbw b S P Narine,1,34,21,161.9,,3779,33.15,122.1
131,27/04/2019,Sunrisers Hyderabad,Sawai Mansingh Stadium,Yes,c D A Warner b Shakib Al Hasan,1,39,34,114.71,,3818,33.2,122.02
132,4/5/2019,Delhi Capitals,Arun Jaitley Stadium,Yes,c S Dhawan b I Sharma,1,2,4,50,,3820,32.93,121.93
