Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,6/4/2012,Mumbai Indians,Wankhede Stadium,Yes,c K A Pollard b M M Patel,1,39,32,121.88,,39,39,121.88
2,8/4/2012,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,b J P Faulkner,1,25,12,208.33,,64,32,145.45
3,12/4/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b P P Chawla,1,13,13,100,,77,25.67,135.09
4,14/04/2012,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,not out,0,44,22,200,,121,40.33,153.16
5,17/04/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,run out,1,16,14,114.29,,137,34.25,147.31
6,19/04/2012,Chennai Super Kings,MA Chidambaram Stadium,Yes,c F du Plessis b D E Bollinger,1,23,21,109.52,,160,32,140.35
7,21/04/2012,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,34,13,261.54,,194,38.8,152.76
8,26/04/2012,Deccan Chargers,Maharashtra Cricket Association Stadium,Yes,c J-P Duminy b J Theron,1,26,13,200,,220,36.67,157.14
9,1/5/2012,Deccan Chargers,Barabati Stadium,Yes,not out,0,47,27,174.07,,267,44.5,159.88
10,3/5/2012,Mumbai Indians,Maharashtra Cricket Association Stadium,Yes,b P P Ojha,1,2,6,33.33,,269,38.43,155.49
11,5/5/2012,Kolkata Knight Riders,Eden Gardens,Yes,lbw b S P Narine,1,14,16,87.5,,283,35.38,149.74
12,8/5/2012,Rajasthan Royals,Maharashtra Cricket Association Stadium,Yes,not out,0,18,22,81.82,,301,37.63,142.65
13,11/5/2012,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,not out,0,24,25,96,,325,40.63,137.71
14,13/05/2012,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c B J Hodge b J Botha,1,37,31,119.35,,362,40.22,135.58
15,15/04/2013,Chennai Super Kings,MA Chidambaram Stadium,Yes,not out,0,39,16,243.75,,401,44.56,141.7
16,17/04/2013,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Yes,c A A Ashish Reddy b I Sharma,1,17,25,68,,418,41.8,135.71
17,21/04/2013,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,6,9,66.67,,424,42.4,133.75
18,23/04/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c T M Dilshan b R Rampaul,1,41,31,132.26,,465,42.27,133.62
19,28/04/2013,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,Yes,not out,0,17,8,212.5,,482,43.82,135.39
20,30/04/2013,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c & b R A Jadeja,1,35,39,89.74,,517,43.08,130.89
21,2/5/2013,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,c †K B A Arun Karthik b R Vinay Kumar,1,4,4,100,,521,40.08,130.58
