Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,11/4/2017,Delhi Capitals,Maharashtra Cricket Association Stadium,Yes,c S Nadeem b C H Morris,1,10,5,200,,10,10,200
2,14/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,c A J Finch b A J Tye,1,33,17,194.12,,43,21.5,195.45
3,16/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c V Kohli b P Negi,1,31,23,134.78,,74,24.67,164.44
4,22/04/2017,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Yes,run out,1,59,41,143.9,,133,33.25,154.65
5,24/04/2017,Mumbai Indians,Wankhede Stadium,Yes,c K A Pollard b K V Sharma,1,45,31,145.16,,178,35.6,152.14
6,26/04/2017,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Yes,b P P Chawla,1,38,23,165.22,,216,36,154.29
7,29/04/2017,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,c †K M Jadhav b P Negi,1,37,28,132.14,,253,36.14,150.6
8,1/5/2017,Gujarat Lions,Maharashtra Cricket Association Stadium,Yes,run out,1,6,7,85.71,,259,32.38,148
9,3/5/2017,Kolkata Knight Riders,Eden Gardens,Yes,c sub b C R Woakes,1,93,52,178.85,,352,39.11,155.07
10,6/5/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,run out,1,1,4,25,,353,35.3,152.81
11,12/5/2017,Delhi Capitals,Arun Jaitley Stadium,Yes,c †R R Pant b Z Khan,1,7,6,116.67,,360,32.73,151.9
12,14/05/2017,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,b A R Patel,1,28,20,140,,388,32.33,150.97
13,16/05/2017,Mumbai Indians,Wankhede Stadium,Yes,b M J McClenaghan,1,0,2,0,,388,29.85,149.81
14,21/05/2017,Mumbai Indians,Rajiv Gandhi International Stadium,Yes,lbw b J J Bumrah,1,3,8,37.5,,391,27.93,146.44
15,9/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c M K Pandey b Shakib Al Hasan,1,17,15,113.33,,408,27.2,144.68
16,11/4/2018,Delhi Capitals,Sawai Mansingh Stadium,Yes,not out,0,15,11,136.36,,423,28.2,144.37
17,15/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,14,5,280,,437,29.13,146.64
18,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,c A D Russell b Kuldeep Yadav,1,15,11,136.36,,452,28.25,146.28
19,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c S W Billings b D J J Bravo,1,5,5,100,,457,26.88,145.54
20,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,Yes,c S A Yadav b K H Pandya,1,9,8,112.5,,466,25.89,144.72
21,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,Yes,b Sandeep Sharma,1,4,5,80,,470,24.74,143.73
22,2/5/2018,Delhi Capitals,Arun Jaitley Stadium,Yes,run out,1,9,8,112.5,,479,23.95,142.99
23,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,Yes,c R Ashwin b A J Tye,1,11,13,84.62,,490,23.33,140.8
24,15/05/2018,Kolkata Knight Riders,Eden Gardens,Yes,c †K D Karthik b A D Russell,1,27,15,180,,517,23.5,142.42
25,18/05/2018,Royal Challengers Bangalore,Sawai Mansingh Stadium,No,not out,0,80,58,137.93,,597,27.14,141.81
26,23/05/2018,Kolkata Knight Riders,Eden Gardens,Yes,c & b P P Chawla,1,20,13,153.85,,617,26.83,142.17
27,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,Yes,c K L Rahul b Mujeeb Ur Rahman,1,1,4,25,,618,25.75,141.1
28,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c & b Imran Tahir,1,39,24,162.5,,657,26.28,142.21
29,2/4/2019,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,not out,0,34,23,147.83,,691,27.64,142.47
30,7/4/2019,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,c P P Chawla b H F Gurney,1,6,8,75,,697,26.81,141.38
31,11/4/2019,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c K M Jadhav b R A Jadeja,1,10,12,83.33,,707,26.19,140
32,13/04/2019,Mumbai Indians,Wankhede Stadium,Yes,c H H Pandya b K H Pandya,1,1,2,50,,708,25.29,139.64
33,16/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c M A Agarwal b R Ashwin,1,50,45,111.11,,758,26.14,137.32
