Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,9/4/2016,Rising Pune Supergiant,Wankhede Stadium,Yes,c R Ashwin b M R Marsh,1,0,2,0,,0,0,0
2,13/04/2016,Kolkata Knight Riders,Eden Gardens,Yes,c S A Yadav b A D Russell,1,41,22,186.36,,41,20.5,170.83
3,16/04/2016,Gujarat Lions,Wankhede Stadium,Yes,st K D Karthik b S B Jakati,1,16,21,76.19,,57,19,126.67
4,18/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c †N V Ojha b B B Sran,1,11,11,100,,68,17,121.43
5,20/04/2016,Royal Challengers Bangalore,Barabati Stadium,Yes,c S R Watson b Iqbal Abdulla,1,28,14,200,,96,19.2,137.14
6,23/04/2016,Delhi Capitals,Arun Jaitley Stadium,Yes,lbw b A Mishra,1,2,6,33.33,,98,16.33,128.95
7,25/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b M M Sharma,1,24,13,184.62,,122,17.43,137.08
8,28/04/2016,Kolkata Knight Riders,Wankhede Stadium,Yes,c C A Lynn b S P Narine,1,15,15,100,,137,17.13,131.73
9,1/5/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Yes,not out,0,27,17,158.82,,164,20.5,135.54
10,8/5/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c †N V Ojha b A Nehra,1,2,2,100,,166,18.44,134.96
11,11/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,29,11,263.64,,195,21.67,145.52
12,13/05/2016,Kings XI Punjab,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c Gurkeerat Singh b M P Stoinis,1,9,10,90,,204,20.4,141.67
13,15/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,not out,0,18,9,200,,222,22.2,145.1
14,21/05/2016,Gujarat Lions,Green Park,Yes,c & b D J J Bravo,1,33,31,106.45,,255,23.18,138.59
15,6/4/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Yes,lbw b Imran Tahir,1,38,19,200,,293,24.42,144.33
16,9/4/2017,Kolkata Knight Riders,Wankhede Stadium,Yes,lbw b A S Rajpoot,1,28,22,127.27,,321,24.69,142.67
17,12/4/2017,Sunrisers Hyderabad,Wankhede Stadium,Yes,b A Nehra,1,14,11,127.27,,335,23.93,141.95
18,14/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c C H Gayle b S T R Binny,1,2,5,40,,337,22.47,139.83
19,16/04/2017,Gujarat Lions,Wankhede Stadium,Yes,c B B McCullum b M M Patel,1,26,24,108.33,,363,22.69,136.98
20,20/04/2017,Kings XI Punjab,Holkar Cricket Stadium,Yes,c G J Maxwell b M M Sharma,1,77,37,208.11,,440,25.88,145.7
21,22/04/2017,Delhi Capitals,Wankhede Stadium,Yes,run out,1,28,18,155.56,,468,26,146.25
22,24/04/2017,Rising Pune Supergiant,Wankhede Stadium,Yes,c W Washington Sundar b B A Stokes,1,17,13,130.77,,485,25.53,145.65
23,29/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,run out,1,9,7,128.57,,494,24.7,145.29
24,1/5/2017,Royal Challengers Bangalore,Wankhede Stadium,Yes,c T M Head b P Negi,1,33,21,157.14,,527,25.1,145.98
25,9/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,b Rashid Khan,1,6,9,66.67,,533,24.23,144.05
26,11/4/2018,Delhi Capitals,Sawai Mansingh Stadium,Yes,b Mohammed Shami,1,29,18,161.11,,562,24.43,144.85
27,15/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c V Kohli b C R Woakes,1,23,14,164.29,,585,24.38,145.52
28,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,not out,0,24,18,133.33,,609,25.38,145
29,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c Imran Tahir b D J J Bravo,1,22,17,129.41,,631,25.24,144.39
30,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,Yes,b J J Bumrah,1,6,8,75,,637,24.5,143.15
31,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,Yes,c S Dhawan b Rashid Khan,1,10,11,90.91,,647,23.96,141.89
32,2/5/2018,Delhi Capitals,Arun Jaitley Stadium,Yes,st R R Pant b A Mishra,1,67,26,257.69,,714,25.5,148.13
33,6/5/2018,Kings XI Punjab,Holkar Cricket Stadium,Yes,c †K L Rahul b Mujeeb Ur Rahman,1,51,39,130.77,,765,26.38,146.83
34,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,Yes,st K L Rahul b Mujeeb Ur Rahman,1,82,58,141.38,,847,28.23,146.29
35,11/5/2018,Chennai Super Kings,Sawai Mansingh Stadium,Yes,not out,0,95,60,158.33,,942,31.4,147.42
36,13/05/2018,Mumbai Indians,Wankhede Stadium,Yes,not out,0,94,53,177.36,,1036,34.53,149.71
37,15/05/2018,Kolkata Knight Riders,Eden Gardens,Yes,c J P R Scantlebury-Searles b Kuldeep Yadav,1,39,22,177.27,,1075,34.68,150.56
38,25/03/2019,Kings XI Punjab,Sawai Mansingh Stadium,Yes,run out,1,69,43,160.47,,1144,35.75,151.12
39,29/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,b Rashid Khan,1,5,8,62.5,,1149,34.82,150.2
40,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c D J J Bravo b S N Thakur,1,6,7,85.71,,1155,33.97,149.61
41,2/4/2019,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,c M P Stoinis b Y S Chahal,1,59,43,137.21,,1214,34.69,148.96
42,7/4/2019,Kolkata Knight Riders,Sawai Mansingh Stadium,Yes,c Shubman Gill b H F Gurney,1,37,34,108.82,,1251,34.75,147.35
43,11/4/2019,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c A T Rayudu b S N Thakur,1,23,10,230,,1274,34.43,148.31
44,13/04/2019,Mumbai Indians,Wankhede Stadium,Yes,c S A Yadav b R D Chahar,1,89,43,206.98,,1363,35.87,151.11
45,16/04/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c †N Pooran b Arshdeep Singh,1,23,17,135.29,,1386,35.54,150.82
