Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,14/04/2013,Kings XI Punjab,Sawai Mansingh Stadium,Yes,not out,0,27,23,117.39,,27,,117.39
2,29/04/2013,Royal Challengers Bangalore,Sawai Mansingh Stadium,Yes,c M Kartik b R Rampaul,1,63,41,153.66,,90,90,140.63
3,3/5/2013,Kolkata Knight Riders,Eden Gardens,Yes,c J H Kallis b R Bhatia,1,40,36,111.11,,130,65,130
4,5/5/2013,Pune Warriors,Sawai Mansingh Stadium,Yes,c U A Birla b W D Parnell,1,10,6,166.67,,140,46.67,132.08
5,9/5/2013,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,47,33,142.42,,187,62.33,134.53
6,12/5/2013,Chennai Super Kings,Sawai Mansingh Stadium,Yes,c †M S Dhoni b M M Sharma,1,0,5,0,,187,46.75,129.86
7,15/05/2013,Mumbai Indians,Wankhede Stadium,Yes,c P P Ojha b M G Johnson,1,4,4,100,,191,38.2,129.05
8,17/05/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c D W Steyn b A Mishra,1,5,7,71.43,,196,32.67,126.45
9,22/05/2013,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,lbw b D W Steyn,1,10,21,47.62,,206,29.43,117.05
10,24/05/2013,Mumbai Indians,Eden Gardens,Yes,c Harbhajan Singh b S L Malinga,1,0,2,0,,206,25.75,115.73
11,18/04/2014,Sunrisers Hyderabad,Sheikh Zayed Stadium,Yes,c S Dhawan b B Kumar,1,3,9,33.33,,209,23.22,111.76
12,20/04/2014,Kings XI Punjab,Sharjah Cricket Stadium,Yes,b P Awana,1,52,34,152.94,,261,26.1,118.1
13,23/04/2014,Chennai Super Kings,Dubai International Cricket Stadium,Yes,c & b R A Jadeja,1,16,16,100,,277,25.18,116.88
14,26/04/2014,Royal Challengers Bangalore,Sheikh Zayed Stadium,No,run out,1,2,6,33.33,,279,23.25,114.81
15,29/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,Yes,b Shakib Al Hasan,1,20,19,105.26,,299,23,114.12
16,3/5/2014,Delhi Capitals,Arun Jaitley Stadium,Yes,st K D Karthik b S Nadeem,1,34,28,121.43,,333,23.79,114.83
17,5/5/2014,Kolkata Knight Riders,Sardar Patel Stadium,Yes,c M K Pandey b S P Narine,1,37,31,119.35,,370,24.67,115.26
18,8/5/2014,Sunrisers Hyderabad,Sardar Patel Stadium,Yes,b K V Sharma,1,16,16,100,,386,24.13,114.54
19,11/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c & b Yuvraj Singh,1,13,8,162.5,,399,23.47,115.65
20,15/05/2014,Delhi Capitals,Sardar Patel Stadium,Yes,c K M Jadhav b Imran Tahir,1,40,25,160,,439,24.39,118.65
21,19/05/2014,Mumbai Indians,Sardar Patel Stadium,Yes,c A T Rayudu b K Santokie,1,2,5,40,,441,23.21,117.6
22,23/05/2014,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,st W P Saha b Karanveer Singh,1,30,29,103.45,,471,23.55,116.58
23,25/05/2014,Mumbai Indians,Wankhede Stadium,Yes,c Harbhajan Singh b S Gopal,1,74,47,157.45,,545,25.95,120.84
24,10/4/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,lbw b Sandeep Sharma,1,5,6,83.33,,550,25,120.35
