Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,17/04/2017,Kings XI Punjab,Rajiv Gandhi International Stadium,c D A Miller b Sandeep Sharma,1,2,3,2
2,24/04/2018,Mumbai Indians,Wankhede Stadium,b M Markande,1,14,10,16
3,26/04/2018,Kings XI Punjab,Rajiv Gandhi International Stadium,c M A Agarwal b A S Rajpoot,1,4,2,20
4,4/4/2019,Delhi Capitals,Arun Jaitley Stadium,not out,0,17,9,37
5,6/4/2019,Mumbai Indians,Rajiv Gandhi International Stadium,c R G Sharma b J J Bumrah,1,11,14,48
6,8/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,run out,1,12,7,60
7,29/04/2019,Kings XI Punjab,Rajiv Gandhi International Stadium,b Mohammed Shami,1,20,10,80
8,2/5/2019,Mumbai Indians,Wankhede Stadium,c S A Yadav b H H Pandya,1,31,20,111
9,4/5/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Gurkeerat Singh b N A Saini,1,4,3,115
10,8/5/2019,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,c A R Patel b K M A Paul,1,20,13,135
