Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,12/4/2017,Mumbai Indians,Wankhede Stadium,c N Rana b S L Malinga,1,1,2,1
2,8/5/2017,Mumbai Indians,Rajiv Gandhi International Stadium,not out,0,15,12,16
3,13/05/2017,Gujarat Lions,Green Park,not out,0,63,44,79
4,17/05/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,c S A Yadav b N M Coulter-Nile,1,22,17,101
5,8/4/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c A R Patel b M M Sharma,1,13,13,114
6,11/4/2018,Rajasthan Royals,Sawai Mansingh Stadium,c B A Stokes b B Laughlin,1,3,3,117
7,16/04/2018,Kolkata Knight Riders,Eden Gardens,lbw b S P Narine,1,2,4,119
8,27/04/2018,Kolkata Knight Riders,Arun Jaitley Stadium,not out,0,0,0,119
9,30/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,0,54,31,173
10,2/5/2018,Rajasthan Royals,Arun Jaitley Stadium,c R A Tripathi b J D Unadkat,1,17,6,190
11,5/5/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,23,13,213
12,10/5/2018,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,0,0,0,213
13,12/5/2018,Royal Challengers Bangalore,Arun Jaitley Stadium,not out,0,21,20,234
14,18/05/2018,Chennai Super Kings,Arun Jaitley Stadium,not out,0,36,28,270
15,20/05/2018,Mumbai Indians,Arun Jaitley Stadium,not out,0,43,30,313
16,24/03/2019,Kolkata Knight Riders,Eden Gardens,not out,0,40,24,353
17,29/03/2019,Rajasthan Royals,Rajiv Gandhi International Stadium,c sub b S Gopal,1,35,15,388
18,31/03/2019,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,run out,1,9,3,397
19,4/4/2019,Delhi Capitals,Arun Jaitley Stadium,c S S Iyer b A R Patel,1,16,21,413
20,6/4/2019,Mumbai Indians,Rajiv Gandhi International Stadium,c H H Pandya b A S Joseph,1,5,10,418
21,8/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c †K L Rahul b R Ashwin,1,26,27,444
22,14/04/2019,Delhi Capitals,Rajiv Gandhi International Stadium,c †R R Pant b K Rabada,1,1,2,445
23,17/04/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,c †S W Billings b Imran Tahir,1,7,11,452
24,23/04/2019,Chennai Super Kings,MA Chidambaram Stadium,c R A Jadeja b D L Chahar,1,26,20,478
25,27/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,c J D Unadkat b V R Aaron,1,8,10,486
26,29/04/2019,Kings XI Punjab,Rajiv Gandhi International Stadium,not out,0,7,4,493
27,2/5/2019,Mumbai Indians,Wankhede Stadium,c K A Pollard b K H Pandya,1,12,17,505
28,4/5/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c C de Grandhomme b W Washington Sundar,1,27,18,532
29,8/5/2019,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,c A R Patel b T A Boult,1,25,11,557
