Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,10/4/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,b Anureet Singh,1,30,15,30
2,12/4/2015,Delhi Capitals,Arun Jaitley Stadium,c A D Mathews b Imran Tahir,1,54,25,84
3,14/04/2015,Mumbai Indians,Sardar Patel Stadium,b S L Malinga,1,13,4,97
4,21/04/2015,Kings XI Punjab,Sardar Patel Stadium,b Shivam Sharma,1,19,9,116
5,24/04/2015,Royal Challengers Bangalore,Sardar Patel Stadium,b Iqbal Abdulla,1,1,3,117
6,1/5/2015,Mumbai Indians,Wankhede Stadium,c U B T Chand b S L Malinga,1,1,2,118
7,7/5/2015,Sunrisers Hyderabad,Brabourne Stadium,c B Kumar b K V Sharma,1,7,9,125
8,10/5/2015,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b R A Jadeja,1,15,14,140
9,20/05/2015,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c M A Starc b D Wiese,1,11,14,151
10,12/4/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b Y S Chahal,1,6,6,157
11,16/04/2016,Kolkata Knight Riders,Rajiv Gandhi International Stadium,c U T Yadav b A D Russell,1,6,11,163
12,18/04/2016,Mumbai Indians,Rajiv Gandhi International Stadium,not out,0,17,9,180
13,23/04/2016,Kings XI Punjab,Rajiv Gandhi International Stadium,run out,1,5,5,185
14,26/04/2016,Rising Pune Supergiant,Rajiv Gandhi International Stadium,c †M S Dhoni b R Ashwin,1,1,9,186
15,30/04/2016,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,run out,1,2,2,188
16,6/5/2016,Gujarat Lions,Rajiv Gandhi International Stadium,c †K D Karthik b D J J Bravo,1,18,12,206
17,10/5/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,st M S Dhoni b A Zampa,1,14,5,220
18,12/5/2016,Delhi Capitals,Rajiv Gandhi International Stadium,hit wicket b N M Coulter-Nile,1,10,9,230
19,15/05/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c D A Miller b Sandeep Sharma,1,34,22,264
20,20/05/2016,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,run out,1,1,1,265
21,22/05/2016,Kolkata Knight Riders,Eden Gardens,run out,1,2,2,267
22,25/05/2016,Kolkata Knight Riders,Arun Jaitley Stadium,run out,1,21,13,288
23,27/05/2016,Gujarat Lions,Arun Jaitley Stadium,lbw b D J J Bravo,1,4,9,292
24,29/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c V Kohli b S Aravind,1,3,6,295
25,5/4/2017,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,not out,0,16,12,311
26,12/4/2017,Mumbai Indians,Wankhede Stadium,c K A Pollard b Harbhajan Singh,1,9,9,320
27,15/04/2017,Kolkata Knight Riders,Eden Gardens,st R V Uthappa b S P Narine,1,13,7,333
28,17/04/2017,Kings XI Punjab,Rajiv Gandhi International Stadium,c Sandeep Sharma b M M Sharma,1,12,10,345
29,19/04/2017,Delhi Capitals,Rajiv Gandhi International Stadium,not out,0,9,4,354
30,22/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,not out,0,19,10,373
31,12/4/2018,Mumbai Indians,Rajiv Gandhi International Stadium,not out,0,32,25,405
32,14/04/2018,Kolkata Knight Riders,Eden Gardens,not out,0,5,9,410
33,19/04/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c sub b A J Tye,1,5,5,415
34,22/04/2018,Chennai Super Kings,Rajiv Gandhi International Stadium,c R A Jadeja b D L Chahar,1,1,7,416
35,13/05/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,0,21,11,437
36,17/05/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,1,1,438
37,25/05/2018,Kolkata Knight Riders,Eden Gardens,c P P Chawla b S P Narine,1,19,19,457
38,27/05/2018,Chennai Super Kings,Wankhede Stadium,c sub b L Ngidi,1,3,4,460
39,4/4/2019,Delhi Capitals,Arun Jaitley Stadium,c K Rabada b S Lamichhane,1,10,11,470
40,6/4/2019,Mumbai Indians,Rajiv Gandhi International Stadium,b A S Joseph,1,20,24,490
41,8/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,14,3,504
42,14/04/2019,Delhi Capitals,Rajiv Gandhi International Stadium,b C H Morris,1,3,4,507
43,17/04/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,c F du Plessis b K V Sharma,1,13,16,520
44,27/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,c & b J D Unadkat,1,0,1,520
45,8/5/2019,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,run out,1,4,4,524
