Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,29/04/2008,Kolkata Knight Riders,Eden Gardens,b A B Dinda,1,0,3,0
2,26/05/2008,Rajasthan Royals,Sawai Mansingh Stadium,b Sohail Tanvir,1,3,6,3
3,29/04/2009,Kolkata Knight Riders,Kingsmead,not out,0,2,2,5
4,21/05/2009,Deccan Chargers,SuperSport Park,not out,0,114,73,119
5,23/05/2009,Chennai Super Kings,Wanderers Stadium,b S B Jakati,1,48,35,167
6,24/05/2009,Deccan Chargers,Wanderers Stadium,c †A C Gilchrist b P P Ojha,1,4,8,171
7,14/03/2010,Kolkata Knight Riders,Eden Gardens,b A D Mathews,1,0,7,171
8,16/03/2010,Kings XI Punjab,M Chinnaswamy Stadium,c I K Pathan b P P Chawla,1,38,26,209
9,18/03/2010,Rajasthan Royals,M Chinnaswamy Stadium,not out,0,42,30,251
10,20/03/2010,Mumbai Indians,Barabati Stadium,c K A Pollard b Harbhajan Singh,1,40,27,291
11,23/03/2010,Chennai Super Kings,M Chinnaswamy Stadium,c S K Raina b M Muralitharan,1,20,28,311
12,25/03/2010,Delhi Capitals,M Chinnaswamy Stadium,b A B McDonald,1,39,29,350
13,31/03/2010,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b T Thushara,1,5,7,355
14,2/4/2010,Kings XI Punjab,Barabati Stadium,run out,1,29,25,384
15,8/4/2010,Deccan Chargers,M Chinnaswamy Stadium,b R J Harris,1,1,6,385
16,12/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,c †A C Gilchrist b R J Harris,1,0,1,385
17,14/04/2010,Rajasthan Royals,Sawai Mansingh Stadium,c Y K Pathan b S K Trivedi,1,14,13,399
18,17/04/2010,Mumbai Indians,M Chinnaswamy Stadium,c Z Khan b C R D Fernando,1,16,18,415
19,21/04/2010,Mumbai Indians,Dr DY Patil Sports Academy,c J-P Duminy b K A Pollard,1,5,9,420
20,25/04/2011,Chennai Super Kings,MA Chidambaram Stadium,b J A Morkel,1,12,9,432
21,27/04/2011,Chennai Super Kings,Dr DY Patil Sports Academy,c R Ashwin b T G Southee,1,10,13,442
22,29/04/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,c S S Tiwary b D L Vettori,1,19,23,461
23,1/5/2011,Rajasthan Royals,Sawai Mansingh Stadium,c L R P L Taylor b S K Trivedi,1,30,31,491
24,4/5/2011,Mumbai Indians,Dr DY Patil Sports Academy,c R G Sharma b S L Malinga,1,59,47,550
25,8/5/2011,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b P Kumar,1,28,30,578
26,10/5/2011,Deccan Chargers,Rajiv Gandhi International Stadium,lbw b A Mishra,1,49,42,627
27,16/05/2011,Deccan Chargers,Dr DY Patil Sports Academy,b P P Ojha,1,23,20,650
28,19/05/2011,Kolkata Knight Riders,Dr DY Patil Sports Academy,lbw b Iqbal Abdulla,1,16,12,666
29,6/4/2012,Mumbai Indians,Wankhede Stadium,b S L Malinga,1,0,5,666
30,8/4/2012,Kings XI Punjab,Maharashtra Cricket Association Stadium,not out,0,12,4,678
31,12/4/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c D J Hussey b Harmeet Singh,1,0,3,678
32,19/04/2012,Chennai Super Kings,MA Chidambaram Stadium,c S Badrinath b D J J Bravo,1,13,6,691
33,24/04/2012,Delhi Capitals,Maharashtra Cricket Association Stadium,not out,0,80,56,771
34,26/04/2012,Deccan Chargers,Maharashtra Cricket Association Stadium,b J Theron,1,21,20,792
35,1/5/2012,Deccan Chargers,Barabati Stadium,c K C Sangakkara b Ankit Sharma,1,0,1,792
36,11/5/2012,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,b Z Khan,1,0,2,792
37,5/4/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c C L White b A Mishra,1,15,29,807
38,7/4/2013,Kings XI Punjab,Maharashtra Cricket Association Stadium,b P Kumar,1,0,4,807
39,15/04/2013,Chennai Super Kings,MA Chidambaram Stadium,b D J J Bravo,1,9,8,816
40,17/04/2013,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,not out,0,7,6,823
41,15/05/2013,Kolkata Knight Riders,JSCA International Stadium Complex,run out,1,66,47,889
