Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,20/04/2011,Kochi Tuskers Kerala,Eden Gardens,b R P Singh,1,2,5,2
2,22/05/2011,Mumbai Indians,Eden Gardens,not out,0,1,1,3
3,25/05/2011,Mumbai Indians,Wankhede Stadium,b S L Malinga,1,26,16,29
4,10/4/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium,c C A Pujara b R Vinay Kumar,1,4,4,33
5,13/04/2012,Rajasthan Royals,Eden Gardens,c A L Menaria b A Singh,1,16,10,49
6,15/04/2012,Kings XI Punjab,Eden Gardens,c & b P P Chawla,1,4,8,53
7,16/05/2012,Mumbai Indians,Wankhede Stadium,b D R Smith,1,13,12,66
8,19/05/2012,Pune Warriors,Maharashtra Cricket Association Stadium,b B Kumar,1,42,30,108
9,22/05/2012,Delhi Capitals,Maharashtra Cricket Association Stadium,c †N V Ojha b I K Pathan,1,1,3,109
10,27/05/2012,Chennai Super Kings,MA Chidambaram Stadium,not out,0,11,7,120
11,16/04/2014,Mumbai Indians,Sheikh Zayed Stadium,c R G Sharma b S L Malinga,1,30,2,121
12,19/04/2014,Delhi Capitals,Dubai International Cricket Stadium,not out,0,30,22,151
13,29/04/2014,Rajasthan Royals,Sheikh Zayed Stadium,not out,0,29,18,180
14,2/5/2014,Chennai Super Kings,JSCA International Stadium Complex,c M M Sharma b R A Jadeja,1,0,1,180
15,5/5/2014,Rajasthan Royals,Sardar Patel Stadium,not out,0,21,14,201
16,14/05/2014,Mumbai Indians,Barabati Stadium,c A T Rayudu b S L Malinga,1,9,8,210
17,20/05/2014,Chennai Super Kings,Eden Gardens,not out,0,46,21,256
18,22/05/2014,Royal Challengers Bangalore,Eden Gardens,b A N Ahmed,1,60,38,316
19,24/05/2014,Sunrisers Hyderabad,Eden Gardens,c J O Holder b K V Sharma,1,1,5,317
20,28/05/2014,Kings XI Punjab,Eden Gardens,c D A Miller b Karanveer Singh,1,18,16,335
21,1/6/2014,Kings XI Punjab,M Chinnaswamy Stadium,run out,1,12,7,347
22,11/4/2015,Royal Challengers Bangalore,Eden Gardens,run out,1,0,1,347
23,14/05/2015,Mumbai Indians,Wankhede Stadium,c H H Pandya b R Vinay Kumar,1,23,15,370
24,16/05/2015,Rajasthan Royals,Brabourne Stadium,c S P D Smith b C H Morris,1,13,11,383
25,19/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c Sandeep Sharma b A R Patel,1,11,15,394
26,24/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,b R Bhatia,1,3,9,397
27,28/04/2016,Mumbai Indians,Wankhede Stadium,c †P A Patel b H H Pandya,1,6,4,403
28,8/5/2016,Gujarat Lions,Eden Gardens,not out,0,66,49,469
29,16/05/2016,Royal Challengers Bangalore,Eden Gardens,not out,0,18,11,487
30,19/05/2016,Gujarat Lions,Green Park,c E R Dwivedi b D R Smith,1,3,8,490
31,22/05/2016,Sunrisers Hyderabad,Eden Gardens,c †N V Ojha b B Kumar,1,7,10,497
32,21/04/2017,Gujarat Lions,Eden Gardens,not out,0,1,1,498
33,12/4/2018,Mumbai Indians,Rajiv Gandhi International Stadium,b M Markande,1,12,12,510
34,14/04/2018,Kolkata Knight Riders,Eden Gardens,b P P Chawla,1,27,21,537
35,19/04/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,24,12,561
36,22/04/2018,Chennai Super Kings,Rajiv Gandhi International Stadium,c S K Raina b K V Sharma,1,24,19,585
37,24/04/2018,Mumbai Indians,Wankhede Stadium,run out,1,2,4,587
38,26/04/2018,Kings XI Punjab,Rajiv Gandhi International Stadium,c M A Agarwal b Mujeeb Ur Rahman,1,28,29,615
39,29/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,b J C Archer,1,6,6,621
40,7/5/2018,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,c U T Yadav b T G Southee,1,35,32,656
41,13/05/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,0,8,6,664
42,19/05/2018,Kolkata Knight Riders,Rajiv Gandhi International Stadium,c S P Narine b M Prasidh Krishna,1,10,7,674
43,22/05/2018,Chennai Super Kings,Wankhede Stadium,c †M S Dhoni b D J J Bravo,1,12,10,686
44,25/05/2018,Kolkata Knight Riders,Eden Gardens,run out,1,28,24,714
45,27/05/2018,Chennai Super Kings,Wankhede Stadium,c S K Raina b D J J Bravo,1,23,15,737
46,27/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,c S Gopal b J D Unadkat,1,9,10,746
