Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/05/2008,Delhi Capitals,M Chinnaswamy Stadium,c T M Dilshan b M F Maharoof,1,52,42,52
2,21/05/2008,Chennai Super Kings,MA Chidambaram Stadium,c †P A Patel b M Gony,1,10,19,62
3,28/05/2008,Mumbai Indians,M Chinnaswamy Stadium,c A Nehra b C R D Fernando,1,20,24,82
4,29/04/2009,Kolkata Knight Riders,Kingsmead,c †M N van Wyk b B J Hodge,1,43,46,125
5,1/5/2009,Kings XI Punjab,Kingsmead,c P P Chawla b Y A Abdulla,1,10,14,135
6,14/03/2010,Kolkata Knight Riders,Eden Gardens,c I Sharma b C K Langeveldt,1,8,10,143
7,28/04/2011,Delhi Capitals,Arun Jaitley Stadium,c †N V Ojha b A B Agarkar,1,22,20,165
8,19/05/2011,Pune Warriors,Dr DY Patil Sports Academy,c †R V Uthappa b A C Thomas,1,6,3,171
9,22/05/2011,Mumbai Indians,Eden Gardens,run out,1,1,3,172
10,25/05/2011,Mumbai Indians,Wankhede Stadium,c †A T Rayudu b M M Patel,1,0,3,172
11,8/4/2012,Kolkata Knight Riders,Sawai Mansingh Stadium,b R Bhatia,1,23,18,195
12,11/4/2012,Mumbai Indians,Wankhede Stadium,c †K D Karthik b M M Patel,1,0,1,195
13,13/04/2012,Kolkata Knight Riders,Eden Gardens,c L Balaji b Shakib Al Hasan,1,24,22,219
14,23/04/2012,Royal Challengers Bangalore,Sawai Mansingh Stadium,c M A Agarwal b K P Appanna,1,1,2,220
15,1/5/2012,Delhi Capitals,Sawai Mansingh Stadium,not out,0,18,21,238
16,18/05/2012,Deccan Chargers,Rajiv Gandhi International Stadium,b V Pratap Singh,1,3,3,241
17,19/05/2018,Kolkata Knight Riders,Rajiv Gandhi International Stadium,c A D Russell b Kuldeep Yadav,1,35,26,276
18,22/05/2018,Chennai Super Kings,Wankhede Stadium,c & b L Ngidi,1,12,9,288
19,27/05/2018,Chennai Super Kings,Wankhede Stadium,run out,1,5,5,293
