Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/04/2008,Delhi Capitals,Arun Jaitley Stadium,run out,1,10,5,10
2,21/04/2008,Kings XI Punjab,Sawai Mansingh Stadium,c & b B Lee,1,7,5,17
3,24/04/2008,Deccan Chargers,Rajiv Gandhi International Stadium,c A Symonds b D Kalyankrishna,1,61,28,78
4,26/04/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,c †M V Boucher b Z Khan,1,21,12,99
5,1/5/2008,Kolkata Knight Riders,Sawai Mansingh Stadium,b Umar Gul,1,55,33,154
6,4/5/2008,Chennai Super Kings,Sawai Mansingh Stadium,c S K Raina b M Muralitharan,1,8,5,162
7,7/5/2008,Mumbai Indians,Dr DY Patil Sports Academy,b A Nehra,1,1,3,163
8,9/5/2008,Deccan Chargers,Sawai Mansingh Stadium,c H H Gibbs b P P Ojha,1,68,37,231
9,11/5/2008,Delhi Capitals,Sawai Mansingh Stadium,run out,1,8,13,239
10,20/05/2008,Kolkata Knight Riders,Eden Gardens,not out,0,48,18,287
11,24/05/2008,Chennai Super Kings,MA Chidambaram Stadium,c M Muralitharan b J A Morkel,1,6,5,293
12,26/05/2008,Mumbai Indians,Sawai Mansingh Stadium,c A Nehra b C R D Fernando,1,2,4,295
13,28/05/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c S E Marsh b J R Hopes,1,39,15,334
14,30/05/2008,Delhi Capitals,Wankhede Stadium,run out,1,45,21,379
15,1/6/2008,Chennai Super Kings,Dr DY Patil Sports Academy,run out,1,56,39,435
16,18/04/2009,Royal Challengers Bangalore,Newlands,c J D Ryder b A Kumble,1,11,14,446
17,23/04/2009,Kolkata Knight Riders,Newlands,c Yashpal Singh b B A W Mendis,1,42,21,488
18,26/04/2009,Kings XI Punjab,Newlands,c K Goel b P P Chawla,1,10,13,498
19,28/04/2009,Delhi Capitals,SuperSport Park,not out,0,62,30,560
20,30/04/2009,Chennai Super Kings,Buffalo Park,c S K Raina b L Balaji,1,20,13,580
21,2/5/2009,Deccan Chargers,St George's Park,c H H Gibbs b R P Singh,1,24,14,604
22,5/5/2009,Kings XI Punjab,Kingsmead,c K Goel b P P Chawla,1,12,7,616
23,7/5/2009,Royal Challengers Bangalore,SuperSport Park,c W Jaffer b D du Preez,1,22,19,638
24,9/5/2009,Chennai Super Kings,Diamond Oval,c J D P Oram b S B Jakati,1,7,11,645
25,11/5/2009,Deccan Chargers,Diamond Oval,c D R Smith b P P Ojha,1,6,7,651
26,14/05/2009,Mumbai Indians,Kingsmead,c S L Malinga b C Nanda,1,17,14,668
27,17/05/2009,Delhi Capitals,Mangaung Oval,c †K D Karthik b M F Maharoof,1,1,5,669
28,20/05/2009,Kolkata Knight Riders,Kingsmead,run out,1,9,15,678
29,13/03/2010,Mumbai Indians,Brabourne Stadium,run out,1,100,37,778
30,15/03/2010,Delhi Capitals,Barabati Stadium,c A B de Villiers b M F Maharoof,1,0,5,778
31,18/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,run out,1,26,24,804
32,20/03/2010,Kolkata Knight Riders,Sardar Patel Stadium,c B J Hodge b A B Dinda,1,15,14,819
33,24/03/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c Yuvraj Singh b S J Srivastava,1,28,19,847
34,26/03/2010,Deccan Chargers,Sardar Patel Stadium,not out,0,73,34,920
35,28/03/2010,Chennai Super Kings,Sardar Patel Stadium,c S K Raina b S B Jakati,1,8,6,928
36,31/03/2010,Delhi Capitals,Arun Jaitley Stadium,c D A Warner b A Mishra,1,24,14,952
37,3/4/2010,Chennai Super Kings,MA Chidambaram Stadium,c D E Bollinger b J A Morkel,1,4,2,956
38,5/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,c V V S Laxman b R J Harris,1,5,7,961
39,7/4/2010,Kings XI Punjab,Sawai Mansingh Stadium,not out,0,21,13,982
40,11/4/2010,Mumbai Indians,Sawai Mansingh Stadium,c Harbhajan Singh b K A Pollard,1,10,8,992
41,14/04/2010,Royal Challengers Bangalore,Sawai Mansingh Stadium,b D W Steyn,1,11,9,1003
42,17/04/2010,Kolkata Knight Riders,Eden Gardens,c S C Ganguly b J D Unadkat,1,8,9,1011
43,8/4/2011,Chennai Super Kings,MA Chidambaram Stadium,run out,1,11,12,1022
44,11/4/2011,Deccan Chargers,Eden Gardens,c I R Jaggi b D W Steyn,1,22,15,1044
45,20/04/2011,Kochi Tuskers Kerala,Eden Gardens,c M Muralitharan b R R Powar,1,8,3,1052
46,22/04/2011,Royal Challengers Bangalore,Barabati Stadium,c V Kohli b S Aravind,1,46,24,1098
47,28/04/2011,Delhi Capitals,Arun Jaitley Stadium,c I K Pathan b U T Yadav,1,5,8,1103
48,3/5/2011,Deccan Chargers,Rajiv Gandhi International Stadium,not out,0,47,26,1150
49,5/5/2011,Kochi Tuskers Kerala,Nehru Stadium (Kochi),c D P M D Jayawardene b R Vinay Kumar,1,17,13,1167
50,14/05/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A Mithun b C K Langeveldt,1,36,24,1203
51,19/05/2011,Pune Warriors,Dr DY Patil Sports Academy,c S C Ganguly b W D Parnell,1,29,25,1232
52,22/05/2011,Mumbai Indians,Eden Gardens,c A N Ahmed b J E C Franklin,1,36,27,1268
53,25/05/2011,Mumbai Indians,Wankhede Stadium,c K A Pollard b M M Patel,1,26,24,1294
54,5/4/2012,Delhi Capitals,Eden Gardens,c †N V Ojha b U T Yadav,1,0,4,1294
55,8/4/2012,Rajasthan Royals,Sawai Mansingh Stadium,c B J Hodge b S K Trivedi,1,15,14,1309
56,10/4/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium,c C H Gayle b R Vinay Kumar,1,1,3,1310
57,13/04/2012,Rajasthan Royals,Eden Gardens,not out,0,7,7,1317
58,15/04/2012,Kings XI Punjab,Eden Gardens,b P P Chawla,1,0,3,1317
59,22/04/2012,Deccan Chargers,Barabati Stadium,b Ankit Sharma,1,6,4,1323
60,28/04/2012,Royal Challengers Bangalore,Eden Gardens,c T M Dilshan b R Vinay Kumar,1,7,4,1330
61,30/04/2012,Chennai Super Kings,MA Chidambaram Stadium,c F du Plessis b R Ashwin,1,12,11,1342
62,5/5/2012,Pune Warriors,Eden Gardens,c S P D Smith b B Kumar,1,11,15,1353
63,7/5/2012,Delhi Capitals,Arun Jaitley Stadium,not out,0,7,11,1360
64,12/5/2012,Mumbai Indians,Eden Gardens,not out,0,40,31,1400
65,14/05/2012,Chennai Super Kings,Eden Gardens,c D J J Bravo b R Ashwin,1,11,8,1411
66,16/05/2012,Mumbai Indians,Wankhede Stadium,not out,0,21,21,1432
67,19/05/2012,Pune Warriors,Maharashtra Cricket Association Stadium,not out,0,15,10,1447
68,22/05/2012,Delhi Capitals,Maharashtra Cricket Association Stadium,not out,0,40,21,1487
69,27/05/2012,Chennai Super Kings,MA Chidambaram Stadium,c S Badrinath b R Ashwin,1,1,2,1488
70,3/4/2013,Delhi Capitals,Eden Gardens,not out,0,18,16,1506
71,8/4/2013,Rajasthan Royals,Sawai Mansingh Stadium,c †D H Yagnik b K Cooper,1,0,2,1506
72,11/4/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,c R Vinay Kumar b M C Henriques,1,27,17,1533
73,14/04/2013,Sunrisers Hyderabad,Eden Gardens,not out,0,3,3,1536
74,16/04/2013,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c D A Miller b P Kumar,1,13,16,1549
75,20/04/2013,Chennai Super Kings,Eden Gardens,run out,1,25,22,1574
76,24/04/2013,Mumbai Indians,Eden Gardens,c Harbhajan Singh b M G Johnson,1,19,6,1593
77,26/04/2013,Kings XI Punjab,Eden Gardens,c †A C Gilchrist b Azhar Mahmood,1,0,1,1593
78,28/04/2013,Chennai Super Kings,MA Chidambaram Stadium,not out,0,3,3,1596
79,1/5/2013,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,c I K Pathan b M Morkel,1,20,16,1616
80,3/5/2013,Rajasthan Royals,Eden Gardens,not out,0,49,35,1665
81,7/5/2013,Mumbai Indians,Wankhede Stadium,b P P Ojha,1,13,8,1678
82,9/5/2013,Pune Warriors,Maharashtra Cricket Association Stadium,c †M Rawat b B Kumar,1,3,6,1681
83,12/5/2013,Royal Challengers Bangalore,JSCA International Stadium Complex,lbw b M Kartik,1,18,16,1699
84,15/05/2013,Pune Warriors,JSCA International Stadium Complex,obstructing field,1,72,44,1771
85,19/05/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,49,29,1820
86,16/04/2014,Mumbai Indians,Sheikh Zayed Stadium,not out,0,4,4,1824
87,19/04/2014,Delhi Capitals,Dubai International Cricket Stadium,b N M Coulter-Nile,1,11,8,1835
88,24/04/2014,Royal Challengers Bangalore,Sharjah Cricket Stadium,c V Kohli b V R Aaron,1,0,2,1835
89,26/04/2014,Kings XI Punjab,Sheikh Zayed Stadium,lbw b R Dhawan,1,3,5,1838
90,2/5/2014,Chennai Super Kings,JSCA International Stadium Complex,lbw b M M Sharma,1,41,29,1879
91,5/5/2014,Rajasthan Royals,Sardar Patel Stadium,c & b P V Tambe,1,0,1,1879
92,14/05/2014,Mumbai Indians,Barabati Stadium,not out,0,20,13,1899
93,18/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,39,28,1938
94,22/05/2014,Royal Challengers Bangalore,Eden Gardens,run out,1,22,13,1960
95,24/05/2014,Sunrisers Hyderabad,Eden Gardens,c S Dhawan b K V Sharma,1,72,22,2032
96,28/05/2014,Kings XI Punjab,Eden Gardens,c D A Miller b Karanveer Singh,1,20,18,2052
97,1/6/2014,Kings XI Punjab,M Chinnaswamy Stadium,c G J Maxwell b Karanveer Singh,1,36,22,2088
98,8/4/2015,Mumbai Indians,Eden Gardens,not out,0,14,12,2102
99,11/4/2015,Royal Challengers Bangalore,Eden Gardens,c V Kohli b V R Aaron,1,3,4,2105
100,18/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,not out,0,28,24,2133
101,20/04/2015,Delhi Capitals,Arun Jaitley Stadium,not out,0,40,26,2173
102,22/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c K V Sharma b B Kumar,1,6,7,2179
103,28/04/2015,Chennai Super Kings,MA Chidambaram Stadium,b D J J Bravo,1,13,18,2192
104,2/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,11,6,2203
105,4/5/2015,Sunrisers Hyderabad,Eden Gardens,not out,0,30,19,2233
106,7/5/2015,Delhi Capitals,Eden Gardens,c S S Tiwary b Imran Tahir,1,42,24,2275
107,9/5/2015,Kings XI Punjab,Eden Gardens,c †W P Saha b B E Hendricks,1,29,19,2304
108,14/05/2015,Mumbai Indians,Wankhede Stadium,c †P A Patel b K A Pollard,1,52,37,2356
109,16/05/2015,Rajasthan Royals,Brabourne Stadium,c D S Kulkarni b S R Watson,1,44,35,2400
110,13/04/2016,Mumbai Indians,Eden Gardens,not out,0,9,6,2409
111,19/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,12,6,2421
112,24/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,lbw b R Bhatia,1,36,27,2457
113,28/04/2016,Mumbai Indians,Wankhede Stadium,not out,0,19,8,2476
114,30/04/2016,Delhi Capitals,Arun Jaitley Stadium,c A Mishra b C R Brathwaite,1,10,9,2486
115,2/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,60,29,2546
116,4/5/2016,Kings XI Punjab,Eden Gardens,not out,0,19,16,2565
117,8/5/2016,Gujarat Lions,Eden Gardens,not out,0,63,41,2628
118,14/05/2016,Rising Pune Supergiant,Eden Gardens,not out,0,37,18,2665
