Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,2/5/2009,Chennai Super Kings,Wanderers Stadium,Yes,st M S Dhoni b S B Jakati,1,51,40,127.5,,51,51,127.5
2,5/5/2009,Kolkata Knight Riders,Kingsmead,Yes,c M C Henriques b A B Agarkar,1,36,23,156.52,,87,43.5,138.1
3,8/5/2009,Mumbai Indians,Buffalo Park,Yes,st P R Shah b J-P Duminy,1,21,30,70,,108,36,116.13
4,10/5/2009,Kolkata Knight Riders,Wanderers Stadium,Yes,c †M N van Wyk b I Sharma,1,36,23,156.52,,144,36,124.14
5,13/05/2009,Deccan Chargers,Kingsmead,Yes,c Y Venugopal Rao b W P U J C Vaas,1,4,6,66.67,,148,29.6,121.31
6,21/05/2009,Mumbai Indians,SuperSport Park,No,c Mohammad Ashraful b D S Kulkarni,1,15,9,166.67,,163,27.17,124.43
7,22/05/2009,Deccan Chargers,SuperSport Park,Yes,c H H Gibbs b R J Harris,1,0,1,0,,163,23.29,123.48
8,19/03/2010,Chennai Super Kings,Arun Jaitley Stadium,Yes,c M L Hayden b L Balaji,1,6,8,75,,169,21.13,120.71
9,21/03/2010,Deccan Chargers,Barabati Stadium,Yes,run out,1,57,33,172.73,,226,25.11,130.64
10,25/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c R Vinay Kumar b D W Steyn,1,33,14,235.71,,259,25.9,138.5
11,29/03/2010,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,not out,0,107,69,155.07,,366,36.6,142.97
12,31/03/2010,Rajasthan Royals,Arun Jaitley Stadium,Yes,b S Narwal,1,4,8,50,,370,33.64,140.15
13,4/4/2010,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c V Kohli b A Kumble,1,33,22,150,,403,33.58,140.91
14,7/4/2010,Kolkata Knight Riders,Eden Gardens,Yes,b A B Dinda,1,0,5,0,,403,31,138.49
15,11/4/2010,Kings XI Punjab,Arun Jaitley Stadium,Yes,run out,1,6,11,54.55,,409,29.21,135.43
16,13/04/2010,Mumbai Indians,Brabourne Stadium,Yes,c A G Murtaza b C R D Fernando,1,31,15,206.67,,440,29.33,138.8
17,15/04/2010,Chennai Super Kings,MA Chidambaram Stadium,Yes,c M Vijay b R Ashwin,1,0,2,0,,440,27.5,137.93
18,18/04/2010,Deccan Chargers,Arun Jaitley Stadium,Yes,c R G Sharma b M R Marsh,1,5,4,125,,445,26.18,137.77
19,10/4/2011,Mumbai Indians,Arun Jaitley Stadium,Yes,b S L Malinga,1,1,3,33.33,,446,24.78,136.81
20,12/4/2011,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c A S Raut b A Singh,1,54,44,122.73,,500,26.32,135.14
