Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,18/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c †N V Ojha b B Kumar,1,2,4,50,,2,2,50
2,15/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c K K Nair b Z Khan,1,48,42,114.29,,50,25,108.7
3,21/05/2016,Gujarat Lions,Green Park,Yes,c D J J Bravo b D R Smith,1,7,9,77.78,,57,19,103.64
4,28/04/2017,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Yes,c M C Henriques b B Kumar,1,23,11,209.09,,80,20,121.21
5,30/04/2017,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,50,27,185.19,,130,32.5,139.78
6,5/5/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c P Negi b S Aravind,1,9,10,90,,139,27.8,134.95
7,7/5/2017,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,Yes,c Basil Thampi b P J Sangwan,1,2,5,40,,141,23.5,130.56
8,9/5/2017,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Yes,lbw b S P Narine,1,12,16,75,,153,21.86,123.39
9,11/5/2017,Mumbai Indians,Wankhede Stadium,Yes,c H H Pandya b K V Sharma,1,36,18,200,,189,23.63,133.1
10,14/05/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Yes,c M K Tiwary b J D Unadkat,1,0,1,0,,189,21,132.17
11,2/5/2019,Mumbai Indians,Wankhede Stadium,Yes,lbw b J J Bumrah,1,15,11,136.36,,204,20.4,132.47
12,4/5/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,No,c V Kohli b W Washington Sundar,1,30,23,130.43,,234,21.27,132.2
13,8/5/2019,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,No,c K M A Paul b A Mishra,1,36,19,189.47,,270,22.5,137.76
