Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,24/03/2019,Kolkata Knight Riders,Eden Gardens,Yes,b P P Chawla,1,39,35,111.43,,39,39,111.43
2,29/03/2019,Rajasthan Royals,Rajiv Gandhi International Stadium,Yes,c D S Kulkarni b S Gopal,1,45,28,160.71,,84,42,133.33
3,31/03/2019,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Yes,c U T Yadav b Y S Chahal,1,114,56,203.57,,198,66,166.39
4,4/4/2019,Delhi Capitals,Arun Jaitley Stadium,Yes,lbw b R Tewatia,1,48,28,171.43,,246,61.5,167.35
5,6/4/2019,Mumbai Indians,Rajiv Gandhi International Stadium,Yes,c J J Bumrah b R D Chahar,1,16,10,160,,262,52.4,166.88
6,8/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c R Ashwin b Mujeeb Ur Rahman,1,1,6,16.67,,263,43.83,161.35
7,14/04/2019,Delhi Capitals,Rajiv Gandhi International Stadium,No,c K Rabada b K M A Paul,1,41,31,132.26,,304,43.43,156.7
8,17/04/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,Yes,not out,0,61,44,138.64,,365,52.14,153.36
9,21/04/2019,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Yes,not out,0,80,43,186.05,,445,63.57,158.36
10,23/04/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c †M S Dhoni b Harbhajan Singh,1,0,2,0,,445,55.63,157.24
