Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,20/04/2008,Deccan Chargers,Eden Gardens,Yes,c S B Styris b W P U J C Vaas,1,10,17,58.82,,10,10,58.82
2,26/04/2008,Chennai Super Kings,MA Chidambaram Stadium,Yes,b M Gony,1,27,16,168.75,,37,18.5,112.12
3,1/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,b S K Trivedi,1,1,2,50,,38,12.67,108.57
4,3/5/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,59,32,184.38,,97,32.33,144.78
5,8/5/2008,Royal Challengers Bangalore,Eden Gardens,Yes,not out,0,17,10,170,,114,38,148.05
6,13/05/2008,Delhi Capitals,Eden Gardens,Yes,not out,0,5,6,83.33,,119,39.67,143.37
7,16/05/2008,Mumbai Indians,Wankhede Stadium,Yes,c S R Tendulkar b D J J Bravo,1,1,6,16.67,,120,30,134.83
8,18/05/2008,Chennai Super Kings,Eden Gardens,Yes,not out,0,15,9,166.67,,135,33.75,137.76
9,20/05/2008,Rajasthan Royals,Eden Gardens,Yes,not out,0,11,6,183.33,,146,36.5,140.38
10,25/05/2008,Kings XI Punjab,Eden Gardens,Yes,c I K Pathan b P P Chawla,1,13,15,86.67,,159,31.8,133.61
11,29/04/2009,Royal Challengers Bangalore,Kingsmead,No,c K P Pietersen b A Kumble,1,21,14,150,,180,30,135.34
12,1/5/2009,Mumbai Indians,Buffalo Park,No,not out,0,8,4,200,,188,31.33,137.23
13,5/5/2009,Delhi Capitals,Kingsmead,Yes,not out,0,1,1,100,,189,31.5,136.96
14,10/5/2009,Delhi Capitals,Wanderers Stadium,Yes,c †K D Karthik b A Mishra,1,0,1,0,,189,27,135.97
15,12/5/2009,Royal Challengers Bangalore,SuperSport Park,No,not out,0,10,5,200,,199,28.43,138.19
16,16/05/2009,Deccan Chargers,Wanderers Stadium,Yes,c R P Singh b A Symonds,1,7,3,233.33,,206,25.75,140.14
17,18/05/2009,Chennai Super Kings,SuperSport Park,Yes,not out,0,25,13,192.31,,231,28.88,144.38
18,16/03/2010,Chennai Super Kings,Eden Gardens,Yes,b L Balaji,1,22,13,169.23,,253,28.11,146.24
19,20/03/2010,Rajasthan Royals,Sardar Patel Stadium,Yes,not out,0,1,2,50,,254,28.22,145.14
20,27/03/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,0,0,-,,254,28.22,145.14
21,29/03/2010,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,20,17,117.65,,274,30.44,142.71
22,1/4/2010,Deccan Chargers,Eden Gardens,Yes,not out,0,10,4,250,,284,31.56,144.9
23,10/4/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c R Vinay Kumar b D W Steyn,1,13,15,86.67,,297,29.7,140.76
24,13/04/2010,Chennai Super Kings,MA Chidambaram Stadium,Yes,st M S Dhoni b S B Jakati,1,1,2,50,,298,27.09,139.91
25,12/5/2011,Delhi Capitals,MA Chidambaram Stadium,Yes,not out,0,0,0,-,,298,27.09,139.91
26,18/05/2011,Kochi Tuskers Kerala,MA Chidambaram Stadium,Yes,not out,0,46,33,139.39,,344,31.27,139.84
27,22/05/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c L A Pommersbach b V Kohli,1,22,30,73.33,,366,30.5,132.61
28,28/04/2012,Kings XI Punjab,MA Chidambaram Stadium,Yes,b D J Hussey,1,6,14,42.86,,372,28.62,128.28
29,28/04/2013,Kolkata Knight Riders,MA Chidambaram Stadium,Yes,c E J G Morgan b R Bhatia,1,39,23,169.57,,411,29.36,131.31
30,30/04/2013,Pune Warriors,Maharashtra Cricket Association Stadium,Yes,lbw b R Sharma,1,13,15,86.67,,424,28.27,129.27
31,2/5/2013,Kings XI Punjab,MA Chidambaram Stadium,Yes,c S E Marsh b P Awana,1,18,18,100,,442,27.63,127.75
32,20/04/2014,Rajasthan Royals,Sharjah Cricket Stadium,Yes,c D S Kulkarni b J P Faulkner,1,2,3,66.67,,444,26.12,127.22
33,26/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,Yes,lbw b J H Kallis,1,14,10,140,,458,25.44,127.58
34,28/04/2014,Royal Challengers Bangalore,Dubai International Cricket Stadium,Yes,c M A Starc b V R Aaron,1,2,6,33.33,,460,24.21,126.03
35,3/5/2014,Mumbai Indians,Wankhede Stadium,Yes,not out,0,59,47,125.53,,519,27.32,125.97
36,9/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c A B de Villiers b H V Patel,1,17,17,100,,536,26.8,124.94
37,11/5/2014,Kolkata Knight Riders,Barabati Stadium,Yes,b M Morkel,1,15,9,166.67,,551,26.24,125.8
38,14/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,st N V Ojha b K V Sharma,1,54,26,207.69,,605,27.5,130.39
39,19/05/2014,Delhi Capitals,Arun Jaitley Stadium,Yes,c W D Parnell b Mohammed Shami,1,13,13,100,,618,26.87,129.56
40,21/05/2014,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,Yes,run out,1,3,8,37.5,,621,25.88,128.04
41,23/05/2014,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Yes,c A M Rahane b R Tewatia,1,27,20,135,,648,25.92,128.32
42,28/05/2014,Kolkata Knight Riders,Eden Gardens,Yes,c U T Yadav b M Morkel,1,35,31,112.9,,683,26.27,127.43
43,30/05/2014,Chennai Super Kings,Wankhede Stadium,Yes,c D R Smith b M M Sharma,1,6,4,150,,689,25.52,127.59
44,1/6/2014,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,not out,0,115,55,209.09,,804,29.78,135.13
45,10/4/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,Yes,run out,1,7,4,175,,811,28.96,135.39
46,15/04/2015,Delhi Capitals,Maharashtra Cricket Association Stadium,Yes,b A Mishra,1,39,28,139.29,,850,29.31,135.57
47,18/04/2015,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Yes,c Y K Pathan b M Morkel,1,15,11,136.36,,865,28.83,135.58
48,21/04/2015,Rajasthan Royals,Sardar Patel Stadium,No,b C H Morris,1,19,8,237.5,,884,28.52,136.84
49,25/04/2015,Chennai Super Kings,MA Chidambaram Stadium,Yes,c R Ashwin b A Nehra,1,15,23,65.22,,899,28.09,134.38
50,27/04/2015,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Yes,c P Kumar b T A Boult,1,42,33,127.27,,941,28.52,134.05
51,1/5/2015,Delhi Capitals,Arun Jaitley Stadium,Yes,c †K M Jadhav b N M Coulter-Nile,1,3,8,37.5,,944,27.76,132.96
52,3/5/2015,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,Yes,run out,1,12,12,100,,956,27.31,132.41
53,6/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,No,c V Kohli b S Aravind,1,13,11,118.18,,969,26.92,132.2
54,9/5/2015,Kolkata Knight Riders,Eden Gardens,Yes,b S P Narine,1,33,25,132,,1002,27.08,132.19
55,11/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,No,c K L Rahul b M C Henriques,1,5,10,50,,1007,26.5,131.12
56,13/05/2015,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Yes,c Mandeep Singh b D Wiese,1,31,12,258.33,,1038,26.62,133.08
57,16/05/2015,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Yes,c B B McCullum b P Negi,1,15,12,125,,1053,26.33,132.95
58,11/4/2016,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,Yes,c R A Jadeja b D J J Bravo,1,20,25,80,,1073,26.17,131.33
59,15/04/2016,Delhi Capitals,Arun Jaitley Stadium,No,run out,1,3,7,42.86,,1076,25.62,130.58
60,17/04/2016,Rising Pune Supergiant,Punjab Cricket Association IS Bindra Stadium,Yes,not out,0,4,4,100,,1080,25.71,130.43
61,19/04/2016,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Yes,c †R V Uthappa b S P Narine,1,8,14,57.14,,1088,25.3,129.22
62,1/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,b D J J Bravo,1,33,19,173.68,,1121,25.48,130.2
63,4/5/2016,Kolkata Knight Riders,Eden Gardens,Yes,b P P Chawla,1,24,20,120,,1145,25.44,129.97
64,7/5/2016,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Yes,c C H Morris b Mohammed Shami,1,52,33,157.58,,1197,26.02,130.96
65,9/5/2016,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Yes,st K L Rahul b Y S Chahal,1,16,13,123.08,,1213,25.81,130.85
66,13/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,b M J McClenaghan,1,56,40,140,,1269,26.44,131.23
67,15/05/2016,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Yes,c D J Hooda b M C Henriques,1,27,23,117.39,,1296,26.45,130.91
68,18/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,lbw b Y S Chahal,1,24,10,240,,1320,26.4,132
69,21/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c R Ashwin b A Zampa,1,3,4,75,,1323,25.94,131.77
70,8/4/2017,Rising Pune Supergiant,Holkar Cricket Stadium,Yes,b Imran Tahir,1,14,9,155.56,,1337,25.71,131.98
