,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2016-05-17,0.0,,0,2.0,13,6.5,-,-,0
1,2.0,Dr YS Rajasekhara Reddy Cricket Stadium,Kings XI Punjab,2016-05-21,0.0,,0,3.0,28,9.33,-,-,0
2,3.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2017-04-06,0.0,,0,2.0,21,10.5,-,-,0
3,4.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2017-04-11,1.0,97.0,1,3.0,35,11.67,35,18,0
4,5.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-29,1.0,115.0,0,2.0,18,9.0,-,-,0
5,6.0,Wankhede Stadium,Mumbai Indians,2018-04-07,2.0,64.5,1,3.0,14,4.67,14,18,0
6,7.0,MA Chidambaram Stadium,Kolkata Knight Riders,2018-04-10,2.0,73.5,0,1.0,18,18.0,-,-,0
7,8.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-15,2.0,92.0,0,3.0,37,12.33,-,-,0
8,9.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2018-04-20,4.0,53.5,2,4.0,30,7.5,15,12,0
9,10.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-22,7.0,32.71,3,4.0,15,3.75,5,8,0
10,11.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-25,7.0,35.57,0,2.0,20,10.0,-,-,0
11,12.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2018-04-28,7.0,38.29,0,2.1,19,8.77,-,-,0
12,13.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2018-05-13,8.0,35.5,1,4.0,16,4.0,16,24,0
13,14.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-18,9.0,34.11,1,3.0,23,7.67,23,18,0
14,15.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2018-05-20,10.0,33.7,1,4.0,30,7.5,30,24,0
15,16.0,Wankhede Stadium,Sunrisers Hyderabad,2018-05-22,11.0,33.45,1,4.0,31,7.75,31,24,0
16,17.0,Wankhede Stadium,Sunrisers Hyderabad,2018-05-27,11.0,35.73,0,4.0,25,6.25,-,-,0
17,18.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2019-03-23,11.0,37.27,0,4.0,17,4.25,-,-,0
18,19.0,Arun Jaitley Stadium,Delhi Capitals,2019-03-26,12.0,35.83,1,4.0,20,5.0,20,24,0
19,20.0,MA Chidambaram Stadium,Rajasthan Royals,2019-03-31,14.0,32.07,2,4.0,19,4.75,9.5,12,0
20,21.0,Wankhede Stadium,Mumbai Indians,2019-04-03,15.0,31.33,1,3.0,21,7.0,21,18,0
21,22.0,MA Chidambaram Stadium,Kings XI Punjab,2019-04-06,16.0,31.88,1,4.0,40,10.0,40,24,0
22,23.0,MA Chidambaram Stadium,Kolkata Knight Riders,2019-04-09,19.0,27.89,3,4.0,20,5.0,6.7,8,0
23,24.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-11,21.0,26.81,2,4.0,33,8.25,16.5,12,0
24,25.0,Eden Gardens,Kolkata Knight Riders,2019-04-14,21.0,28.52,0,4.0,36,9.0,-,-,0
25,26.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-17,22.0,28.64,1,3.0,31,10.33,31,18,0
26,27.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-21,24.0,27.29,2,4.0,25,6.25,12.5,12,0
27,28.0,MA Chidambaram Stadium,Sunrisers Hyderabad,2019-04-23,25.0,27.4,1,4.0,30,7.5,30,24,0
28,29.0,MA Chidambaram Stadium,Mumbai Indians,2019-04-26,26.0,28.12,1,4.0,46,11.5,46,24,0
29,30.0,MA Chidambaram Stadium,Delhi Capitals,2019-05-01,27.0,28.26,1,3.0,32,10.67,32,18,0
30,31.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-05-05,27.0,29.3,0,4.0,28,7.0,-,-,0
31,32.0,MA Chidambaram Stadium,Mumbai Indians,2019-05-07,28.0,29.32,1,3.3,30,8.57,30,21,0
32,33.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2019-05-10,30.0,28.3,2,4.0,28,7.0,14,12,0
33,34.0,Rajiv Gandhi International Stadium,Mumbai Indians,2019-05-12,33.0,26.52,3,4.0,26,6.5,8.7,8,0
