,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2014-05-10,0.0,,0,1.0,7,7.0,-,-,0
1,2.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-13,0.0,,0,4.0,48,12.0,-,-,0
2,3.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-15,2.0,40.0,2,4.0,25,6.25,12.5,12,0
3,4.0,Arun Jaitley Stadium,Kings XI Punjab,2014-05-19,5.0,20.4,3,4.0,22,5.5,7.3,8,0
4,5.0,Wankhede Stadium,Mumbai Indians,2014-05-23,8.0,17.38,3,4.0,37,9.25,12.3,8,0
5,6.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2014-05-25,9.0,19.0,1,3.5,32,8.35,32,23,0
6,7.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-09,10.0,19.8,1,4.0,27,6.75,27,24,0
7,8.0,Arun Jaitley Stadium,Rajasthan Royals,2015-04-12,14.0,16.14,4,4.0,28,7.0,7,6,0
8,9.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2015-04-15,17.0,15.82,3,4.0,43,10.75,14.3,8,0
9,10.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2015-04-18,18.0,16.89,1,4.0,35,8.75,35,24,0
10,11.0,Arun Jaitley Stadium,Kolkata Knight Riders,2015-04-20,19.0,17.58,1,4.0,30,7.5,30,24,0
11,12.0,Arun Jaitley Stadium,Mumbai Indians,2015-04-23,22.0,16.18,3,4.0,22,5.5,7.3,8,0
12,13.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2015-04-26,22.0,17.09,0,2.0,20,10.0,-,-,0
13,14.0,Arun Jaitley Stadium,Kings XI Punjab,2015-05-01,22.0,18.73,2,4.0,46,11.5,23,12,0
14,15.0,Wankhede Stadium,Mumbai Indians,2015-05-05,22.0,19.95,0,3.0,36,12.0,-,-,0
15,16.0,Eden Gardens,Kolkata Knight Riders,2015-05-07,24.0,20.21,0,2.3,27,10.8,-,-,0
16,17.0,Arun Jaitley Stadium,Mumbai Indians,2016-04-23,24.0,21.42,0,4.0,29,7.25,-,-,0
17,18.0,Arun Jaitley Stadium,Gujarat Lions,2016-04-27,27.0,19.93,3,4.0,24,6.0,8,8,0
18,19.0,Arun Jaitley Stadium,Rising Pune Supergiant,2016-05-05,29.0,19.45,2,4.0,26,6.5,13,12,0
19,20.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-15,29.0,21.48,0,4.0,59,14.75,-,-,0
20,21.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2017-04-06,32.0,20.34,3,4.0,28,7.0,9.3,8,0
21,22.0,Holkar Cricket Stadium,Kings XI Punjab,2017-04-08,34.0,20.0,2,4.0,29,7.25,14.5,12,0
22,23.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2017-04-11,35.0,20.11,1,4.0,24,6.0,24,24,0
23,24.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-14,36.0,21.03,1,4.0,53,13.25,53,24,0
24,25.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-16,37.0,21.19,1,4.0,27,6.75,27,24,0
25,26.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2017-04-22,38.0,21.24,1,3.0,23,7.67,23,18,0
26,27.0,Wankhede Stadium,Mumbai Indians,2017-04-24,39.0,21.51,1,4.0,32,8.0,32,24,0
27,28.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2017-04-26,39.0,22.74,0,4.0,48,12.0,-,-,0
28,29.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-29,42.0,21.55,3,4.0,18,4.5,6,8,0
29,30.0,Maharashtra Cricket Association Stadium,Gujarat Lions,2017-05-01,45.0,20.71,3,4.0,27,6.75,9,8,0
30,31.0,Eden Gardens,Kolkata Knight Riders,2017-05-03,46.0,21.04,1,4.0,36,9.0,36,24,0
31,32.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-06,47.0,21.11,1,4.0,24,6.0,24,24,0
32,33.0,Wankhede Stadium,Mumbai Indians,2018-04-07,48.0,21.15,1,2.0,23,11.5,23,12,0
33,34.0,MA Chidambaram Stadium,Kolkata Knight Riders,2018-04-10,48.0,21.69,0,4.0,26,6.5,-,-,0
