,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,2.0,Eden Gardens,Kolkata Knight Riders,2013-04-14,1.0,13.0,1,2.0,13,6.5,13,12,0
1,3.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-04-17,2.0,13.0,1,3.0,13,4.33,13,18,0
2,4.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2013-04-19,4.0,11.25,2,3.0,19,6.33,9.5,9,0
3,5.0,MA Chidambaram Stadium,Chennai Super Kings,2013-04-25,4.0,13.25,0,4.0,8,2.0,-,-,0
4,6.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-04-27,4.0,19.25,0,1.5,24,13.09,-,-,0
5,7.0,Rajiv Gandhi International Stadium,Mumbai Indians,2013-05-01,4.0,25.5,0,4.0,25,6.25,-,-,0
6,8.0,Rajiv Gandhi International Stadium,Delhi Capitals,2013-05-04,5.0,22.2,1,2.0,9,4.5,9,12,0
7,9.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2013-05-08,5.0,26.0,0,2.0,19,9.5,-,-,0
8,10.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2013-05-11,5.0,27.2,0,1.0,6,6.0,-,-,0
9,11.0,Wankhede Stadium,Mumbai Indians,2013-05-13,7.0,22.57,2,3.0,22,7.33,11,9,0
10,12.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2013-05-17,9.0,21.22,2,4.0,33,8.25,16.5,12,0
11,13.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2013-05-19,10.0,20.6,1,3.0,15,5.0,15,18,0
12,14.0,Arun Jaitley Stadium,Rajasthan Royals,2013-05-22,11.0,20.91,1,2.0,24,12.0,24,12,0
13,15.0,Sheikh Zayed Stadium,Rajasthan Royals,2014-04-18,11.0,21.64,0,2.0,8,4.0,-,-,0
14,16.0,Sharjah Cricket Stadium,Kings XI Punjab,2014-04-22,11.0,25.0,0,4.0,37,9.25,-,-,0
15,17.0,Dubai International Cricket Stadium,Delhi Capitals,2014-04-25,12.0,24.83,1,4.0,23,5.75,23,24,0
16,18.0,Sharjah Cricket Stadium,Chennai Super Kings,2014-04-27,13.0,25.62,1,4.0,35,8.75,35,24,0
17,19.0,Dubai International Cricket Stadium,Mumbai Indians,2014-04-30,13.0,28.15,0,4.0,33,8.25,-,-,0
18,20.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-04,16.0,23.94,3,4.0,17,4.25,5.7,8,0
19,21.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-08,17.0,23.71,1,4.0,20,5.0,20,24,0
20,22.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-10,17.0,25.41,0,3.0,29,9.67,-,-,0
21,23.0,Rajiv Gandhi International Stadium,Mumbai Indians,2014-05-12,17.0,26.88,0,2.4,25,9.38,-,-,0
22,24.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2014-05-14,18.0,27.94,1,4.0,46,11.5,46,24,0
23,25.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2014-05-18,19.0,27.47,1,4.0,19,4.75,19,24,0
24,26.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2014-05-20,20.0,27.45,1,3.0,27,9.0,27,18,0
25,27.0,JSCA International Stadium Complex,Chennai Super Kings,2014-05-22,22.0,25.82,2,4.0,19,4.75,9.5,12,0
26,28.0,Eden Gardens,Kolkata Knight Riders,2014-05-24,26.0,23.31,4,4.0,38,9.5,9.5,6,0
27,29.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-11,26.0,25.27,0,4.0,51,12.75,-,-,0
28,30.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-13,27.0,25.07,1,4.0,20,5.0,20,24,0
29,31.0,Dr YS Rajasekhara Reddy Cricket Stadium,Rajasthan Royals,2015-04-16,28.0,24.86,1,3.0,19,6.33,19,18,0
30,32.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2015-04-18,28.0,25.75,0,2.0,25,12.5,-,-,0
31,33.0,Dr YS Rajasekhara Reddy Cricket Stadium,Kolkata Knight Riders,2015-04-22,28.0,25.93,0,1.0,5,5.0,-,-,0
32,34.0,Wankhede Stadium,Mumbai Indians,2015-04-25,29.0,26.07,1,4.0,30,7.5,30,24,0
33,35.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2015-04-27,30.0,25.93,1,4.0,22,5.5,22,24,0
34,36.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2015-05-02,30.0,26.57,0,2.0,19,9.5,-,-,0
35,37.0,Eden Gardens,Kolkata Knight Riders,2015-05-04,32.0,25.81,2,4.0,29,7.25,14.5,12,0
36,38.0,Brabourne Stadium,Rajasthan Royals,2015-05-07,33.0,25.88,1,3.0,28,9.33,28,18,0
37,39.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2015-05-09,35.0,24.74,2,3.0,12,4.0,6,9,0
38,40.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2015-05-11,35.0,25.31,0,2.0,20,10.0,-,-,0
39,41.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2015-05-15,35.0,25.71,0,1.0,14,14.0,-,-,0
40,42.0,Rajiv Gandhi International Stadium,Mumbai Indians,2015-05-17,36.0,26.06,1,2.5,38,13.41,38,17,0
