,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2013-04-13,0.0,,0,2.0,13,6.5,-,-,0
1,2.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-18,3.0,7.67,3,3.0,10,3.33,3.3,6,0
2,3.0,Eden Gardens,Kolkata Knight Riders,2013-04-20,3.0,12.0,0,3.0,13,4.33,-,-,0
3,4.0,MA Chidambaram Stadium,Rajasthan Royals,2013-04-22,3.0,18.33,0,2.0,19,9.5,-,-,0
4,5.0,MA Chidambaram Stadium,Sunrisers Hyderabad,2013-04-25,5.0,17.6,2,4.0,33,8.25,16.5,12,0
5,6.0,MA Chidambaram Stadium,Kolkata Knight Riders,2013-04-28,6.0,18.5,1,4.0,23,5.75,23,24,0
6,7.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-04-30,9.0,14.67,3,4.0,21,5.25,7,8,0
7,8.0,MA Chidambaram Stadium,Kings XI Punjab,2013-05-02,11.0,14.82,2,4.0,31,7.75,15.5,12,0
8,9.0,Wankhede Stadium,Mumbai Indians,2013-05-05,11.0,16.64,0,4.0,20,5.0,-,-,0
9,10.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-08,13.0,16.23,2,4.0,28,7.0,14,12,0
10,11.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-05-12,14.0,16.57,1,4.0,21,5.25,21,24,0
11,12.0,MA Chidambaram Stadium,Delhi Capitals,2013-05-14,16.0,15.88,2,4.0,22,5.5,11,12,0
12,13.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-05-18,17.0,15.76,1,1.0,14,14.0,14,6,0
13,14.0,Arun Jaitley Stadium,Mumbai Indians,2013-05-21,19.0,15.79,2,3.4,32,8.73,16,11,0
14,15.0,Eden Gardens,Mumbai Indians,2013-05-26,20.0,16.3,1,4.0,26,6.5,26,24,0
15,16.0,Sheikh Zayed Stadium,Kings XI Punjab,2014-04-18,20.0,18.05,0,2.5,35,12.35,-,-,0
16,17.0,Sheikh Zayed Stadium,Delhi Capitals,2014-04-21,21.0,18.0,1,3.0,17,5.67,17,18,0
17,18.0,Dubai International Cricket Stadium,Rajasthan Royals,2014-04-23,22.0,17.77,1,2.0,13,6.5,13,12,0
18,19.0,Dubai International Cricket Stadium,Mumbai Indians,2014-04-25,26.0,15.58,4,4.0,14,3.5,3.5,6,0
19,20.0,Sharjah Cricket Stadium,Sunrisers Hyderabad,2014-04-27,28.0,15.43,2,4.0,27,6.75,13.5,12,0
20,21.0,JSCA International Stadium Complex,Kolkata Knight Riders,2014-05-02,31.0,14.65,3,3.0,22,7.33,7.3,6,0
21,22.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-05,32.0,15.78,1,4.0,51,12.75,51,24,0
22,23.0,Barabati Stadium,Kings XI Punjab,2014-05-07,34.0,15.97,2,4.0,38,9.5,19,12,0
23,24.0,Wankhede Stadium,Mumbai Indians,2014-05-10,35.0,16.26,1,4.0,26,6.5,26,24,0
24,25.0,JSCA International Stadium Complex,Rajasthan Royals,2014-05-13,38.0,15.79,3,4.0,31,7.75,10.3,8,0
25,26.0,JSCA International Stadium Complex,Royal Challengers Bangalore,2014-05-18,38.0,16.13,0,2.0,13,6.5,-,-,0
26,27.0,Eden Gardens,Kolkata Knight Riders,2014-05-20,38.0,16.87,0,3.0,28,9.33,-,-,0
27,28.0,JSCA International Stadium Complex,Sunrisers Hyderabad,2014-05-22,38.0,17.74,0,3.0,33,11.0,-,-,0
28,29.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-24,39.0,17.69,1,3.0,16,5.33,16,18,0
29,30.0,Brabourne Stadium,Mumbai Indians,2014-05-28,42.0,17.43,3,4.0,42,10.5,14,8,0
30,31.0,Wankhede Stadium,Kings XI Punjab,2014-05-30,43.0,18.09,1,4.0,46,11.5,46,24,0
31,32.0,MA Chidambaram Stadium,Delhi Capitals,2015-04-09,44.0,18.43,1,4.0,33,8.25,33,24,0
32,33.0,MA Chidambaram Stadium,Sunrisers Hyderabad,2015-04-11,46.0,18.41,2,4.0,36,9.0,18,12,0
33,34.0,Wankhede Stadium,Mumbai Indians,2015-04-17,47.0,18.94,1,4.0,22,5.5,22,24,0
34,35.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-19,47.0,19.64,1,4.0,43,10.75,43,24,0
35,36.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-22,47.0,20.47,0,4.0,33,8.25,-,-,0
36,37.0,MA Chidambaram Stadium,Kings XI Punjab,2015-04-25,48.0,20.25,0,4.0,39,9.75,-,-,0
37,38.0,MA Chidambaram Stadium,Kolkata Knight Riders,2015-04-28,49.0,20.33,1,3.0,10,3.33,10,18,0
38,39.0,Eden Gardens,Kolkata Knight Riders,2015-04-30,50.0,20.36,1,3.0,24,8.0,24,18,0
39,40.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-02,50.0,21.52,0,4.0,58,14.5,-,-,0
40,41.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2015-05-04,51.0,21.67,1,4.0,29,7.25,29,24,0
41,42.0,MA Chidambaram Stadium,Mumbai Indians,2015-05-08,51.0,22.04,0,2.0,19,9.5,-,-,0
42,43.0,MA Chidambaram Stadium,Rajasthan Royals,2015-05-10,54.0,21.28,3,4.0,25,6.25,8.3,8,0
43,44.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2015-05-12,54.0,21.59,0,2.0,17,8.5,-,-,0
44,45.0,Wankhede Stadium,Mumbai Indians,2015-05-19,55.0,21.8,1,3.0,33,11.0,33,18,0
45,46.0,JSCA International Stadium Complex,Royal Challengers Bangalore,2015-05-22,56.0,21.8,1,4.0,22,5.5,22,24,0
46,47.0,Eden Gardens,Mumbai Indians,2015-05-24,57.0,22.09,1,4.0,38,9.5,38,24,0
47,48.0,Punjab Cricket Association IS Bindra Stadium,Gujarat Lions,2016-04-11,57.0,22.51,0,2.4,24,9.0,-,-,0
48,49.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-15,57.0,22.68,0,2.0,10,5.0,-,-,0
49,50.0,Punjab Cricket Association IS Bindra Stadium,Rising Pune Supergiant,2016-04-17,60.0,21.93,3,4.0,23,5.75,7.7,8,0
50,51.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2016-04-19,60.0,22.42,0,3.1,29,9.16,-,-,0
51,52.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-23,61.0,22.38,1,3.0,20,6.67,20,18,0
52,53.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2016-04-25,64.0,21.92,3,4.0,38,9.5,12.7,8,0
53,54.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-05-01,67.0,21.42,3,4.0,32,8.0,10.7,8,0
54,55.0,Eden Gardens,Kolkata Knight Riders,2016-05-04,67.0,22.0,0,4.0,39,9.75,-,-,0
55,56.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2016-05-07,67.0,22.31,0,4.0,21,5.25,-,-,0
56,57.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2016-05-09,67.0,22.81,0,3.0,33,11.0,-,-,0
57,58.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-13,69.0,22.52,2,4.0,26,6.5,13,12,0
58,59.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2016-05-15,69.0,23.1,0,3.4,40,10.91,-,-,0
59,60.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-18,69.0,23.58,0,3.0,33,11.0,-,-,0
60,61.0,Dr YS Rajasekhara Reddy Cricket Stadium,Rising Pune Supergiant,2016-05-21,70.0,23.8,1,4.0,39,9.75,39,24,0
61,62.0,Holkar Cricket Stadium,Rising Pune Supergiant,2017-04-08,70.0,24.29,0,4.0,34,8.5,-,-,0
62,63.0,Holkar Cricket Stadium,Royal Challengers Bangalore,2017-04-10,70.0,24.96,0,4.0,47,11.75,-,-,0
63,64.0,Barabati Stadium,Kolkata Knight Riders,2017-04-13,70.0,25.39,0,3.0,30,10.0,-,-,0
64,65.0,Arun Jaitley Stadium,Delhi Capitals,2017-04-15,71.0,25.55,1,4.0,37,9.25,37,24,0
65,66.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-04-17,73.0,25.19,2,4.0,25,6.25,12.5,12,0
66,67.0,Holkar Cricket Stadium,Mumbai Indians,2017-04-20,74.0,25.24,1,2.3,29,11.6,29,15,0
67,68.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-23,75.0,25.24,1,4.0,25,6.25,25,24,0
68,69.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2017-04-28,76.0,25.36,1,3.0,34,11.33,34,18,0
69,70.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2017-04-30,77.0,25.06,1,1.1,3,2.57,3,7,0
70,71.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-05-05,79.0,24.73,2,4.0,24,6.0,12,12,0
71,72.0,Punjab Cricket Association IS Bindra Stadium,Gujarat Lions,2017-05-07,79.0,25.18,0,4.0,35,8.75,-,-,0
72,73.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2017-05-09,81.0,24.85,2,3.0,24,8.0,12,9,0
73,74.0,Wankhede Stadium,Mumbai Indians,2017-05-11,83.0,24.94,2,4.0,57,14.25,28.5,12,0
74,75.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-05-14,83.0,25.01,0,1.0,6,6.0,-,-,0
75,76.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2018-04-08,85.0,24.81,2,4.0,33,8.25,16.5,12,0
76,77.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-13,85.0,25.34,0,3.3,45,12.86,-,-,0
77,78.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2018-04-15,86.0,25.59,1,4.0,47,11.75,47,24,0
78,79.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2018-04-19,88.0,25.59,2,4.0,51,12.75,25.5,12,0
79,80.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-08,88.0,25.92,0,3.0,29,9.67,-,-,0
80,81.0,Holkar Cricket Stadium,Kolkata Knight Riders,2018-05-12,89.0,26.08,1,4.0,40,10.0,40,24,0
81,82.0,Holkar Cricket Stadium,Royal Challengers Bangalore,2018-05-14,89.0,26.25,0,1.0,15,15.0,-,-,0
82,83.0,Wankhede Stadium,Mumbai Indians,2018-05-16,89.0,26.63,0,3.0,34,11.33,-,-,0
83,84.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-20,90.0,26.64,1,3.1,28,8.84,28,19,0
84,85.0,Wankhede Stadium,Mumbai Indians,2019-04-03,91.0,26.65,1,3.0,27,9.0,27,18,0
