,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Delhi Capitals,2015-05-01,1.0,38.0,1,3.0,38,12.67,38,18,0
1,2.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-14,2.0,26.0,1,3.0,14,4.67,14,18,0
2,3.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-16,5.0,17.4,3,4.0,35,8.75,11.7,8,0
3,4.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2017-04-22,5.0,27.4,0,4.0,50,12.5,-,-,0
4,5.0,Wankhede Stadium,Mumbai Indians,2017-04-24,5.0,33.2,0,3.0,29,9.67,-,-,0
5,6.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2017-04-26,5.0,39.4,0,3.1,31,9.79,-,-,0
6,7.0,Maharashtra Cricket Association Stadium,Gujarat Lions,2017-05-01,6.0,37.0,1,3.0,25,8.33,25,18,0
7,8.0,Eden Gardens,Kolkata Knight Riders,2017-05-03,6.0,40.5,0,3.0,21,7.0,-,-,0
8,9.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-06,6.0,42.5,0,2.0,12,6.0,-,-,0
9,10.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-12,6.0,48.33,0,3.0,35,11.67,-,-,0
10,11.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2017-05-14,9.0,34.33,3,4.0,19,4.75,6.3,8,0
11,12.0,Wankhede Stadium,Mumbai Indians,2017-05-16,12.0,28.83,3,4.0,37,9.25,12.3,8,0
12,13.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-21,12.0,29.42,0,2.0,7,3.5,-,-,0
13,14.0,MA Chidambaram Stadium,Kolkata Knight Riders,2018-04-10,13.0,30.0,1,4.0,37,9.25,37,24,0
14,15.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-15,15.0,28.2,2,3.0,33,11.0,16.5,9,0
15,16.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2018-04-20,17.0,25.94,2,3.0,18,6.0,9,9,0
16,17.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-22,18.0,27.0,1,4.0,45,11.25,45,24,0
17,18.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-25,20.0,26.6,2,4.0,46,11.5,23,12,0
18,19.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2018-04-28,20.0,28.5,0,4.0,38,9.5,-,-,0
19,20.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2018-05-05,20.0,29.45,0,2.0,19,9.5,-,-,0
20,21.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-11,21.0,29.1,1,4.0,22,5.5,22,24,0
21,22.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2018-05-13,23.0,27.96,2,4.0,32,8.0,16,12,0
22,23.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-18,24.0,27.92,1,4.0,27,6.75,27,24,0
23,24.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2018-05-20,26.0,27.04,2,3.4,33,9.0,16.5,11,0
24,25.0,Wankhede Stadium,Sunrisers Hyderabad,2018-05-22,27.0,27.89,1,4.0,50,12.5,50,24,0
25,26.0,Wankhede Stadium,Sunrisers Hyderabad,2018-05-27,28.0,28.0,1,3.0,31,10.33,31,18,0
26,28.0,Arun Jaitley Stadium,Delhi Capitals,2019-03-26,28.0,28.68,0,2.0,19,9.5,-,-,0
27,29.0,MA Chidambaram Stadium,Rajasthan Royals,2019-03-31,30.0,28.17,2,4.0,42,10.5,21,12,0
28,30.0,Wankhede Stadium,Mumbai Indians,2019-04-03,30.0,29.4,0,4.0,37,9.25,-,-,0
29,31.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-11,32.0,28.94,2,4.0,44,11.0,22,12,0
30,32.0,Eden Gardens,Kolkata Knight Riders,2019-04-14,34.0,27.76,2,4.0,18,4.5,9,12,0
31,33.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-17,34.0,28.68,0,3.0,31,10.33,-,-,0
32,34.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-21,34.0,29.85,0,4.0,40,10.0,-,-,0
33,35.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2019-05-10,34.0,30.24,0,1.0,13,13.0,-,-,0
34,36.0,Rajiv Gandhi International Stadium,Mumbai Indians,2019-05-12,36.0,29.58,2,4.0,37,9.25,18.5,12,0
