,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Rajasthan Royals,2008-05-11,2.0,13.5,2,2.5,27,9.53,13.5,8.5,0
1,2.0,Eden Gardens,Kolkata Knight Riders,2008-05-13,2.0,20.0,0,3.0,13,4.33,-,-,0
2,3.0,Arun Jaitley Stadium,Deccan Chargers,2008-05-15,7.0,8.14,5,4.0,17,4.25,3.4,4.8,1
3,4.0,Arun Jaitley Stadium,Kings XI Punjab,2008-05-17,8.0,9.75,1,2.0,21,10.5,21,12,0
4,5.0,Arun Jaitley Stadium,Mumbai Indians,2008-05-24,9.0,11.22,1,4.0,23,5.75,23,24,0
5,6.0,Wankhede Stadium,Rajasthan Royals,2008-05-30,11.0,12.55,2,4.0,37,9.25,18.5,12,0
6,7.0,St George's Park,Royal Challengers Bangalore,2009-04-26,12.0,13.08,1,4.0,19,4.75,19,24,0
7,8.0,SuperSport Park,Rajasthan Royals,2009-04-28,15.0,12.73,3,4.1,34,8.16,11.3,8.3,0
8,9.0,SuperSport Park,Deccan Chargers,2009-04-30,16.0,13.94,1,4.0,32,8.0,32,24,0
9,10.0,Wanderers Stadium,Chennai Super Kings,2009-05-02,16.0,15.44,0,3.0,24,8.0,-,-,0
10,11.0,Kingsmead,Kolkata Knight Riders,2009-05-05,16.0,16.56,0,4.0,18,4.5,-,-,0
11,12.0,Buffalo Park,Mumbai Indians,2009-05-08,16.0,17.81,0,4.0,20,5.0,-,-,0
12,13.0,Wanderers Stadium,Kolkata Knight Riders,2009-05-10,19.0,15.95,3,4.0,14,3.5,4.7,8,0
13,14.0,Kingsmead,Deccan Chargers,2009-05-13,19.0,18.0,0,3.0,39,13.0,-,-,0
14,15.0,Mangaung Oval,Rajasthan Royals,2009-05-17,22.0,17.05,3,4.0,33,8.25,11,8,0
15,16.0,SuperSport Park,Mumbai Indians,2009-05-21,22.0,18.95,0,4.0,42,10.5,-,-,0
16,17.0,SuperSport Park,Deccan Chargers,2009-05-22,25.0,17.44,3,4.0,19,4.75,6.3,8,0
17,18.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2010-03-13,26.0,17.65,1,4.0,23,5.75,23,24,0
18,19.0,Barabati Stadium,Rajasthan Royals,2010-03-15,27.0,18.26,1,4.0,34,8.5,34,24,0
19,20.0,Arun Jaitley Stadium,Mumbai Indians,2010-03-17,28.0,19.18,1,4.0,44,11.0,44,24,0
20,21.0,Arun Jaitley Stadium,Chennai Super Kings,2010-03-19,29.0,19.38,1,3.0,25,8.33,25,18,0
21,22.0,Barabati Stadium,Deccan Chargers,2010-03-21,30.0,19.13,1,3.0,12,4.0,12,18,0
