,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,M Chinnaswamy Stadium,Delhi Capitals,2012-04-07,0.0,,0,2.0,10,5.0,-,-,0
1,2.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2012-04-10,1.0,56.0,1,4.0,46,11.5,46,24,0
2,3.0,M Chinnaswamy Stadium,Pune Warriors,2012-04-17,2.0,42.5,1,4.0,29,7.25,29,24,0
3,4.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2012-04-20,3.0,43.0,1,4.0,44,11.0,44,24,0
4,5.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-04-23,5.0,32.2,2,4.0,32,8.0,16,12,0
5,7.0,Eden Gardens,Kolkata Knight Riders,2012-04-28,5.0,39.2,0,3.0,35,11.67,-,-,0
6,8.0,Wankhede Stadium,Mumbai Indians,2012-05-09,7.0,31.43,2,4.0,24,6.0,12,12,0
7,9.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-05-11,8.0,32.0,1,4.0,36,9.0,36,24,0
8,10.0,M Chinnaswamy Stadium,Mumbai Indians,2012-05-14,9.0,31.22,1,4.0,25,6.25,25,24,0
9,11.0,Arun Jaitley Stadium,Delhi Capitals,2012-05-17,9.0,34.89,0,4.0,33,8.25,-,-,0
10,12.0,Rajiv Gandhi International Stadium,Deccan Chargers,2012-05-20,9.0,37.78,0,4.0,26,6.5,-,-,0
11,13.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2014-05-04,10.0,36.9,1,4.0,29,7.25,29,24,0
12,14.0,Wankhede Stadium,Mumbai Indians,2014-05-06,11.0,36.09,1,4.0,28,7.0,28,24,0
13,15.0,M Chinnaswamy Stadium,Kings XI Punjab,2014-05-09,13.0,34.85,2,3.0,56,18.67,28,9,0
14,16.0,Eden Gardens,Kolkata Knight Riders,2015-04-11,14.0,35.0,1,4.0,37,9.25,37,24,0
15,17.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2015-04-13,14.0,36.64,0,2.0,23,11.5,-,-,0
16,18.0,M Chinnaswamy Stadium,Chennai Super Kings,2015-04-22,15.0,36.07,1,4.0,28,7.0,28,24,0
17,19.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-24,17.0,33.18,2,4.0,23,5.75,11.5,12,0
18,20.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-26,18.0,32.11,1,3.0,14,4.67,14,18,0
19,22.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2015-05-02,18.0,33.33,0,2.0,22,11.0,-,-,0
20,23.0,MA Chidambaram Stadium,Chennai Super Kings,2015-05-04,20.0,30.95,2,4.0,19,4.75,9.5,12,0
21,24.0,M Chinnaswamy Stadium,Kings XI Punjab,2015-05-06,21.0,30.1,1,2.0,13,6.5,13,12,0
22,25.0,Wankhede Stadium,Mumbai Indians,2015-05-10,23.0,29.04,2,4.0,36,9.0,18,12,0
23,26.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2015-05-13,25.0,27.2,2,2.0,12,6.0,6,6,0
24,27.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-15,25.0,28.4,0,2.0,30,15.0,-,-,0
25,28.0,M Chinnaswamy Stadium,Delhi Capitals,2015-05-17,27.0,27.41,2,4.0,30,7.5,15,12,0
26,29.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2015-05-20,29.0,26.03,2,3.0,15,5.0,7.5,9,0
27,30.0,JSCA International Stadium Complex,Chennai Super Kings,2015-05-22,30.0,26.03,1,3.5,26,6.78,26,23,0
28,31.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2016-04-12,30.0,27.13,0,4.0,33,8.25,-,-,0
29,32.0,M Chinnaswamy Stadium,Delhi Capitals,2016-04-17,30.0,28.2,0,3.0,32,10.67,-,-,0
30,33.0,Barabati Stadium,Mumbai Indians,2016-04-20,30.0,28.87,0,2.0,20,10.0,-,-,0
31,34.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-04-22,31.0,29.42,1,4.0,46,11.5,46,24,0
32,35.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-30,31.0,29.94,0,1.0,16,16.0,-,-,0
33,36.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-14,34.0,28.56,3,4.0,43,10.75,14.3,8,0
34,37.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-21,35.0,28.69,1,3.0,33,11.0,33,18,0
35,38.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2018-05-10,36.0,28.78,1,4.0,32,8.0,32,24,0
36,39.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2018-05-12,37.0,29.38,1,4.0,51,12.75,51,24,0
37,40.0,Arun Jaitley Stadium,Chennai Super Kings,2018-05-18,38.0,29.21,1,4.0,23,5.75,23,24,0
38,41.0,Arun Jaitley Stadium,Mumbai Indians,2018-05-20,41.0,27.76,3,2.3,28,11.2,9.3,5,0
39,42.0,Arun Jaitley Stadium,Kolkata Knight Riders,2019-03-30,43.0,27.4,2,4.0,40,10.0,20,12,0
40,43.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-01,43.0,28.26,0,4.0,37,9.25,-,-,0
