,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2008-04-18,1.0,7.0,2,4.0,9,2.25,4.5,12,0
1,2.0,Eden Gardens,Deccan Chargers,2008-04-20,2.0,8.0,1,3.0,9,3.0,9,18,0
2,3.0,MA Chidambaram Stadium,Chennai Super Kings,2008-04-26,2.0,21.0,0,3.0,26,8.67,-,-,0
3,4.0,Eden Gardens,Mumbai Indians,2008-04-29,3.0,25.0,1,3.4,33,9.0,33,22,0
4,5.0,Sawai Mansingh Stadium,Rajasthan Royals,2008-05-01,4.0,25.25,1,4.0,26,6.5,26,24,0
5,6.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2008-05-03,4.0,35.5,0,4.0,41,10.25,-,-,0
6,7.0,Eden Gardens,Royal Challengers Bangalore,2008-05-08,5.0,33.4,1,4.0,25,6.25,25,24,0
7,8.0,Rajiv Gandhi International Stadium,Deccan Chargers,2008-05-11,5.0,38.8,0,3.0,27,9.0,-,-,0
8,9.0,Eden Gardens,Delhi Capitals,2008-05-13,5.0,42.4,0,3.0,18,6.0,-,-,0
9,10.0,Wankhede Stadium,Mumbai Indians,2008-05-16,6.0,40.17,1,2.3,29,11.6,29,15,0
10,11.0,Eden Gardens,Chennai Super Kings,2008-05-18,6.0,42.83,0,2.0,16,8.0,-,-,0
11,12.0,Eden Gardens,Rajasthan Royals,2008-05-20,7.0,40.0,1,3.0,23,7.67,23,18,0
12,13.0,Eden Gardens,Kings XI Punjab,2008-05-25,7.0,47.0,0,4.0,49,12.25,-,-,0
13,14.0,Newlands,Deccan Chargers,2009-04-19,7.0,48.86,0,3.0,13,4.33,-,-,0
14,15.0,Kingsmead,Kings XI Punjab,2009-04-21,8.0,45.75,1,4.0,24,6.0,24,24,0
15,16.0,Newlands,Rajasthan Royals,2009-04-23,10.0,40.2,2,4.0,36,9.0,18,12,0
16,17.0,St George's Park,Mumbai Indians,2009-04-27,11.0,39.18,1,4.0,29,7.25,29,24,0
17,18.0,Kingsmead,Royal Challengers Bangalore,2009-04-29,13.0,34.31,2,4.0,15,3.75,7.5,12,0
18,19.0,Buffalo Park,Mumbai Indians,2009-05-01,14.0,33.57,1,4.0,24,6.0,24,24,0
19,20.0,St George's Park,Kings XI Punjab,2009-05-03,16.0,31.06,2,4.0,27,6.75,13.5,12,0
20,21.0,Kingsmead,Delhi Capitals,2009-05-05,16.0,33.75,0,4.0,43,10.75,-,-,0
21,22.0,Wanderers Stadium,Delhi Capitals,2009-05-10,18.0,31.28,2,4.0,23,5.75,11.5,12,0
