,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Kings XI Punjab,2015-04-12,1.0,41.0,1,4,41,10.25,41,24,0
1,2.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-14,1.0,72.0,0,4,31,7.75,-,-,0
2,3.0,Wankhede Stadium,Chennai Super Kings,2015-04-17,1.0,105.0,0,2,33,16.5,-,-,0
3,4.0,Wankhede Stadium,Sunrisers Hyderabad,2015-04-25,2.0,65.0,1,4,25,6.25,25,24,0
4,5.0,Wankhede Stadium,Rajasthan Royals,2015-05-01,3.0,56.33,1,4,39,9.75,39,24,0
5,6.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2015-05-03,4.0,50.5,1,4,33,8.25,33,24,0
6,7.0,Wankhede Stadium,Delhi Capitals,2015-05-05,5.0,45.2,1,3,24,8.0,24,18,0
7,8.0,MA Chidambaram Stadium,Chennai Super Kings,2015-05-08,6.0,41.17,1,4,21,5.25,21,24,0
8,9.0,Wankhede Stadium,Royal Challengers Bangalore,2015-05-10,6.0,47.0,0,3,35,11.67,-,-,0
9,10.0,Wankhede Stadium,Kolkata Knight Riders,2015-05-14,7.0,43.57,1,2,23,11.5,23,12,0
10,11.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-17,9.0,35.44,2,3,14,4.67,7,9,0
11,12.0,Wankhede Stadium,Chennai Super Kings,2015-05-19,10.0,33.7,1,2,18,9.0,18,12,0
12,14.0,Eden Gardens,Kolkata Knight Riders,2016-04-13,10.0,36.8,0,2,31,15.5,-,-,0
13,15.0,MA Chidambaram Stadium,Chennai Super Kings,2019-05-01,12.0,33.0,2,4,28,7.0,14,12,0
