,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Mumbai Indians,2017-04-22,1.0,30.0,1,4.0,30,7.5,30,24,0
1,2.0,Eden Gardens,Kolkata Knight Riders,2017-04-28,3.0,16.67,2,3.2,20,6.0,10,10,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-04-30,3.0,22.67,0,2.0,18,9.0,-,-,0
3,4.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2017-05-02,3.0,42.33,0,4.0,59,14.75,-,-,0
4,5.0,Arun Jaitley Stadium,Gujarat Lions,2017-05-04,5.0,31.0,2,4.0,28,7.0,14,12,0
5,6.0,Barabati Stadium,Mumbai Indians,2017-05-06,6.0,31.33,1,4.0,33,8.25,33,24,0
6,7.0,Wankhede Stadium,Mumbai Indians,2019-03-24,8.0,26.38,2,4.0,23,5.75,11.5,12,0
7,8.0,Arun Jaitley Stadium,Chennai Super Kings,2019-03-26,9.0,26.33,1,3.4,26,7.09,26,22,0
8,9.0,Arun Jaitley Stadium,Kolkata Knight Riders,2019-03-30,10.0,27.8,1,4.0,41,10.25,41,24,0
9,10.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-01,12.0,25.83,2,4.0,32,8.0,16,12,0
10,11.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2019-04-04,13.0,26.31,1,3.3,32,9.14,32,21,0
11,12.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-07,17.0,21.35,4,4.0,21,5.25,5.2,6,0
12,13.0,Eden Gardens,Kolkata Knight Riders,2019-04-12,19.0,21.32,2,4.0,42,10.5,21,12,0
13,14.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-14,23.0,18.57,4,3.5,22,5.74,5.5,5.8,0
14,15.0,Arun Jaitley Stadium,Mumbai Indians,2019-04-18,25.0,18.6,2,4.0,38,9.5,19,12,0
15,16.0,Arun Jaitley Stadium,Kings XI Punjab,2019-04-20,27.0,18.07,2,4.0,23,5.75,11.5,12,0
16,17.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-22,29.0,18.1,2,4.0,37,9.25,18.5,12,0
17,18.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2019-04-28,31.0,17.94,2,4.0,31,7.75,15.5,12,0
