,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sardar Patel Stadium,Kolkata Knight Riders,2014-05-05,0.0,,0,2.0,18,9.0,-,-,0
1,2.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-11,1.0,35.0,1,3.0,17,5.67,17,18,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2014-05-23,2.0,29.5,1,4.0,24,6.0,24,24,0
3,4.0,Sardar Patel Stadium,Kings XI Punjab,2015-04-21,3.0,30.0,1,3.0,31,10.33,31,18,0
4,5.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2017-05-09,5.0,21.6,2,4.0,18,4.5,9,12,0
5,6.0,Wankhede Stadium,Mumbai Indians,2017-05-11,6.0,20.83,1,2.0,17,8.5,17,12,0
6,7.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-05-14,6.0,23.17,0,3.0,14,4.67,-,-,0
7,8.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-08,7.0,23.29,1,4.0,24,6.0,24,24,0
8,9.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-11,7.0,27.43,0,4.0,29,7.25,-,-,0
9,10.0,Wankhede Stadium,Mumbai Indians,2018-04-14,9.0,25.33,2,4.0,36,9.0,18,12,0
10,11.0,Eden Gardens,Kolkata Knight Riders,2018-04-16,12.0,20.5,3,3.0,18,6.0,6,6,0
11,12.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-21,12.0,22.67,0,3.0,26,8.67,-,-,0
12,13.0,Arun Jaitley Stadium,Kings XI Punjab,2018-04-23,12.0,23.17,0,1.0,6,6.0,-,-,0
13,14.0,Arun Jaitley Stadium,Kolkata Knight Riders,2018-04-27,12.0,24.08,0,1.0,11,11.0,-,-,0
14,15.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-30,12.0,26.0,0,2.0,23,11.5,-,-,0
15,16.0,Wankhede Stadium,Mumbai Indians,2019-03-24,13.0,24.92,1,1.2,12,9.0,12,8,0
16,17.0,Arun Jaitley Stadium,Chennai Super Kings,2019-03-26,13.0,26.46,0,2.0,20,10.0,-,-,0
17,18.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2019-04-04,14.0,25.29,1,3.0,10,3.33,10,18,0
