,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-11,1.0,34.0,1,4.0,34,8.5,34,24,0
1,2.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-13,4.0,17.5,3,4.0,36,9.0,12,8,0
2,3.0,Dr YS Rajasekhara Reddy Cricket Stadium,Rajasthan Royals,2015-04-16,5.0,20.2,1,4.0,31,7.75,31,24,0
3,4.0,Wankhede Stadium,Mumbai Indians,2015-04-25,5.0,25.6,0,4.0,27,6.75,-,-,0
4,5.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2015-04-27,8.0,18.38,3,4.0,19,4.75,6.3,8,0
5,6.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2015-05-02,8.0,23.88,0,4.0,44,11.0,-,-,0
6,7.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2015-05-11,9.0,26.22,1,4.0,45,11.25,45,24,0
7,8.0,Arun Jaitley Stadium,Gujarat Lions,2016-05-27,10.0,27.5,1,4.0,39,9.75,39,24,0
8,9.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-07,11.0,28.64,1,4.0,40,10.0,40,24,0
9,10.0,Wankhede Stadium,Mumbai Indians,2017-04-09,11.0,32.91,0,3.5,47,12.26,-,-,0
10,11.0,Barabati Stadium,Kings XI Punjab,2017-04-13,11.0,36.18,0,4.0,36,9.0,-,-,0
11,12.0,Eden Gardens,Sunrisers Hyderabad,2017-04-15,12.0,35.92,1,4.0,33,8.25,33,24,0
12,13.0,Eden Gardens,Mumbai Indians,2017-05-13,14.0,32.93,2,4.0,30,7.5,15,12,0
13,14.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2017-05-17,15.0,32.73,1,4.0,30,7.5,30,24,0
14,15.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-08,16.0,32.81,1,3.5,34,8.87,34,23,0
15,16.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-11,17.0,32.41,1,3.0,26,8.67,26,18,0
16,17.0,Wankhede Stadium,Mumbai Indians,2018-04-14,19.0,31.05,2,4.0,39,9.75,19.5,12,0
17,18.0,Eden Gardens,Kolkata Knight Riders,2018-04-16,21.0,29.48,2,4.0,29,7.25,14.5,12,0
18,19.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-21,22.0,29.64,1,4.0,33,8.25,33,24,0
19,20.0,Arun Jaitley Stadium,Kings XI Punjab,2018-04-23,24.0,28.04,2,3.0,21,7.0,10.5,9,0
20,21.0,Arun Jaitley Stadium,Kolkata Knight Riders,2018-04-27,26.0,27.58,2,4.0,44,11.0,22,12,0
21,22.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-30,26.0,29.42,0,4.0,48,12.0,-,-,0
22,23.0,Arun Jaitley Stadium,Rajasthan Royals,2018-05-02,28.0,28.25,2,3.0,26,8.67,13,9,0
23,24.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-05,28.0,29.32,0,4.0,30,7.5,-,-,0
24,25.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2018-05-10,28.0,30.86,0,3.5,43,11.22,-,-,0
25,26.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2018-05-12,30.0,30.13,2,4.0,40,10.0,20,12,0
26,27.0,Arun Jaitley Stadium,Chennai Super Kings,2018-05-18,32.0,28.88,2,4.0,20,5.0,10,12,0
27,28.0,Arun Jaitley Stadium,Mumbai Indians,2018-05-20,33.0,29.0,1,4.0,33,8.25,33,24,0
28,29.0,Wankhede Stadium,Mumbai Indians,2019-03-24,34.0,29.38,1,4.0,42,10.5,42,24,0
29,30.0,MA Chidambaram Stadium,Chennai Super Kings,2019-05-01,34.0,30.47,0,4.0,37,9.25,-,-,0
30,31.0,Arun Jaitley Stadium,Rajasthan Royals,2019-05-04,36.0,29.53,2,4.0,27,6.75,13.5,12,0
31,32.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2019-05-08,37.0,29.73,1,3.0,37,12.33,37,18,0
32,33.0,Dr YS Rajasekhara Reddy Cricket Stadium,Chennai Super Kings,2019-05-10,38.0,29.47,1,4.0,20,5.0,20,24,0
