,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Eden Gardens,Royal Challengers Bangalore,2015-04-11,1.0,28.0,1,2,28,14.0,28,12,0
1,2.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-05-01,1.0,43.0,0,3,15,5.0,-,-,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2016-05-07,2.0,40.0,1,4,37,9.25,37,24,0
3,4.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2016-05-09,4.0,24.0,2,3,16,5.33,8,9,0
4,5.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-13,4.0,33.0,0,4,36,9.0,-,-,0
5,6.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-18,4.0,46.75,0,3,55,18.33,-,-,0
6,7.0,Arun Jaitley Stadium,Delhi Capitals,2017-04-15,5.0,42.0,1,3,23,7.67,23,18,0
7,8.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-04-17,6.0,41.33,1,4,38,9.5,38,24,0
8,9.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-23,8.0,34.0,2,4,24,6.0,12,12,0
9,10.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2017-04-28,8.0,39.25,0,4,42,10.5,-,-,0
10,11.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-21,8.0,43.5,0,2,34,17.0,-,-,0
