,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Eden Gardens,Mumbai Indians,2016-04-13,1.0,37.0,1,4.0,37,9.25,37,24,0
1,2.0,Eden Gardens,Sunrisers Hyderabad,2016-05-22,3.0,21.67,2,4.0,28,7.0,14,12,0
2,3.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2016-05-25,6.0,16.67,3,4.0,35,8.75,11.7,8,0
3,4.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-07,8.0,15.63,2,4.0,25,6.25,12.5,12,0
4,5.0,Wankhede Stadium,Mumbai Indians,2017-04-09,9.0,17.78,1,4.0,35,8.75,35,24,0
5,6.0,Eden Gardens,Sunrisers Hyderabad,2017-04-15,10.0,18.3,1,4.0,23,5.75,23,24,0
6,7.0,Arun Jaitley Stadium,Delhi Capitals,2017-04-17,10.0,21.2,0,3.0,29,9.67,-,-,0
7,8.0,Eden Gardens,Gujarat Lions,2017-04-21,12.0,20.42,2,4.0,33,8.25,16.5,12,0
8,10.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-26,14.0,19.71,2,4.0,31,7.75,15.5,12,0
9,11.0,Eden Gardens,Delhi Capitals,2017-04-28,14.0,21.64,0,4.0,27,6.75,-,-,0
10,12.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-04-30,14.0,24.71,0,4.0,43,10.75,-,-,0
11,13.0,Eden Gardens,Rising Pune Supergiant,2017-05-03,15.0,25.4,1,4.0,35,8.75,35,24,0
12,14.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-05-09,17.0,24.41,2,3.0,34,11.33,17,9,0
13,15.0,Eden Gardens,Mumbai Indians,2017-05-13,18.0,24.44,1,3.0,25,8.33,25,18,0
14,16.0,Eden Gardens,Royal Challengers Bangalore,2018-04-08,18.0,26.28,0,3.0,33,11.0,-,-,0
15,17.0,MA Chidambaram Stadium,Chennai Super Kings,2018-04-10,19.0,26.32,1,3.0,27,9.0,27,18,0
16,18.0,Eden Gardens,Sunrisers Hyderabad,2018-04-14,20.0,26.15,1,4.0,23,5.75,23,24,0
17,19.0,Eden Gardens,Delhi Capitals,2018-04-16,23.0,24.13,3,3.2,32,9.6,10.7,6.7,0
18,20.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-18,24.0,24.08,1,4.0,23,5.75,23,24,0
19,21.0,Eden Gardens,Kings XI Punjab,2018-04-21,24.0,24.63,0,1.0,13,13.0,-,-,0
20,22.0,Arun Jaitley Stadium,Delhi Capitals,2018-04-27,24.0,25.54,0,2.0,22,11.0,-,-,0
21,23.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-29,25.0,25.32,1,4.0,20,5.0,20,24,0
22,24.0,Eden Gardens,Chennai Super Kings,2018-05-03,26.0,25.65,1,4.0,34,8.5,34,24,0
23,25.0,Wankhede Stadium,Mumbai Indians,2018-05-06,26.0,26.31,0,2.0,17,8.5,-,-,0
24,26.0,Eden Gardens,Mumbai Indians,2018-05-09,26.0,27.96,0,3.0,43,14.33,-,-,0
25,27.0,Holkar Cricket Stadium,Kings XI Punjab,2018-05-12,27.0,28.0,1,2.0,29,14.5,29,12,0
26,28.0,Eden Gardens,Rajasthan Royals,2018-05-15,31.0,25.03,4,4.0,20,5.0,5,6,0
27,29.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-19,32.0,25.34,1,4.0,35,8.75,35,24,0
28,30.0,Eden Gardens,Rajasthan Royals,2018-05-23,33.0,25.12,1,4.0,18,4.5,18,24,0
29,31.0,Eden Gardens,Sunrisers Hyderabad,2018-05-25,35.0,24.51,2,4.0,29,7.25,14.5,12,0
30,32.0,Eden Gardens,Sunrisers Hyderabad,2019-03-24,35.0,25.03,0,2.0,18,9.0,-,-,0
31,33.0,Eden Gardens,Kings XI Punjab,2019-03-27,35.0,25.94,0,4.0,32,8.0,-,-,0
32,34.0,Arun Jaitley Stadium,Delhi Capitals,2019-03-30,37.0,25.65,2,4.0,41,10.25,20.5,12,0
33,35.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-05,38.0,25.79,1,4.0,31,7.75,31,24,0
34,36.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-07,38.0,26.66,0,4.0,33,8.25,-,-,0
35,37.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-09,38.0,27.08,0,4.0,16,4.0,-,-,0
36,38.0,Eden Gardens,Delhi Capitals,2019-04-12,38.0,27.82,0,4.0,28,7.0,-,-,0
37,39.0,Eden Gardens,Chennai Super Kings,2019-04-14,38.0,28.55,0,3.0,28,9.33,-,-,0
38,40.0,Eden Gardens,Royal Challengers Bangalore,2019-04-19,39.0,29.33,1,4.0,59,14.75,59,24,0
