,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Mumbai Indians,2018-05-06,0.0,,0,4.0,39,9.75,-,-,0
1,2.0,Eden Gardens,Mumbai Indians,2018-05-09,1.0,80.0,1,4.0,41,10.25,41,24,0
2,3.0,Holkar Cricket Stadium,Kings XI Punjab,2018-05-12,3.0,37.0,2,4.0,31,7.75,15.5,12,0
3,4.0,Eden Gardens,Rajasthan Royals,2018-05-15,5.0,29.2,2,4.0,35,8.75,17.5,12,0
4,5.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-19,9.0,19.56,4,4.0,30,7.5,7.5,6,0
5,6.0,Eden Gardens,Rajasthan Royals,2018-05-23,10.0,20.4,1,4.0,28,7.0,28,24,0
6,7.0,Eden Gardens,Sunrisers Hyderabad,2018-05-25,10.0,26.0,0,4.0,56,14.0,-,-,0
7,8.0,Eden Gardens,Sunrisers Hyderabad,2019-03-24,10.0,29.1,0,4.0,31,7.75,-,-,0
8,9.0,Eden Gardens,Kings XI Punjab,2019-03-27,10.0,33.3,0,4.0,42,10.5,-,-,0
9,10.0,Arun Jaitley Stadium,Delhi Capitals,2019-03-30,10.0,36.6,0,4.0,33,8.25,-,-,0
10,11.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-05,10.0,40.7,0,3.0,41,13.67,-,-,0
11,12.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-07,11.0,40.18,1,4.0,35,8.75,35,24,0
12,13.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-09,11.0,42.27,0,4.0,23,5.75,-,-,0
13,14.0,Eden Gardens,Delhi Capitals,2019-04-12,12.0,40.83,1,3.0,25,8.33,25,18,0
14,15.0,Eden Gardens,Chennai Super Kings,2019-04-14,12.0,43.33,0,4.0,30,7.5,-,-,0
15,16.0,Eden Gardens,Royal Challengers Bangalore,2019-04-19,12.0,47.67,0,4.0,52,13.0,-,-,0
16,17.0,Eden Gardens,Rajasthan Royals,2019-04-25,13.0,47.31,1,3.2,43,12.9,43,20,0
17,18.0,Wankhede Stadium,Mumbai Indians,2019-05-05,14.0,45.5,1,3.0,22,7.33,22,18,0
