,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-04-08,0.0,,0,4.0,29,7.25,-,-,0
1,2.0,Eden Gardens,Rajasthan Royals,2012-04-13,1.0,51.0,1,4.0,22,5.5,22,24,0
2,3.0,Eden Gardens,Kings XI Punjab,2012-04-15,6.0,11.67,5,4.0,19,4.75,3.8,4.8,1
3,4.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2012-04-18,8.0,11.75,2,4.0,24,6.0,12,12,0
4,5.0,Barabati Stadium,Deccan Chargers,2012-04-22,10.0,12.0,2,4.0,26,6.5,13,12,0
5,6.0,Eden Gardens,Royal Challengers Bangalore,2012-04-28,11.0,11.91,1,4.0,11,2.75,11,24,0
6,7.0,MA Chidambaram Stadium,Chennai Super Kings,2012-04-30,12.0,12.92,1,4.0,24,6.0,24,24,0
7,8.0,Eden Gardens,Pune Warriors,2012-05-05,13.0,12.92,1,4.0,13,3.25,13,24,0
8,9.0,Arun Jaitley Stadium,Delhi Capitals,2012-05-07,15.0,12.73,2,4.0,23,5.75,11.5,12,0
9,10.0,Eden Gardens,Mumbai Indians,2012-05-12,15.0,14.6,0,4.0,28,7.0,-,-,0
10,11.0,Eden Gardens,Chennai Super Kings,2012-05-14,17.0,13.71,2,4.0,14,3.5,7,12,0
11,12.0,Wankhede Stadium,Mumbai Indians,2012-05-16,21.0,11.81,4,3.1,15,4.74,3.8,4.8,0
12,13.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-05-19,22.0,11.95,1,4.0,15,3.75,15,24,0
13,14.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2012-05-22,24.0,11.96,2,4.0,24,6.0,12,12,0
14,15.0,MA Chidambaram Stadium,Chennai Super Kings,2012-05-27,24.0,13.5,0,4.0,37,9.25,-,-,0
15,16.0,Eden Gardens,Delhi Capitals,2013-04-03,28.0,12.04,4,4.0,13,3.25,3.2,6,0
16,17.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-04-08,30.0,12.17,2,4.0,28,7.0,14,12,0
