,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-14,5.0,3.4,5,4.0,17,4.25,3.4,4.8,1
1,2.0,Wankhede Stadium,Mumbai Indians,2017-04-16,7.0,7.29,2,4.0,34,8.5,17,12,0
2,3.0,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-18,7.0,12.14,0,4.0,34,8.5,-,-,0
3,4.0,Saurashtra Cricket Association Stadium,Kings XI Punjab,2017-04-23,9.0,13.33,2,4.0,35,8.75,17.5,12,0
4,5.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-27,12.0,11.0,3,4.0,12,3.0,4,8,0
5,6.0,Saurashtra Cricket Association Stadium,Mumbai Indians,2017-04-29,12.0,11.75,0,1.0,9,9.0,-,-,0
6,7.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2018-04-08,12.0,14.92,0,4.0,38,9.5,-,-,0
7,8.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-13,13.0,15.85,1,4.0,27,6.75,27,24,0
8,9.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2018-04-15,15.0,16.87,2,4.0,47,11.75,23.5,12,0
9,10.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2018-04-19,17.0,16.24,2,4.0,23,5.75,11.5,12,0
10,11.0,Eden Gardens,Kolkata Knight Riders,2018-04-21,19.0,16.11,2,4.0,30,7.5,15,12,0
11,12.0,Arun Jaitley Stadium,Delhi Capitals,2018-04-23,21.0,15.76,2,4.0,25,6.25,12.5,12,0
12,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-26,21.0,17.1,0,4.0,28,7.0,-,-,0
13,14.0,Holkar Cricket Stadium,Mumbai Indians,2018-05-04,22.0,17.91,1,4.0,35,8.75,35,24,0
14,15.0,Holkar Cricket Stadium,Rajasthan Royals,2018-05-06,24.0,17.42,2,4.0,24,6.0,12,12,0
15,16.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-08,28.0,16.14,4,4.0,34,8.5,8.5,6,0
16,17.0,Holkar Cricket Stadium,Kolkata Knight Riders,2018-05-12,32.0,15.41,4,4.0,41,10.25,10.2,6,0
17,18.0,Holkar Cricket Stadium,Royal Challengers Bangalore,2018-05-14,32.0,16.44,0,4.0,33,8.25,-,-,0
18,19.0,Wankhede Stadium,Mumbai Indians,2018-05-16,36.0,15.06,4,4.0,16,4.0,4,6,0
19,20.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-20,36.0,16.36,0,4.0,47,11.75,-,-,0
20,21.0,Eden Gardens,Kolkata Knight Riders,2019-03-27,37.0,16.92,1,4.0,37,9.25,37,24,0
21,22.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2019-03-30,38.0,17.53,1,4.0,40,10.0,40,24,0
22,23.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-06,38.0,18.53,0,4.0,38,9.5,-,-,0
23,24.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2019-04-13,38.0,19.58,0,4.0,40,10.0,-,-,0
24,25.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2019-05-03,39.0,20.13,1,3.0,41,13.67,41,18,0
25,26.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2019-05-05,39.0,21.08,0,3.0,37,12.33,-,-,0
