,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,MA Chidambaram Stadium,Mumbai Indians,2013-04-06,1.0,25.0,1,3.0,25,8.33,25,18,0
1,2.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2013-04-10,1.0,35.0,0,1.0,10,10.0,-,-,0
2,3.0,Eden Gardens,Rising Pune Supergiant,2016-05-14,2.0,24.5,1,2.0,14,7.0,14,12,0
3,4.0,Eden Gardens,Royal Challengers Bangalore,2016-05-16,2.0,38.5,0,3.0,28,9.33,-,-,0
4,5.0,Green Park,Gujarat Lions,2016-05-19,3.0,37.33,1,3.0,35,11.67,35,18,0
5,6.0,Eden Gardens,Sunrisers Hyderabad,2016-05-22,4.0,33.25,1,3.0,21,7.0,21,18,0
6,7.0,Wankhede Stadium,Mumbai Indians,2017-04-09,7.0,24.29,3,4.0,37,9.25,12.3,8,0
7,8.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-05-07,7.0,27.86,0,4.0,25,6.25,-,-,0
8,9.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-05-09,7.0,30.29,0,2.0,17,8.5,-,-,0
9,10.0,Eden Gardens,Mumbai Indians,2017-05-13,8.0,28.25,1,3.0,14,4.67,14,18,0
10,12.0,Eden Gardens,Kolkata Knight Riders,2018-04-21,8.0,32.25,0,1.0,14,14.0,-,-,0
11,13.0,Arun Jaitley Stadium,Delhi Capitals,2018-04-23,10.0,28.1,2,4.0,23,5.75,11.5,12,0
12,14.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-26,15.0,19.67,5,4.0,14,3.5,2.8,4.8,1
13,15.0,Holkar Cricket Stadium,Mumbai Indians,2018-05-04,15.0,21.73,0,3.0,31,10.33,-,-,0
14,16.0,Holkar Cricket Stadium,Rajasthan Royals,2018-05-06,16.0,22.69,1,3.0,37,12.33,37,18,0
15,17.0,Holkar Cricket Stadium,Royal Challengers Bangalore,2018-05-14,16.0,24.0,0,1.1,21,18.0,-,-,0
16,18.0,Wankhede Stadium,Mumbai Indians,2018-05-16,17.0,25.29,1,4.0,46,11.5,46,24,0
17,19.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-20,19.0,23.63,2,4.0,19,4.75,9.5,12,0
18,20.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-03-25,21.0,22.95,2,4.0,33,8.25,16.5,12,0
19,21.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2019-04-08,21.0,23.95,0,4.0,21,5.25,-,-,0
20,22.0,Wankhede Stadium,Mumbai Indians,2019-04-10,22.0,25.23,1,4.0,52,13.0,52,24,0
21,23.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-24,22.0,27.32,0,4.0,46,11.5,-,-,0
