,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-04-08,0.0,,0,3.0,26,8.67,-,-,0
1,2.0,MA Chidambaram Stadium,Chennai Super Kings,2013-04-28,0.0,,0,2.0,20,10.0,-,-,0
2,3.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-19,1.0,78.0,1,4.0,32,8.0,32,24,0
3,4.0,Sharjah Cricket Stadium,Royal Challengers Bangalore,2014-04-17,2.0,54.0,1,4.0,30,7.5,30,24,0
4,5.0,Dubai International Cricket Stadium,Kolkata Knight Riders,2014-04-19,3.0,47.0,1,4.0,33,8.25,33,24,0
5,6.0,Sheikh Zayed Stadium,Chennai Super Kings,2014-04-21,4.0,46.5,1,4.0,45,11.25,45,24,0
6,7.0,Dubai International Cricket Stadium,Sunrisers Hyderabad,2014-04-25,4.0,55.5,0,4.0,36,9.0,-,-,0
7,8.0,Sharjah Cricket Stadium,Mumbai Indians,2014-04-27,4.0,64.5,0,4.0,36,9.0,-,-,0
8,9.0,Arun Jaitley Stadium,Rajasthan Royals,2014-05-03,5.0,56.0,1,4.0,22,5.5,22,24,0
9,10.0,Arun Jaitley Stadium,Chennai Super Kings,2014-05-05,5.0,64.4,0,4.0,42,10.5,-,-,0
10,11.0,Arun Jaitley Stadium,Kolkata Knight Riders,2014-05-07,5.0,69.0,0,4.0,23,5.75,-,-,0
11,12.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2014-05-10,5.0,70.2,0,1.0,6,6.0,-,-,0
12,13.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-13,6.0,63.67,1,4.0,31,7.75,31,24,0
13,14.0,Arun Jaitley Stadium,Kings XI Punjab,2014-05-19,7.0,60.14,1,4.0,39,9.75,39,24,0
14,15.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2014-05-25,8.0,55.88,1,3.0,26,8.67,26,18,0
15,16.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-04-17,10.0,48.1,2,4.0,34,8.5,17,12,0
16,17.0,Arun Jaitley Stadium,Mumbai Indians,2016-04-23,10.0,50.5,0,3.0,24,8.0,-,-,0
17,18.0,Arun Jaitley Stadium,Kolkata Knight Riders,2016-04-30,10.0,53.8,0,4.0,33,8.25,-,-,0
18,19.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-05-03,11.0,51.73,1,4.0,31,7.75,31,24,0
19,20.0,Arun Jaitley Stadium,Rising Pune Supergiant,2016-05-05,11.0,56.27,0,3.1,50,15.79,-,-,0
20,21.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-05-07,12.0,54.42,1,3.0,34,11.33,34,18,0
