,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2018-04-08,2.0,14.0,2,4.0,28,7.0,14,12,0
1,2.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-13,3.0,19.0,1,4.0,29,7.25,29,24,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2018-04-15,3.0,25.0,0,3.0,18,6.0,-,-,0
3,4.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2018-04-19,3.0,34.0,0,4.0,27,6.75,-,-,0
4,5.0,Eden Gardens,Kolkata Knight Riders,2018-04-21,4.0,33.5,1,4.0,32,8.0,32,24,0
5,6.0,Arun Jaitley Stadium,Delhi Capitals,2018-04-23,6.0,26.5,2,4.0,25,6.25,12.5,12,0
6,7.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-26,7.0,25.14,1,4.0,17,4.25,17,24,0
7,8.0,Holkar Cricket Stadium,Mumbai Indians,2018-05-04,9.0,23.67,2,4.0,37,9.25,18.5,12,0
8,9.0,Holkar Cricket Stadium,Rajasthan Royals,2018-05-06,12.0,20.0,3,4.0,27,6.75,9,8,0
9,10.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-08,14.0,18.64,2,4.0,21,5.25,10.5,12,0
10,11.0,Holkar Cricket Stadium,Kolkata Knight Riders,2018-05-12,14.0,20.64,0,2.2,28,12.0,-,-,0
11,12.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-03-25,16.0,20.0,2,4.0,31,7.75,15.5,12,0
12,13.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2019-04-01,16.0,22.25,0,4.0,36,9.0,-,-,0
13,14.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2019-04-08,17.0,22.94,1,4.0,34,8.5,34,24,0
14,15.0,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,2019-04-16,17.0,24.35,0,3.0,24,8.0,-,-,0
15,16.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-29,17.0,28.24,0,4.0,66,16.5,-,-,0
