,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Mumbai Indians,2016-04-09,1.0,16.0,1,4.0,16,4.0,16,24,0
1,2.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-04-14,3.0,15.67,2,4.0,31,7.75,15.5,12,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-04-17,6.0,13.83,3,4.0,36,9.0,12,8,0
3,4.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2016-04-22,6.0,18.67,0,2.0,29,14.5,-,-,0
4,5.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2016-04-24,7.0,20.57,1,4.0,32,8.0,32,24,0
5,6.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-26,7.0,21.43,0,1.0,6,6.0,-,-,0
6,7.0,Maharashtra Cricket Association Stadium,Gujarat Lions,2016-04-29,7.0,24.57,0,3.0,22,7.33,-,-,0
7,8.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2016-05-01,7.0,28.14,0,2.3,25,10.0,-,-,0
8,9.0,Arun Jaitley Stadium,Delhi Capitals,2016-05-05,7.0,32.57,0,3.0,31,10.33,-,-,0
9,10.0,Eden Gardens,Kolkata Knight Riders,2016-05-14,7.0,34.43,0,1.0,13,13.0,-,-,0
10,11.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2018-04-29,9.0,30.78,2,4.0,36,9.0,18,12,0
11,12.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-05,10.0,29.4,1,3.0,17,5.67,17,18,0
12,13.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2019-03-30,12.0,26.58,2,4.0,25,6.25,12.5,12,0
13,14.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2019-04-01,12.0,28.17,0,2.0,19,9.5,-,-,0
14,15.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-06,12.0,30.08,0,4.0,23,5.75,-,-,0
15,16.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2019-04-13,12.0,32.08,0,4.0,24,6.0,-,-,0
16,17.0,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,2019-04-16,13.0,31.46,1,4.0,24,6.0,24,24,0
17,18.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-20,13.0,33.0,0,3.0,20,6.67,-,-,0
18,19.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-24,14.0,32.86,1,4.0,31,7.75,31,24,0
19,20.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-29,15.0,32.8,1,4.0,32,8.0,32,24,0
20,21.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2019-05-03,15.0,34.4,0,2.0,24,12.0,-,-,0
21,22.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2019-05-05,15.0,36.6,0,3.0,33,11.0,-,-,0
