,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Brabourne Stadium,Kolkata Knight Riders,2015-05-16,0.0,,0,3.0,35,11.67,-,-,0
1,2.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2016-04-16,0.0,,0,4.0,31,7.75,-,-,0
2,3.0,Rajiv Gandhi International Stadium,Mumbai Indians,2016-04-18,3.0,31.33,3,4.0,28,7.0,9.3,8,0
3,4.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-04-21,4.0,32.5,1,4.0,36,9.0,36,24,0
4,5.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2016-04-23,4.0,40.75,0,4.0,33,8.25,-,-,0
5,6.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2016-04-30,5.0,39.8,1,4.0,36,9.0,36,24,0
6,7.0,Rajiv Gandhi International Stadium,Gujarat Lions,2016-05-06,6.0,36.67,1,3.0,21,7.0,21,18,0
7,8.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-08,8.0,29.75,2,3.3,18,5.14,9,10.5,0
8,9.0,Dr YS Rajasekhara Reddy Cricket Stadium,Rising Pune Supergiant,2016-05-10,9.0,29.33,1,4.0,26,6.5,26,24,0
9,10.0,Rajiv Gandhi International Stadium,Delhi Capitals,2016-05-12,9.0,31.67,0,2.0,21,10.5,-,-,0
10,11.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2016-05-20,11.0,29.0,2,4.0,34,8.5,17,12,0
11,12.0,Eden Gardens,Kolkata Knight Riders,2016-05-22,12.0,29.17,1,4.0,31,7.75,31,24,0
12,13.0,Arun Jaitley Stadium,Kolkata Knight Riders,2016-05-25,13.0,29.15,1,3.0,29,9.67,29,18,0
13,14.0,Arun Jaitley Stadium,Gujarat Lions,2016-05-27,13.0,31.31,0,3.0,28,9.33,-,-,0
14,15.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-29,14.0,32.0,1,3.0,41,13.67,41,18,0
15,16.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2017-04-17,14.0,34.07,0,2.0,29,14.5,-,-,0
16,17.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2018-04-15,14.0,36.71,0,4.0,37,9.25,-,-,0
17,18.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2018-04-19,14.0,38.29,0,4.0,22,5.5,-,-,0
18,19.0,Eden Gardens,Kolkata Knight Riders,2018-04-21,16.0,36.63,2,4.0,50,12.5,25,12,0
19,20.0,Arun Jaitley Stadium,Delhi Capitals,2018-04-23,17.0,37.12,1,4.0,45,11.25,45,24,0
20,21.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-26,17.0,38.71,0,3.0,27,9.0,-,-,0
21,22.0,Holkar Cricket Stadium,Kolkata Knight Riders,2018-05-12,18.0,39.22,1,3.0,48,16.0,48,18,0
22,23.0,Eden Gardens,Kolkata Knight Riders,2019-04-28,18.0,40.72,0,2.0,27,13.5,-,-,0
23,24.0,Wankhede Stadium,Sunrisers Hyderabad,2019-05-02,18.0,42.06,0,2.0,24,12.0,-,-,0
