,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-04-04,3.0,10.67,3,4.0,32,8.0,10.7,8,0
1,2.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-21,3.0,23.33,0,3.0,38,12.67,-,-,0
2,3.0,Dubai International Cricket Stadium,Royal Challengers Bangalore,2014-04-19,3.0,28.0,0,2.0,14,7.0,-,-,0
3,4.0,Wankhede Stadium,Kings XI Punjab,2014-05-03,3.0,36.33,0,4.0,25,6.25,-,-,0
4,5.0,Wankhede Stadium,Royal Challengers Bangalore,2014-05-06,5.0,26.2,2,4.0,22,5.5,11,12,0
5,6.0,Wankhede Stadium,Chennai Super Kings,2014-05-10,5.0,32.8,0,4.0,33,8.25,-,-,0
6,7.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-12,5.0,37.6,0,4.0,24,6.0,-,-,0
7,8.0,Barabati Stadium,Kolkata Knight Riders,2014-05-14,5.0,42.2,0,3.0,23,7.67,-,-,0
8,9.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-19,5.0,46.8,0,3.0,23,7.67,-,-,0
9,10.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2014-05-21,7.0,37.86,2,4.0,31,7.75,15.5,12,0
10,11.0,Wankhede Stadium,Delhi Capitals,2014-05-23,7.0,43.0,0,4.0,36,9.0,-,-,0
11,12.0,Wankhede Stadium,Rajasthan Royals,2014-05-25,8.0,41.38,1,4.0,30,7.5,30,24,0
12,13.0,Brabourne Stadium,Chennai Super Kings,2014-05-28,8.0,46.38,0,3.4,40,10.91,-,-,0
13,14.0,Eden Gardens,Kolkata Knight Riders,2015-04-08,9.0,45.44,1,3.0,38,12.67,38,18,0
14,15.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-19,10.0,44.8,1,4.0,39,9.75,39,24,0
15,16.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-23,11.0,45.73,1,4.0,55,13.75,55,24,0
16,17.0,Wankhede Stadium,Royal Challengers Bangalore,2015-05-10,11.0,50.45,0,4.0,52,13.0,-,-,0
17,18.0,Wankhede Stadium,Rising Pune Supergiant,2016-04-09,11.0,53.18,0,3.0,30,10.0,-,-,0
18,19.0,Eden Gardens,Kolkata Knight Riders,2016-04-13,11.0,56.09,0,4.0,32,8.0,-,-,0
19,20.0,Wankhede Stadium,Gujarat Lions,2016-04-16,13.0,49.92,2,4.0,32,8.0,16,12,0
20,21.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-18,13.0,51.38,0,3.0,19,6.33,-,-,0
21,22.0,Barabati Stadium,Royal Challengers Bangalore,2016-04-20,16.0,43.69,3,4.0,31,7.75,10.3,8,0
22,23.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-23,16.0,46.31,0,4.0,42,10.5,-,-,0
23,24.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-04-25,19.0,40.37,3,4.0,26,6.5,8.7,8,0
