,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1,Shaheed Veer Narayan Sing International Stadium,Sunrisers Hyderabad,2015-05-09,1,19.0,1,4,19,4.75,19,24,0
1,2,Shaheed Veer Narayan Sing International Stadium,Chennai Super Kings,2015-05-12,2,13.5,1,2,8,4.0,8,12,0
2,3,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-05-17,2,14.5,0,1,2,2.0,-,-,0
3,4,Arun Jaitley Stadium,Kings XI Punjab,2016-04-15,3,17.33,1,4,23,5.75,23,24,0
4,5,Arun Jaitley Stadium,Rising Pune Supergiant,2016-05-05,3,25.67,0,4,25,6.25,-,-,0
5,6,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-05-12,4,27.25,1,4,32,8.0,32,24,0
6,7,Shaheed Veer Narayan Sing International Stadium,Sunrisers Hyderabad,2016-05-20,4,36.5,0,4,37,9.25,-,-,0
7,8,Shaheed Veer Narayan Sing International Stadium,Royal Challengers Bangalore,2016-05-22,4,38.5,0,1,8,8.0,-,-,0
8,9,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-04-19,4,42.5,0,2,16,8.0,-,-,0
9,10,Arun Jaitley Stadium,Sunrisers Hyderabad,2017-05-02,4,49.0,0,4,26,6.5,-,-,0
10,11,Arun Jaitley Stadium,Delhi Capitals,2019-04-18,4,55.25,0,4,25,6.25,-,-,0
11,12,MA Chidambaram Stadium,Chennai Super Kings,2019-05-07,5,49.2,1,3,25,8.33,25,18,0
