,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Newlands,Chennai Super Kings,2009-04-18,3.0,5.0,3,4.0,15,3.75,5,8,0
1,2.0,Kingsmead,Deccan Chargers,2009-04-25,6.0,5.67,3,4.0,19,4.75,6.3,8,0
2,3.0,St George's Park,Kolkata Knight Riders,2009-04-27,9.0,5.0,3,2.2,11,4.71,3.7,4.7,0
3,4.0,Kingsmead,Kings XI Punjab,2009-04-29,11.0,5.18,2,4.0,12,3.0,6,12,0
4,5.0,Buffalo Park,Kolkata Knight Riders,2009-05-01,11.0,7.27,0,4.0,23,5.75,-,-,0
5,6.0,Wanderers Stadium,Royal Challengers Bangalore,2009-05-03,11.0,9.45,0,3.1,24,7.58,-,-,0
6,7.0,SuperSport Park,Deccan Chargers,2009-05-06,12.0,10.67,1,4.0,24,6.0,24,24,0
7,8.0,Buffalo Park,Delhi Capitals,2009-05-08,13.0,12.15,1,4.0,30,7.5,30,24,0
8,9.0,St George's Park,Royal Challengers Bangalore,2009-05-10,14.0,13.93,1,4.0,37,9.25,37,24,0
9,10.0,SuperSport Park,Kings XI Punjab,2009-05-12,15.0,15.13,1,4.0,32,8.0,32,24,0
10,11.0,Kingsmead,Rajasthan Royals,2009-05-14,16.0,15.94,1,4.0,28,7.0,28,24,0
11,12.0,St George's Park,Chennai Super Kings,2009-05-16,17.0,16.12,1,4.0,19,4.75,19,24,0
12,13.0,SuperSport Park,Delhi Capitals,2009-05-21,18.0,17.33,1,4.0,38,9.5,38,24,0
13,14.0,Brabourne Stadium,Rajasthan Royals,2010-03-13,20.0,16.7,2,4.0,22,5.5,11,12,0
14,15.0,Arun Jaitley Stadium,Delhi Capitals,2010-03-17,21.0,16.95,1,2.0,22,11.0,22,12,0
15,16.0,Barabati Stadium,Royal Challengers Bangalore,2010-03-20,21.0,18.14,0,4.0,25,6.25,-,-,0
16,17.0,Brabourne Stadium,Kolkata Knight Riders,2010-03-22,21.0,19.48,0,4.0,28,7.0,-,-,0
17,18.0,Brabourne Stadium,Chennai Super Kings,2010-03-25,21.0,21.43,0,4.0,41,10.25,-,-,0
18,19.0,Dr DY Patil Sports Academy,Deccan Chargers,2010-03-28,24.0,19.25,3,3.4,12,3.27,4,7.3,0
19,20.0,Brabourne Stadium,Kings XI Punjab,2010-03-30,28.0,17.29,4,4.0,22,5.5,5.5,6,0
20,21.0,Brabourne Stadium,Deccan Chargers,2010-04-03,29.0,17.38,1,3.2,20,6.0,20,20,0
21,22.0,MA Chidambaram Stadium,Chennai Super Kings,2010-04-06,29.0,18.62,0,4.0,36,9.0,-,-,0
22,23.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2010-04-09,31.0,18.58,2,4.0,36,9.0,18,12,0
23,24.0,Sawai Mansingh Stadium,Rajasthan Royals,2010-04-11,31.0,19.32,0,4.0,23,5.75,-,-,0
24,25.0,Dr DY Patil Sports Academy,Royal Challengers Bangalore,2010-04-21,33.0,18.88,2,4.0,24,6.0,12,12,0
25,26.0,Dr DY Patil Sports Academy,Chennai Super Kings,2010-04-25,33.0,19.88,0,4.0,33,8.25,-,-,0
26,27.0,Arun Jaitley Stadium,Delhi Capitals,2011-04-10,38.0,17.61,5,3.4,13,3.55,2.6,4.4,1
27,28.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2011-04-12,40.0,17.53,2,4.0,32,8.0,16,12,0
28,29.0,Barabati Stadium,Kochi Tuskers Kerala,2011-04-15,42.0,17.69,2,4.0,42,10.5,21,12,0
29,30.0,Wankhede Stadium,Pune Warriors,2011-04-20,44.0,17.52,2,4.0,28,7.0,14,12,0
30,31.0,Wankhede Stadium,Chennai Super Kings,2011-04-22,46.0,17.2,2,4.0,20,5.0,10,12,0
31,32.0,Rajiv Gandhi International Stadium,Deccan Chargers,2011-04-24,49.0,16.33,3,4.0,9,2.25,3,8,0
32,33.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-04-29,50.0,16.4,1,4.0,20,5.0,20,24,0
33,34.0,Wankhede Stadium,Kings XI Punjab,2011-05-02,52.0,16.13,2,4.0,19,4.75,9.5,12,0
34,35.0,Dr DY Patil Sports Academy,Pune Warriors,2011-05-04,55.0,15.71,3,4.0,25,6.25,8.3,8,0
35,36.0,Wankhede Stadium,Delhi Capitals,2011-05-07,57.0,15.47,2,3.2,18,5.4,9,10,0
36,37.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2011-05-10,59.0,15.36,2,4.0,24,6.0,12,12,0
37,38.0,Wankhede Stadium,Deccan Chargers,2011-05-14,60.0,15.38,1,4.0,17,4.25,17,24,0
38,39.0,Wankhede Stadium,Rajasthan Royals,2011-05-20,60.0,16.08,0,4.0,42,10.5,-,-,0
39,40.0,Eden Gardens,Kolkata Knight Riders,2011-05-22,60.0,16.62,0,4.0,23,5.75,-,-,0
40,41.0,Wankhede Stadium,Kolkata Knight Riders,2011-05-25,61.0,16.66,1,4.0,19,4.75,19,24,0
41,42.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2011-05-27,61.0,17.05,0,4.0,24,6.0,-,-,0
42,43.0,MA Chidambaram Stadium,Chennai Super Kings,2012-04-04,63.0,16.76,2,3.5,16,4.17,8,11.5,0
43,44.0,Wankhede Stadium,Pune Warriors,2012-04-06,65.0,16.49,2,4.0,16,4.0,8,12,0
44,45.0,Dr YS Rajasekhara Reddy Cricket Stadium,Deccan Chargers,2012-04-09,68.0,16.16,3,4.0,27,6.75,9,8,0
45,46.0,Wankhede Stadium,Rajasthan Royals,2012-04-11,70.0,15.89,2,4.0,13,3.25,6.5,12,0
46,47.0,Arun Jaitley Stadium,Delhi Capitals,2012-04-27,72.0,15.88,2,4.0,31,7.75,15.5,12,0
47,48.0,Wankhede Stadium,Deccan Chargers,2012-04-29,76.0,15.25,4,3.4,16,4.36,4,5.5,0
48,49.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-05-03,78.0,15.18,2,4.0,25,6.25,12.5,12,0
49,50.0,Wankhede Stadium,Chennai Super Kings,2012-05-06,81.0,14.93,3,4.0,25,6.25,8.3,8,0
50,51.0,Wankhede Stadium,Royal Challengers Bangalore,2012-05-09,81.0,15.17,0,4.0,20,5.0,-,-,0
51,52.0,Eden Gardens,Kolkata Knight Riders,2012-05-12,81.0,15.51,0,4.0,27,6.75,-,-,0
52,53.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2012-05-14,81.0,15.86,0,4.0,29,7.25,-,-,0
53,54.0,Wankhede Stadium,Kolkata Knight Riders,2012-05-16,82.0,16.06,1,4.0,32,8.0,32,24,0
54,55.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-20,83.0,16.25,1,4.0,32,8.0,32,24,0
55,56.0,M Chinnaswamy Stadium,Chennai Super Kings,2012-05-23,83.0,16.75,0,4.0,41,10.25,-,-,0
56,57.0,Wankhede Stadium,Delhi Capitals,2013-04-09,84.0,16.79,1,4.0,20,5.0,20,24,0
57,58.0,Wankhede Stadium,Pune Warriors,2013-04-13,85.0,16.85,1,4.0,22,5.5,22,24,0
58,59.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-04-17,85.0,17.2,0,4.0,30,7.5,-,-,0
59,60.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-21,86.0,17.3,1,4.0,26,6.5,26,24,0
60,61.0,Eden Gardens,Kolkata Knight Riders,2013-04-24,88.0,17.19,2,4.0,25,6.25,12.5,12,0
61,62.0,Wankhede Stadium,Royal Challengers Bangalore,2013-04-27,88.0,17.48,0,4.0,25,6.25,-,-,0
62,63.0,Wankhede Stadium,Kings XI Punjab,2013-04-29,89.0,17.72,1,4.0,39,9.75,39,24,0
63,64.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-01,89.0,17.98,0,3.0,23,7.67,-,-,0
64,65.0,Wankhede Stadium,Chennai Super Kings,2013-05-05,91.0,17.65,2,3.0,6,2.0,3,9,0
65,66.0,Wankhede Stadium,Kolkata Knight Riders,2013-05-07,92.0,17.62,1,3.2,15,4.5,15,20,0
66,67.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-05-11,94.0,17.53,2,4.0,27,6.75,13.5,12,0
67,68.0,Wankhede Stadium,Sunrisers Hyderabad,2013-05-13,96.0,17.44,2,4.0,26,6.5,13,12,0
68,69.0,Wankhede Stadium,Rajasthan Royals,2013-05-15,97.0,17.62,1,4.0,35,8.75,35,24,0
69,70.0,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,2013-05-18,100.0,17.48,3,4.0,39,9.75,13,8,0
70,71.0,Arun Jaitley Stadium,Chennai Super Kings,2013-05-21,100.0,17.93,0,4.0,45,11.25,-,-,0
71,72.0,Eden Gardens,Rajasthan Royals,2013-05-24,101.0,18.18,1,4.0,43,10.75,43,24,0
72,73.0,Eden Gardens,Chennai Super Kings,2013-05-26,103.0,18.04,2,4.0,22,5.5,11,12,0
73,74.0,Sheikh Zayed Stadium,Kolkata Knight Riders,2014-04-16,107.0,17.58,4,4.0,23,5.75,5.8,6,0
74,75.0,Dubai International Cricket Stadium,Royal Challengers Bangalore,2014-04-19,108.0,17.69,1,3.3,29,8.29,29,21,0
75,76.0,Dubai International Cricket Stadium,Chennai Super Kings,2014-04-25,108.0,17.89,0,4.0,22,5.5,-,-,0
76,77.0,Sharjah Cricket Stadium,Delhi Capitals,2014-04-27,110.0,17.72,2,4.0,17,4.25,8.5,12,0
77,78.0,Dubai International Cricket Stadium,Sunrisers Hyderabad,2014-04-30,111.0,17.81,1,4.0,28,7.0,28,24,0
78,79.0,Wankhede Stadium,Kings XI Punjab,2014-05-03,112.0,17.88,1,4.0,25,6.25,25,24,0
79,80.0,Wankhede Stadium,Royal Challengers Bangalore,2014-05-06,114.0,17.82,2,4.0,29,7.25,14.5,12,0
80,81.0,Wankhede Stadium,Chennai Super Kings,2014-05-10,116.0,17.64,2,4.0,15,3.75,7.5,12,0
81,82.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-12,118.0,17.64,2,4.0,35,8.75,17.5,12,0
82,83.0,Barabati Stadium,Kolkata Knight Riders,2014-05-14,119.0,17.74,1,3.4,30,8.18,30,22,0
83,84.0,Eden Gardens,Kolkata Knight Riders,2015-04-08,119.0,17.97,0,4.0,27,6.75,-,-,0
84,85.0,Wankhede Stadium,Kings XI Punjab,2015-04-12,121.0,17.95,2,4.0,34,8.5,17,12,0
85,86.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-14,122.0,18.14,1,4.0,41,10.25,41,24,0
86,87.0,Wankhede Stadium,Chennai Super Kings,2015-04-17,123.0,18.32,1,4.0,40,10.0,40,24,0
87,88.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-19,124.0,18.45,1,4.0,35,8.75,35,24,0
88,89.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-23,125.0,18.49,1,4.0,23,5.75,23,24,0
89,90.0,Wankhede Stadium,Sunrisers Hyderabad,2015-04-25,129.0,18.09,4,4.0,23,5.75,5.8,6,0
90,91.0,Wankhede Stadium,Rajasthan Royals,2015-05-01,130.0,18.22,1,4.0,34,8.5,34,24,0
91,92.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2015-05-03,132.0,18.17,2,4.0,31,7.75,15.5,12,0
92,93.0,Wankhede Stadium,Delhi Capitals,2015-05-05,134.0,18.15,2,4.0,33,8.25,16.5,12,0
93,94.0,Wankhede Stadium,Royal Challengers Bangalore,2015-05-10,135.0,18.21,1,4.0,27,6.75,27,24,0
94,95.0,Wankhede Stadium,Kolkata Knight Riders,2015-05-14,136.0,18.31,1,4.0,31,7.75,31,24,0
95,96.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-17,138.0,18.17,2,4.0,17,4.25,8.5,12,0
96,97.0,Wankhede Stadium,Chennai Super Kings,2015-05-19,141.0,17.94,3,4.0,23,5.75,7.7,8,0
97,98.0,Eden Gardens,Chennai Super Kings,2015-05-24,143.0,17.87,2,4.0,25,6.25,12.5,12,0
98,99.0,Wankhede Stadium,Kolkata Knight Riders,2017-04-09,145.0,17.87,2,4.0,36,9.0,18,12,0
99,100.0,Wankhede Stadium,Sunrisers Hyderabad,2017-04-12,146.0,17.95,1,4.0,30,7.5,30,24,0
100,101.0,Wankhede Stadium,Gujarat Lions,2017-04-16,147.0,18.18,1,4.0,51,12.75,51,24,0
101,102.0,Holkar Cricket Stadium,Kings XI Punjab,2017-04-20,147.0,18.57,0,4.0,58,14.5,-,-,0
102,103.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-29,149.0,18.54,2,4.0,33,8.25,16.5,12,0
103,104.0,Wankhede Stadium,Royal Challengers Bangalore,2017-05-01,149.0,18.75,0,4.0,31,7.75,-,-,0
104,105.0,Barabati Stadium,Delhi Capitals,2017-05-06,151.0,18.54,2,2.0,5,2.5,2.5,6,0
105,106.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-08,152.0,18.63,1,4.0,34,8.5,34,24,0
106,107.0,Wankhede Stadium,Kings XI Punjab,2017-05-11,152.0,18.93,0,4.0,45,11.25,-,-,0
107,108.0,Wankhede Stadium,Rising Pune Supergiant,2017-05-16,153.0,18.9,1,3.0,14,4.67,14,18,0
108,109.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2017-05-19,154.0,18.93,1,3.5,24,6.26,24,23,0
109,110.0,Rajiv Gandhi International Stadium,Rising Pune Supergiant,2017-05-21,154.0,19.06,0,4.0,21,5.25,-,-,0
110,111.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-03-28,154.0,19.37,0,4.0,47,11.75,-,-,0
111,112.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-03-30,154.0,19.53,0,3.0,24,8.0,-,-,0
112,113.0,Wankhede Stadium,Chennai Super Kings,2019-04-03,157.0,19.37,3,4.0,34,8.5,11.3,8,0
113,114.0,Wankhede Stadium,Royal Challengers Bangalore,2019-04-15,161.0,19.08,4,4.0,31,7.75,7.8,6,0
114,115.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-18,162.0,19.19,1,4.0,37,9.25,37,24,0
115,116.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-20,162.0,19.36,0,3.1,27,8.53,-,-,0
116,117.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-26,166.0,19.11,4,3.4,37,10.09,9.2,5.5,0
117,118.0,Eden Gardens,Kolkata Knight Riders,2019-04-28,166.0,19.4,0,4.0,48,12.0,-,-,0
118,119.0,Wankhede Stadium,Sunrisers Hyderabad,2019-05-02,166.0,19.66,0,4.0,43,10.75,-,-,0
119,120.0,Wankhede Stadium,Kolkata Knight Riders,2019-05-05,169.0,19.52,3,4.0,35,8.75,11.7,8,0
120,121.0,MA Chidambaram Stadium,Chennai Super Kings,2019-05-07,169.0,19.67,0,3.0,26,8.67,-,-,0
121,122.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2019-05-12,170.0,19.85,1,4.0,49,12.25,49,24,0
