,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Chennai Super Kings,2018-04-07,3.0,7.67,3,4,23,5.75,7.7,8,0
1,2.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-12,7.0,6.57,4,4,23,5.75,5.8,6,0
2,3.0,Wankhede Stadium,Delhi Capitals,2018-04-14,7.0,12.57,0,3,42,14.0,-,-,0
3,4.0,Wankhede Stadium,Royal Challengers Bangalore,2018-04-17,8.0,14.13,1,4,25,6.25,25,24,0
4,5.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-22,8.0,16.0,0,2,15,7.5,-,-,0
5,6.0,Wankhede Stadium,Sunrisers Hyderabad,2018-04-24,10.0,14.3,2,3,15,5.0,7.5,9,0
6,7.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-28,10.0,17.3,0,3,30,10.0,-,-,0
7,8.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-01,11.0,18.27,1,3,28,9.33,28,18,0
8,9.0,Holkar Cricket Stadium,Kings XI Punjab,2018-05-04,12.0,19.17,1,3,29,9.67,29,18,0
9,10.0,Wankhede Stadium,Kolkata Knight Riders,2018-05-06,13.0,19.62,1,3,25,8.33,25,18,0
10,11.0,Eden Gardens,Kolkata Knight Riders,2018-05-09,14.0,20.07,1,4,26,6.5,26,24,0
11,12.0,Wankhede Stadium,Rajasthan Royals,2018-05-13,14.0,22.36,0,3,32,10.67,-,-,0
12,13.0,Wankhede Stadium,Kings XI Punjab,2018-05-16,14.0,24.79,0,3,34,11.33,-,-,0
13,14.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-20,15.0,24.53,1,2,21,10.5,21,12,0
14,15.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-03-28,16.0,24.44,1,3,23,7.67,23,18,0
15,16.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-03-30,16.0,25.19,0,1,12,12.0,-,-,0
16,17.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-20,16.0,26.69,0,2,24,12.0,-,-,0
