,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-19,1.0,43.0,1,4.0,43,10.75,43,24,0
1,2.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-23,3.0,27.0,2,4.0,38,9.5,19,12,0
2,3.0,Wankhede Stadium,Sunrisers Hyderabad,2015-04-25,6.0,16.83,3,4.0,20,5.0,6.7,8,0
3,4.0,Wankhede Stadium,Rajasthan Royals,2015-05-01,9.0,14.67,3,4.0,31,7.75,10.3,8,0
4,5.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2015-05-03,9.0,17.44,0,4.0,25,6.25,-,-,0
5,6.0,Wankhede Stadium,Delhi Capitals,2015-05-05,9.0,21.56,0,4.0,37,9.25,-,-,0
6,7.0,MA Chidambaram Stadium,Chennai Super Kings,2015-05-08,10.0,22.8,1,4.0,34,8.5,34,24,0
7,8.0,Wankhede Stadium,Royal Challengers Bangalore,2015-05-10,10.0,26.8,0,4.0,40,10.0,-,-,0
8,9.0,Wankhede Stadium,Kolkata Knight Riders,2015-05-14,11.0,27.18,1,4.0,31,7.75,31,24,0
9,10.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-17,14.0,22.5,3,4.0,16,4.0,5.3,8,0
10,11.0,Wankhede Stadium,Chennai Super Kings,2015-05-19,15.0,24.07,1,3.0,46,15.33,46,18,0
11,12.0,Eden Gardens,Chennai Super Kings,2015-05-24,18.0,21.44,3,4.0,25,6.25,8.3,8,0
12,13.0,Wankhede Stadium,Rising Pune Supergiant,2016-04-09,18.0,22.94,0,3.0,27,9.0,-,-,0
13,14.0,Eden Gardens,Kolkata Knight Riders,2016-04-13,20.0,21.9,2,4.0,25,6.25,12.5,12,0
14,15.0,Wankhede Stadium,Gujarat Lions,2016-04-16,24.0,19.13,4,4.0,21,5.25,5.2,6,0
15,16.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-18,24.0,20.5,0,3.3,33,9.43,-,-,0
16,17.0,Barabati Stadium,Royal Challengers Bangalore,2016-04-20,25.0,21.52,1,4.0,46,11.5,46,24,0
17,18.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-23,27.0,21.07,2,4.0,31,7.75,15.5,12,0
18,19.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-04-25,29.0,20.72,2,4.0,32,8.0,16,12,0
19,20.0,Wankhede Stadium,Kolkata Knight Riders,2016-04-28,30.0,21.13,1,4.0,33,8.25,33,24,0
20,21.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-05-01,31.0,21.32,1,4.0,27,6.75,27,24,0
21,22.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2016-05-08,32.0,21.84,1,4.0,38,9.5,38,24,0
22,23.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-11,33.0,22.24,1,4.0,35,8.75,35,24,0
