,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Holkar Cricket Stadium,Kings XI Punjab,2017-04-08,1.0,32.0,1,4,32,8.0,32,24,0
1,2.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-14,2.0,29.0,1,3,26,8.67,26,18,0
2,4.0,Wankhede Stadium,Chennai Super Kings,2019-04-03,2.0,34.5,0,2,11,5.5,-,-,0
3,5.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-06,4.0,22.5,2,4,21,5.25,10.5,12,0
4,6.0,Wankhede Stadium,Kings XI Punjab,2019-04-10,4.0,29.25,0,4,27,6.75,-,-,0
5,7.0,Wankhede Stadium,Rajasthan Royals,2019-04-13,5.0,30.2,1,4,34,8.5,34,24,0
6,8.0,Wankhede Stadium,Royal Challengers Bangalore,2019-04-15,5.0,36.4,0,4,31,7.75,-,-,0
7,9.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-18,8.0,25.13,3,4,19,4.75,6.3,8,0
8,10.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-20,11.0,20.91,3,4,29,7.25,9.7,8,0
9,11.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-26,11.0,22.82,0,4,21,5.25,-,-,0
10,12.0,Eden Gardens,Kolkata Knight Riders,2019-04-28,12.0,25.42,1,4,54,13.5,54,24,0
11,13.0,Wankhede Stadium,Sunrisers Hyderabad,2019-05-02,12.0,27.17,0,4,21,5.25,-,-,0
12,14.0,Wankhede Stadium,Kolkata Knight Riders,2019-05-05,12.0,28.17,0,1,12,12.0,-,-,0
13,15.0,MA Chidambaram Stadium,Chennai Super Kings,2019-05-07,14.0,25.14,2,4,14,3.5,7,12,0
14,16.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2019-05-12,15.0,24.4,1,4,14,3.5,14,24,0
