,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Delhi Capitals,2017-04-19,2.0,19.5,2,4.0,39,9.75,19.5,12,0
1,2.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-22,2.0,40.5,0,4.0,42,10.5,-,-,0
2,3.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2017-04-30,4.0,26.75,2,4.0,26,6.5,13,12,0
3,4.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-02,6.0,24.67,2,4.0,41,10.25,20.5,12,0
4,5.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-08,6.0,30.0,0,3.0,32,10.67,-,-,0
5,6.0,Green Park,Gujarat Lions,2017-05-13,10.0,21.2,4,4.0,32,8.0,8,6,0
6,7.0,Wankhede Stadium,Mumbai Indians,2018-04-17,10.0,24.6,0,4.0,34,8.5,-,-,0
7,8.0,M Chinnaswamy Stadium,Delhi Capitals,2018-04-21,10.0,28.1,0,4.0,35,8.75,-,-,0
8,9.0,M Chinnaswamy Stadium,Chennai Super Kings,2018-04-25,10.0,32.9,0,4.0,48,12.0,-,-,0
9,10.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2018-04-29,12.0,30.75,2,4.0,40,10.0,20,12,0
10,11.0,M Chinnaswamy Stadium,Mumbai Indians,2018-05-01,14.0,28.36,2,4.0,28,7.0,14,12,0
11,12.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-05,14.0,29.64,0,2.0,18,9.0,-,-,0
12,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-07,17.0,25.88,3,4.0,25,6.25,8.3,8,0
13,14.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-12,18.0,27.0,1,4.0,46,11.5,46,24,0
14,15.0,Holkar Cricket Stadium,Kings XI Punjab,2018-05-14,19.0,26.47,1,3.0,17,5.67,17,18,0
15,16.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2018-05-17,20.0,27.3,1,4.0,43,10.75,43,24,0
16,17.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-18,21.0,27.57,1,4.0,33,8.25,33,24,0
17,18.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-23,22.0,26.55,1,2.0,5,2.5,5,12,0
18,19.0,M Chinnaswamy Stadium,Mumbai Indians,2019-03-28,24.0,25.92,2,4.0,38,9.5,19,12,0
19,20.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-31,24.0,27.5,0,4.0,38,9.5,-,-,0
20,21.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-02,25.0,27.4,1,4.0,25,6.25,25,24,0
21,22.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2019-04-05,25.0,28.84,0,2.2,36,15.43,-,-,0
22,23.0,M Chinnaswamy Stadium,Delhi Capitals,2019-04-07,26.0,28.27,1,1.5,14,7.64,14,11,0
23,24.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-13,27.0,29.22,1,4.0,54,13.5,54,24,0
24,25.0,Wankhede Stadium,Mumbai Indians,2019-04-15,28.0,28.93,1,2.0,21,10.5,21,12,0
25,26.0,Eden Gardens,Kolkata Knight Riders,2019-04-19,28.0,30.29,0,4.0,38,9.5,-,-,0
