,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-23,0.0,,0,4,24,6.0,-,-,0
1,2.0,M Chinnaswamy Stadium,Mumbai Indians,2019-03-28,0.0,,0,4,40,10.0,-,-,0
2,3.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-02,0.0,,0,4,35,8.75,-,-,0
3,4.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2019-04-05,2.0,66.5,2,4,34,8.5,17,12,0
4,5.0,M Chinnaswamy Stadium,Delhi Capitals,2019-04-07,4.0,39.25,2,4,24,6.0,12,12,0
5,6.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-13,4.0,45.0,0,4,23,5.75,-,-,0
6,7.0,Wankhede Stadium,Mumbai Indians,2019-04-15,4.0,53.5,0,3,34,11.33,-,-,0
7,8.0,Eden Gardens,Kolkata Knight Riders,2019-04-19,5.0,49.0,1,4,31,7.75,31,24,0
8,9.0,M Chinnaswamy Stadium,Chennai Super Kings,2019-04-21,6.0,44.83,1,4,24,6.0,24,24,0
9,10.0,M Chinnaswamy Stadium,Kings XI Punjab,2019-04-24,8.0,37.75,2,4,33,8.25,16.5,12,0
10,11.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-28,9.0,38.44,1,4,44,11.0,44,24,0
11,12.0,M Chinnaswamy Stadium,Rajasthan Royals,2019-04-30,9.0,39.78,0,1,12,12.0,-,-,0
12,13.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2019-05-04,11.0,36.09,2,4,39,9.75,19.5,12,0
